,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,faceOffPct,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Brantford 99ers Minor Midget AAA,AHMMPL,64248,21,33,0,33,0,0.0,54,,,,,,,,,,,,,,,,
0,20062007,Windsor,OHL,1,21,23,20,62,20,-17.0,44,8.0,0.0,3.0,,,,,,,,,,,,,
0,20072008,Windsor,OHL,1,24,20,28,66,28,17.0,44,8.0,,0.0,,,,,,,,,,,,,
0,20082009,Windsor,OHL,1,33,30,47,56,47,39.0,63,8.0,,1.0,,,,,,,,,,,,,
0,20092010,Windsor,OHL,1,39,38,57,54,57,38.0,77,13.0,,0.0,,,,,,,,,,,,,
0,20092010,Canada,WJC-A,3,0,1,2,6,2,,1,,0.0,,,,,,,,,,,,,,
0,20102011,New Jersey Devils,National Hockey League,1,0,0,0,1,0,1.0,0,0.0,0.0,0.0,13:21,3.0,0.0,0.0,00:45,12:36,0.0,0.0,0.0,0.0,00:00,2.0,16.0
0,20102011,Albany,AHL,2,25,25,26,73,26,-3.0,50,8.0,,1.0,,188.0,,,,,13.3,5.0,,,,,
0,20112012,New Jersey Devils,National Hockey League,1,35,16,7,74,7,8.0,51,0.0,48.83,4.0,1343:51,130.0,83.0,8.0,121:40,1090:05,12.31,3.0,1.0,7.0,132:06,57.0,1757.0
0,20112012,Albany,AHL,2,1,0,2,3,2,0.0,1,0.0,,0.0,,5.0,,,,,0.0,0.0,,,,,
0,20122013,New Jersey Devils,National Hockey League,1,5,11,16,42,16,-3.0,16,3.0,48.97,2.0,769:22,78.0,27.0,4.0,111:25,584:07,14.1,2.0,0.0,3.0,73:50,21.0,1033.0
0,20122013,Albany,AHL,2,3,5,12,16,12,1.0,8,1.0,,0.0,,40.0,,,,,12.5,1.0,,,,,
0,20132014,New Jersey Devils,National Hockey League,1,18,25,20,77,20,3.0,43,7.0,44.34,3.0,1390:11,137.0,73.0,12.0,162:52,1057:53,18.25,4.0,0.0,5.0,169:26,50.0,1896.0
0,20142015,New Jersey Devils,National Hockey League,1,27,16,34,75,34,-6.0,43,5.0,52.02,0.0,1330:46,127.0,59.0,16.0,129:38,1062:07,12.6,3.0,0.0,1.0,139:01,44.0,1782.0
0,20152016,New Jersey Devils,National Hockey League,1,20,30,23,80,23,10.0,50,7.0,44.68,2.0,1586:07,149.0,66.0,12.0,214:46,1160:45,20.13,8.0,2.0,3.0,210:36,56.0,2028.0
0,20162017,New Jersey Devils,National Hockey League,1,20,20,38,82,38,-20.0,40,6.0,48.19,2.0,1490:07,142.0,88.0,10.0,201:40,1102:40,14.08,2.0,1.0,3.0,185:47,68.0,1928.0
0,20172018,New Jersey Devils,National Hockey League,1,10,4,6,24,6,-6.0,14,2.0,47.08,0.0,438:11,49.0,17.0,5.0,62:44,305:50,8.16,0.0,0.0,2.0,69:37,14.0,563.0
0,20172018,Anaheim Ducks,National Hockey League,2,16,20,14,57,14,17.0,36,4.0,48.67,1.0,1002:25,102.0,44.0,8.0,142:11,801:55,19.61,8.0,1.0,1.0,58:19,47.0,1281.0
0,20182019,Anaheim Ducks,National Hockey League,1,24,18,24,82,24,-5.0,42,8.0,52.72,0.0,1349:00,122.0,78.0,13.0,189:21,1069:33,14.75,3.0,0.0,1.0,90:06,71.0,1772.0
0,20182019,Canada,WC,17155,2,0,0,10,0,2.0,2,,,,,,,,,,,,,,,,
0,20192020,Anaheim Ducks,National Hockey League,1,17,26,22,71,22,-2.0,43,5.0,55.05,0.0,1197:34,169.0,75.0,9.0,165:07,992:40,15.4,1.0,0.0,0.0,39:47,32.0,1608.0
0,20202021,Anaheim Ducks,National Hockey League,1,9,12,11,45,11,-8.0,21,1.0,55.39,0.0,721:48,77.0,40.0,2.0,80:19,600:56,15.6,2.0,2.0,1.0,40:33,32.0,981.0
0,20212022,Anaheim Ducks,National Hockey League,1,23,19,14,58,14,-2.0,42,6.0,55.53,0.0,1010:20,141.0,22.0,11.0,124:33,878:52,13.5,0.0,0.0,0.0,06:55,47.0,1305.0
