,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Kramfors U18,Swe-U18,1,7,1,10,25,10,8,,,,,,,,,,,,,,,,,
0,20112012,Djurgarden U18,Swe-U18,1,10,10,24,34,24,20,,,,,,,,,,,,,,,,,
0,20122013,MODO U18,Swe-U18,1,1,1,2,3,2,2,,,,,,,,,,,,,,,,,
0,20122013,MODO Jr.,Swe-Jr.,2,7,6,36,39,36,13,,,,,,,,,,,,,,,,,
0,20132014,MODO Jr.,Swe-Jr.,1,16,3,32,20,32,19,,,,,,,,,,,,,,,,,
0,20132014,MODO,Sweden,2,6,5,12,45,12,11,,,,,,,,,,,,,,,,,
0,20132014,Sweden,WJ18-A,4,6,1,16,7,16,7,28.0,0.0,1.0,0.0,-2.0,,,,,,,,,,,,
0,20142015,MODO,Sweden,1,12,5,42,50,42,17,,,,,,,,,,,,,,,,,
0,20142015,Sweden,WJC-A,2,4,4,2,6,2,8,13.0,4.0,1.0,0.0,0.0,,,,,,,,,,,,
0,20142015,Manchester,AHL,4,0,0,2,3,2,0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20152016,Ontario,AHL,1,17,11,27,55,27,28,118.0,6.0,2.0,0.0,-1.0,9.3,,,,,,,,,,,
0,20152016,Sweden,WJC-A,2,5,3,8,7,8,8,28.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,5,3,8,7,8,8,,,,,1.0,,,,,,,,,,,,
0,20152016,Ontario Reign,AHL,26957,17,11,27,55,27,28,,,,,-1.0,,,,,,,,,,,,
0,20162017,Los Angeles Kings,National Hockey League,1,4,2,6,25,6,6,32.0,0.0,1.0,0.0,-3.0,6.25,305:46,23.0,2.0,20:05,270:03,43.79,0.0,1.0,15:38,7.0,433.0
0,20162017,Ontario Reign,AHL,26957,8,12,44,46,44,20,,,,,-7.0,,,,,,,,,,,,
0,20172018,Los Angeles Kings,National Hockey League,1,21,16,49,81,49,37,119.0,1.0,3.0,0.0,11.0,13.45,1079:49,91.0,5.0,89:58,983:17,38.51,0.0,0.0,06:34,18.0,1606.0
0,20172018,Sweden,WC,6815,6,2,8,10,8,8,,,,,6.0,,,,,,,,,,,,
0,20172018,Sweden,EHT,89816,1,0,2,2,2,1,,,,,0.0,,,,,,,,,,,,
0,20182019,Los Angeles Kings,National Hockey League,1,16,12,50,81,50,28,118.0,0.0,2.0,0.0,-10.0,10.17,1174:31,86.0,4.0,109:24,1020:53,42.63,0.0,0.0,44:14,21.0,1696.0
0,20182019,Sweden,WC,6815,3,3,2,8,2,6,,,,,1.0,,,,,,,,,,,,
0,20182019,Sweden,EHT,89816,0,0,0,3,0,0,,,,,-2.0,,,,,,,,,,,,
0,20192020,Los Angeles Kings,National Hockey League,1,21,11,29,69,29,32,148.0,2.0,2.0,2.0,-10.0,7.4,1104:50,71.0,10.0,171:43,870:34,41.26,1.0,4.0,62:33,17.0,1497.0
0,20202021,Los Angeles Kings,National Hockey League,1,15,14,28,56,28,29,127.0,4.0,2.0,1.0,-18.0,11.0,948:13,47.0,14.0,164:48,709:50,39.71,1.0,1.0,73:35,21.0,1252.0
0,20202021,Sweden,WC,6815,4,1,2,7,2,5,,,,,0.0,,,,,,,,,,,,
0,20212022,Los Angeles Kings,National Hockey League,1,19,35,46,78,46,54,247.0,6.0,7.0,3.0,-2.0,14.2,1449:32,111.0,16.0,230:03,1104:31,50.0,2.0,3.0,114:58,28.0,1873.0
