,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Buffalo Regals 18U,T1EHL U18,54457,21,15,27,39,27,0,36,,,,,,,,,,,,,,,,
0,20112012,Fargo Force,USHL,11938,15,17,8,58,8,11,32,,,,,,,,,,,,,,,,
0,20122013,Fargo Force,USHL,11938,23,20,15,50,15,34,43,,,,,,,,,,,,,,,,
0,20132014,Univ. of Minnesota-Duluth,NCAA,18010,11,11,10,36,10,-1,22,,,,,,,,,,,,,,,,
0,20142015,Univ. of Minnesota-Duluth,NCAA,18010,17,8,12,34,12,16,25,,,,,,,,,,,,,,,,
0,20152016,Univ. of Minnesota-Duluth,NCAA,18500,15,8,8,40,8,3,23,,,,,,,,,,,,,,,,
0,20162017,Univ. of Minnesota-Duluth,NCAA,18500,30,21,22,42,22,22,51,,,,,,,,,,,,,,,,
0,20172018,Los Angeles Kings,National Hockey League,1,16,9,12,75,12,10,25,1132:46,129.0,53.0,0.0,2.0,40:45,1064:55,46.67,6.98,1.0,0.0,0.0,0.0,27:06,33.0,1487.0
0,20182019,Los Angeles Kings,National Hockey League,1,18,15,22,82,22,-17,33,1380:02,148.0,87.0,2.0,6.0,133:19,1214:05,29.17,10.14,2.0,0.0,0.0,0.0,32:38,54.0,1817.0
0,20192020,Los Angeles Kings,National Hockey League,1,26,17,14,70,14,1,43,1324:56,142.0,49.0,6.0,9.0,173:25,1050:08,47.83,12.0,3.0,2.0,0.0,0.0,101:23,47.0,1707.0
0,20202021,Los Angeles Kings,National Hockey League,1,17,13,4,55,4,-8,30,1093:48,118.0,26.0,4.0,8.0,159:06,827:19,28.57,11.0,2.0,0.0,0.0,0.0,107:23,39.0,1339.0
0,20212022,Los Angeles Kings,National Hockey League,1,20,17,8,79,8,4,37,1461:40,215.0,48.0,3.0,6.0,217:43,1114:43,46.88,7.9,2.0,1.0,1.0,2.0,129:14,53.0,1860.0
