,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Chicago Mission Bantam Minor AAA,HPMBHL,141686,5,3,6,20,6,8,,,,,,,,,,,,,,,,,
0,20152016,Bauer Selects U15,WSI U15,48800,0,0,2,7,2,0,,,,,,,,,,,,,,,,,
0,20152016,Chicago Mission 14U AAA,HPHL 14U,141819,16,2,18,20,18,18,,,,,,,,,,,,,,,,,
0,20162017,Chicago Mission 16U AAA,HPHL 16U,97841,9,4,8,19,8,13,,,,,,,,,,,,,,,,,
0,20162017,Team Forest,USA-S15,178223,0,0,0,3,0,0,,,,,,,,,,,,,,,,,
0,20172018,U.S. National U18 Team,USDP,19564,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20172018,U.S. National U17 Team,USDP,19734,20,9,36,60,36,29,,,,,,,,,,,,,,,,,
0,20172018,USNTDP Juniors,USHL,52486,9,4,12,34,12,13,-3.0,,,,,,,,,,,,,,,,
0,20172018,USA U17,WHC-17,61270,2,1,2,6,2,3,,,,,,,,,,,,,,,,,
0,20182019,USA U18,WJC-18,17253,1,0,6,7,6,1,0.0,,,,,,,,,,,,,,,,
0,20182019,U.S. National U18 Team,USDP,19564,23,4,40,61,40,27,,,,,,,,,,,,,,,,,
0,20182019,USNTDP Juniors,USHL,52486,13,2,28,27,28,15,7.0,,,,,,,,,,,,,,,,
0,20192020,Boston Univ.,NCAA,6890,4,0,10,34,10,4,-5.0,,,,,,,,,,,,,,,,
0,20202021,Boston Univ.,NCAA,6890,5,3,10,16,10,8,3.0,,,,,,,,,,,,,,,,
0,20212022,Chicago Blackhawks,National Hockey League,1,1,1,2,15,2,2,-2.0,214:38,12.0,15.0,0.0,0.0,00:05,209:11,0.0,8.3,0.0,0.0,0.0,0.0,05:22,16.0,284.0
0,20212022,Boston Univ.,NCAA,6890,7,1,31,32,31,8,3.0,,,,,,,,,,,,,,,,
