,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20112012,Khimik Voskresensk U16,Russia U16,210669,0.0,0.0,22,,,,,,,,,,,,,,,,,,,
0,20122013,Khimik Voskresensk U17,Russia U17,208360,0.0,2.14,33,,,,,,,,,,,,,,,,,,,
0,20142015,TPS,Liiga,969,0.917,2.21,14,,,,,,,,,,,,,,,,,,,
0,20142015,TPS U20,U20 SM-sarja,20200,0.92,2.25,25,,,,,,,,,,,,,,,,,,,
0,20152016,TPS,Liiga,969,0.915,2.28,10,,,,,,,,,,,,,,,,,,,
0,20152016,SaPKo,Mestis,7207,0.907,2.49,13,,,,,,,,,,,,,,,,,,,
0,20152016,Russia U20,WJC-20,17546,0.898,2.52,5,,,,,,,,,,,,,,,,,,,
0,20152016,TPS U20,U20 SM-sarja,20200,0.905,2.85,9,,,,,,,,,,,,,,,,,,,
0,20162017,TPS,Liiga,969,0.923,1.7,27,,,,,,,,,,,,,,,,,,,
0,20172018,New York Rangers,National Hockey League,1,0.918429,3.147057,10,514:46,1.0,0.0,0.0,4.0,4.0,304.0,37.0,4.0,263.0,4.0,285.0,42.0,9.0,331.0,27.0,88.09523809523809,100.0,92.28070175438596
0,20172018,Hartford Wolf Pack,AHL,847,0.909,2.98,37,,,,,,,,,,,,,,,,,,,
0,20182019,New York Rangers,National Hockey League,1,0.913907,2.913295,33,1874:10,4.0,2.0,0.0,14.0,13.0,966.0,146.0,23.0,797.0,25.0,872.0,160.0,30.0,1057.0,91.0,91.25,92.0,91.39908256880734
0,20182019,Hartford Wolf Pack,AHL,847,0.883,3.66,11,,,,,,,,,,,,,,,,,,,
0,20182019,Russia,WC,17485,1.0,0.0,2,,,,,,,,,,,,,,,,,,,
0,20192020,New York Rangers,National Hockey League,1,0.91,3.0448,34,1891:57,2.0,2.0,0.0,17.0,14.0,967.0,175.0,27.0,765.0,29.0,837.0,197.0,32.0,1063.0,96.0,88.83248730964468,93.10344827586206,91.39784946236558
0,20202021,New York Rangers,National Hockey League,1,0.905,2.7107,19,973:56,2.0,2.0,0.0,8.0,7.0,421.0,47.0,8.0,366.0,10.0,402.0,53.0,18.0,465.0,44.0,88.67924528301887,80.0,91.04477611940298
0,20212022,New York Rangers,National Hockey League,1,0.898,2.92079,33,1746:06,2.0,2.0,0.0,15.0,10.0,747.0,81.0,14.0,652.0,15.0,715.0,102.0,28.0,832.0,85.0,79.41176470588235,93.33333333333333,91.18881118881119
