,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Nacka/FoC Farsta U16,U16 Div.1,187044,1,1,0,4,0,2,,,,,,,,,,,,,,,,,
0,20142015,Sweden Selects U13,WSI U13,206617,6,9,4,9,4,15,,,,,,,,,,,,,,,,,
0,20152016,Nacka HK U16,U16 Div.1,43954,8,5,4,10,4,13,,,,,,,,,,,,,,,,,
0,20152016,Sweden Selects U14,WSI U14,206468,11,7,0,8,0,18,,,,,,,,,,,,,,,,,
0,20162017,Nacka HK J18,J18 Region,21398,7,11,0,10,0,18,9.0,,,,,,,,,,,,,,,,
0,20162017,Nacka HK J18,J18 Nationell,22158,10,12,0,13,0,22,9.0,,,,,,,,,,,,,,,,
0,20162017,Nacka HK U16,U16 Div.1,43954,6,8,27,7,27,14,,,,,,,,,,,,,,,,,
0,20162017,Nacka HK U16,U16 SM,43957,2,6,4,4,4,8,,,,,,,,,,,,,,,,,
0,20162017,Sweden Selects U15,WSI U15,206350,4,11,2,6,2,15,,,,,,,,,,,,,,,,,
0,20172018,Djurgårdens IF J18,J18 Region,7088,22,23,6,17,6,45,33.0,,,,,,,,,,,,,,,,
0,20172018,Djurgårdens IF J20,J20 Nationell,7229,4,4,2,11,2,8,6.0,,,,,,,,,,,,,,,,
0,20172018,Djurgårdens IF J18,J18 Nationell,7848,11,18,4,13,4,29,22.0,,,,,,,,,,,,,,,,
0,20172018,Djurgårdens IF U16,U16 SM,27327,4,14,0,5,0,18,,,,,,,,,,,,,,,,,
0,20172018,Stockholm Syd,TV-Pucken,135376,4,6,0,6,0,10,,,,,,,,,,,,,,,,,
0,20182019,Djurgårdens IF,SHL,829,0,0,0,3,0,0,0.0,,,,,,,,,,,,,,,,
0,20182019,Djurgårdens IF J20,J20 Nationell,7229,17,30,12,38,12,47,19.0,,,,,,,,,,,,,,,,
0,20182019,Sweden U18,WJC-18,8573,3,4,4,7,4,7,-3.0,,,,,,,,,,,,,,,,
0,20182019,Sweden U17,WHC-17,61300,4,4,4,6,4,8,,,,,,,,,,,,,,,,,
0,20182019,Sweden U18,Hlinka Gretzky Cup,158290,5,2,0,5,0,7,,,,,,,,,,,,,,,,,
0,20192020,Djurgårdens IF,Champions HL,142,1,2,2,10,2,3,-3.0,,,,,,,,,,,,,,,,
0,20192020,Djurgårdens IF,SHL,829,7,9,12,35,12,16,-1.0,,,,,,,,,,,,,,,,
0,20192020,Djurgårdens IF J20,J20 Nationell,7229,2,7,2,3,2,9,6.0,,,,,,,,,,,,,,,,
0,20192020,Sweden U20,WJC-20,8596,2,3,2,7,2,5,0.0,,,,,,,,,,,,,,,,
0,20202021,Djurgårdens IF,SHL,829,11,7,4,40,4,18,-7.0,,,,,,,,,,,,,,,,
0,20202021,Sweden U20,WJC-20,8596,2,1,6,5,6,3,0.0,,,,,,,,,,,,,,,,
0,20202021,Binghamton Devils,AHL,233827,2,1,0,10,0,3,-5.0,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,2,0,2,9,2,2,-5.0,110:26,12.0,5.0,0.0,1.0,20:06,90:18,0.0,0.0,0.0,0.0,0.0,0.0,00:02,2.0,156.0
0,20212022,Utica Comets,AHL,152247,25,26,10,52,10,51,-3.0,,,,,,,,,,,,,,,,
