,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20172018,Salavat Yulaev Ufa U17,Russia U17,199118,0,2,0,4,0,1.0,2
0,20172018,Salavat Yulaev Ufa U16,Russia U16,199597,12,12,8,20,8,20.0,24
0,20182019,Tolpar Ufa,MHL,49632,4,6,2,17,2,8.0,10
0,20182019,Russia U17,EYOF,60527,2,1,2,3,2,1.0,3
0,20182019,Russia U17,WHC-17,61290,3,2,4,6,4,,5
0,20182019,Salavat Yulaev Ufa U17,Russia U17,199118,8,3,6,8,6,8.0,11
0,20182019,Salavat Yulaev Ufa U18,Russia U18,267489,1,2,0,2,0,3.0,3
0,20192020,Salavat Yulaev Ufa,KHL,2414,0,0,0,1,0,-1.0,0
0,20192020,Toros Neftekamsk,VHL,24747,1,0,2,2,2,2.0,1
0,20192020,Tolpar Ufa,MHL,49632,22,17,35,37,35,21.0,39
0,20192020,Russia U18 |WJAC-19|,WJAC-19,87382,4,0,2,6,2,,4
0,20192020,Russia U18,Hlinka Gretzky Cup,158300,1,7,0,5,0,9.0,8
0,20192020,Salavat Yulaev Ufa U18,Russia U18,267489,1,1,2,4,2,0.0,2
0,20202021,Salavat Yulaev Ufa,KHL,2414,0,0,2,3,2,0.0,0
0,20202021,Toros Neftekamsk,VHL,24747,0,0,2,7,2,-3.0,0
0,20202021,Tolpar Ufa,MHL,49632,26,19,31,41,31,21.0,45
0,20212022,Toros Neftekamsk,VHL,24747,13,17,10,34,10,1.0,30
0,20212022,Tolpar Ufa,MHL,49632,2,0,0,2,0,0.0,2
