,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Frolunda U18,Swe-U18,1,1,1,0,5,0,2,,,,,,,,,,,,,,,,,
0,20102011,Frolunda U18,Swe-U18,1,22,23,26,27,26,45,,,,,,,,,,,,,,,,,
0,20102011,Frolunda Jr.,Swe-Jr.,2,5,9,4,30,4,14,,,,,,,,,,,,,,,,,
0,20112012,Frolunda U18,Swe-U18,1,5,9,4,6,4,14,,,,,,,,,,,,,,,,,
0,20112012,Frolunda Jr.,Swe-Jr.,2,13,19,75,42,75,32,,,,,,,,,,,,,,,,,
0,20122013,Frolunda Jr.,Swe-Jr.,1,31,23,54,42,54,54,,,,,,,,,,,,,,,,,
0,20122013,Frolunda,Sweden,2,0,1,0,7,0,1,,,,,,,,,,,,,,,,,
0,20132014,Frolunda Jr.,Swe-Jr.,1,4,1,0,4,0,5,,,,,,,,,,,,,,,,,
0,20132014,Frolunda,Sweden,2,9,15,2,44,2,24,,,,,,,,,,,,,,,,,
0,20132014,Sweden,WJC-A,3,3,3,6,7,6,6,16.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,
0,20142015,Frolunda,Sweden,1,13,22,34,55,34,35,,,,,,,,,,,,,,,,,
0,20152016,Frolunda,Sweden,1,25,19,20,52,20,44,,,,,,,,,,,,,,,,,
0,20152016,Frölunda HC,Champions HL,232,7,3,10,13,10,10,,,,,-2.0,,,,,,,,,,,,
0,20152016,Frölunda HC,SHL,919,25,19,20,52,20,44,,,,,8.0,,,,,,,,,,,,
0,20152016,Sweden,EHT,89816,1,0,0,2,0,1,,,,,0.0,,,,,,,,,,,,
0,20162017,Toronto Marlies,AHL,13377,27,20,42,75,42,47,,,,,8.0,,,,,,,,,,,,
0,20172018,Toronto Maple Leafs,National Hockey League,1,1,2,0,9,0,3,19.0,0.0,0.0,0.0,-2.0,105:18,5.0,1.0,11:36,87:16,33.33,10.53,0.0,0.0,06:26,5.0,159.0
0,20172018,Toronto Marlies,AHL,13377,28,26,53,54,53,54,,,,,16.0,,,,,,,,,,,,
0,20182019,Toronto Maple Leafs,National Hockey League,1,23,20,32,73,32,43,130.0,3.0,3.0,0.0,14.0,997:48,60.0,6.0,115:08,881:37,36.84,15.38,0.0,0.0,01:03,36.0,1406.0
0,20192020,Toronto Maple Leafs,National Hockey League,1,13,8,14,43,14,21,78.0,4.0,1.0,0.0,0.0,677:27,43.0,5.0,86:53,581:07,0.0,10.3,0.0,0.0,09:27,21.0,897.0
0,20202021,New Jersey Devils,National Hockey League,1,6,5,12,50,12,11,65.0,1.0,0.0,0.0,-1.0,696:42,39.0,1.0,66:57,610:40,39.29,7.7,0.0,0.0,19:05,17.0,950.0
0,20212022,New Jersey Devils,National Hockey League,1,22,13,30,71,30,35,114.0,1.0,0.0,0.0,4.0,1019:34,64.0,1.0,75:57,937:55,28.57,11.4,0.0,0.0,05:42,22.0,1401.0
