,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20092010,Russia U18,WJC-18,16563,0.897,2.65,5,,,,,,,,,,,,,,,,,,,
0,20102011,Ufa Jr.,Russia-Jr.,1,,1.81,14,730:00,3.0,0.0,8.0,2.0,22.0,,,,,,,,,,,,,
0,20112012,Ufa Jr.,Russia-Jr.,1,,2.23,27,1477:00,3.0,0.0,15.0,8.0,55.0,,,,,,,,,,,,,
0,20112012,Russia,WJC-A,2,0.953052,2.01,5,299:00,2.0,0.0,4.0,1.0,10.0,203.0,213.0,,,,,,,,,,,
0,20112012,Russia,WJ18-A,3,,2.2,5,299:00,1.0,0.0,2.0,3.0,11.0,,141.0,,,,,,,,,,,
0,20122013,Ufa,KHL,1,,2.22,8,298:00,1.0,0.0,4.0,1.0,11.0,,,,,,,,,,,,,
0,20122013,Ufa Jr.,Russia-Jr.,2,,1.93,27,1613:00,3.0,0.0,17.0,6.0,52.0,,,,,,,,,,,,,
0,20132014,Ufa,KHL,1,,2.21,28,1601:00,3.0,0.0,14.0,8.0,59.0,,,,,,,,,,,,,
0,20142015,Tampa Bay Lightning,National Hockey League,1,0.918072,2.360792,16,864:07,1.0,,7.0,5.0,34.0,381.0,415.0,1.0,50.0,11.0,320.0,11.0,348.0,56.0,13.0,89.28571428571429,100.0,91.95402298850574
0,20142015,Syracuse,AHL,2,0.917,2.45,25,1469:00,2.0,5.0,14.0,6.0,60.0,667.0,727.0,,,,,,,,,,,
0,20142015,Syracuse Crunch,AHL,1057,0.917,2.45,25,,,,,,,,,,,,,,,,,,,
0,20152016,Tampa Bay Lightning,National Hockey League,1,0.910217,2.764904,24,1258:38,1.0,,11.0,10.0,58.0,588.0,646.0,0.0,103.0,16.0,469.0,18.0,509.0,119.0,21.0,86.5546218487395,88.88888888888889,92.14145383104125
0,20152016,Syracuse Crunch,AHL,1057,0.935,1.94,12,,,,,,,,,,,,,,,,,,,
0,20162017,Tampa Bay Lightning,National Hockey League,1,0.916892,2.606607,50,2831:16,2.0,,23.0,17.0,123.0,1357.0,1480.0,7.0,221.0,31.0,1105.0,34.0,1199.0,247.0,47.0,89.47368421052632,91.17647058823529,92.16013344453712
0,20162017,Russia,WC,17485,0.936,1.72,9,,,,,,,,,,,,,,,,,,,
0,20172018,Tampa Bay Lightning,National Hockey League,1,0.919518,2.619482,65,3825:11,8.0,0.0,44.0,17.0,167.0,1908.0,2075.0,3.0,281.0,41.0,1586.0,43.0,1707.0,325.0,64.0,86.46153846153845,95.34883720930233,92.91154071470416
0,20182019,Tampa Bay Lightning,National Hockey League,1,0.925277,2.397191,53,3203:45,6.0,0.0,39.0,10.0,128.0,1585.0,1713.0,4.0,242.0,51.0,1292.0,52.0,1395.0,266.0,53.0,90.97744360902256,98.07692307692307,92.61648745519713
0,20182019,Russia,WC,17485,0.946,1.6,8,,,,,,,,,,,,,,,,,,,
0,20192020,Tampa Bay Lightning,National Hockey League,1,0.917,2.5561,52,3121:54,3.0,0.0,35.0,14.0,133.0,1472.0,1605.0,3.0,203.0,62.0,1207.0,66.0,1305.0,234.0,52.0,86.75213675213675,93.93939393939394,92.4904214559387
0,20202021,Tampa Bay Lightning,National Hockey League,1,0.925,2.2111,42,2523:37,5.0,0.0,31.0,10.0,93.0,1144.0,1237.0,1.0,159.0,31.0,954.0,33.0,1023.0,181.0,42.0,87.84530386740332,93.93939393939394,93.25513196480938
0,20212022,Tampa Bay Lightning,National Hockey League,1,0.916,2.48887,63,3760:45,2.0,0.0,39.0,18.0,156.0,1712.0,1868.0,5.0,235.0,56.0,1421.0,58.0,1537.0,273.0,63.0,86.08058608058609,96.55172413793103,92.45283018867924
