,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20002001,Okanagan,Minor-BC,1,00:00,8,4,10,6,00:00,00:00,10,0.0,00:00,12,0.0,,,,,,,,,,,
0,20012002,Port Coquitlam,Minor-BC,1,00:00,41,50,49,50,00:00,00:00,49,0.0,00:00,91,0.0,,,,,,,,,,,
0,20012002,Vancouver,WHL,2,00:00,0,0,0,1,00:00,00:00,0,0.0,00:00,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0,20022003,Coquitlam,BCHL,1,00:00,40,15,61,58,00:00,00:00,61,0.0,00:00,55,0.0,,,,,,,,,,,
0,20032004,Calgary,WHL,1,00:00,45,30,119,71,00:00,00:00,119,0.0,00:00,75,0.0,7.0,,5.0,39.0,,,,,,,
0,20042005,Calgary,WHL,1,00:00,26,19,167,65,00:00,00:00,167,0.0,00:00,45,0.0,6.0,,2.0,16.0,,,,,,,
0,20042005,Canada,WJC-A,2,00:00,4,3,2,6,00:00,00:00,2,0.0,00:00,7,0.0,,,,,,,,,,,
0,20052006,Carolina Hurricanes,National Hockey League,1,323:51,5,6,4,29,51:11,269:40,4,0.0,03:00,11,471.0,3.0,0.0,0.0,0.0,43.0,33.0,4.0,13.95,0.0,0.0,4.0
0,20052006,Lowell,AHL,2,00:00,8,11,28,25,00:00,00:00,28,0.0,00:00,19,0.0,4.0,1.0,1.0,-9.0,,,,,,,
0,20062007,Carolina Hurricanes,National Hockey League,1,727:56,10,11,46,65,104:50,622:01,46,0.0,01:05,21,1035.0,2.0,3.0,0.0,1.0,109.0,147.0,3.0,10.09,0.0,0.0,18.0
0,20072008,Carolina Hurricanes,National Hockey League,1,505:01,9,9,31,43,59:48,442:31,31,60.0,02:42,18,720.0,0.0,1.0,0.0,9.0,76.0,96.0,2.0,11.84,0.0,0.0,10.0
0,20072008,Chicago Blackhawks,National Hockey League,2,299:25,7,5,4,20,54:26,243:46,4,33.33,01:13,12,398.0,1.0,0.0,0.0,4.0,55.0,42.0,3.0,9.09,0.0,0.0,4.0
0,20072008,Albany,AHL,3,,0,1,4,2,,,4,,,1,,1.0,,0.0,-2.0,,,,,,,
0,20082009,Chicago Blackhawks,National Hockey League,1,1180:21,34,15,28,82,30:08,1071:35,28,23.81,78:38,49,1803.0,0.0,2.0,0.0,26.0,195.0,117.0,1.0,7.69,0.0,1.0,22.0
0,20092010,Chicago Blackhawks,National Hockey League,1,1122:57,21,17,67,82,50:10,1065:00,67,41.67,07:47,38,1534.0,0.0,1.0,0.0,2.0,148.0,104.0,1.0,11.49,0.0,0.0,33.0
0,20102011,Atlanta Thrashers,National Hockey League,1,1625:50,30,29,39,81,246:42,1226:30,39,34.09,152:38,59,2115.0,9.0,2.0,2.0,-10.0,195.0,68.0,18.0,14.87,1.0,3.0,45.0
0,20102011,Canada,WC-A,2,,0,0,2,7,,,2,,,0,,0.0,0.0,0.0,0.0,,,,,,,
0,20112012,Winnipeg Jets,National Hockey League,1,1604:24,22,28,64,82,214:21,1263:45,64,54.24,126:18,50,1919.0,4.0,6.0,0.0,-8.0,265.0,76.0,12.0,10.57,2.0,0.0,25.0
0,20112012,Canada,WC-A,2,,4,1,2,8,,,2,,,5,,0.0,1.0,0.0,7.0,,,,,,,
0,20122013,Winnipeg Jets,National Hockey League,1,944:40,28,18,22,48,127:53,749:33,22,53.7,67:14,46,1162.0,3.0,4.0,0.0,10.0,121.0,98.0,6.0,14.88,0.0,0.0,26.0
0,20122013,Canada,WC-A,2,,3,3,4,8,,,4,,,6,,1.0,1.0,0.0,3.0,,,,,,,
0,20132014,Winnipeg Jets,National Hockey League,1,1538:37,31,23,57,78,212:01,1165:54,57,38.71,160:42,54,2005.0,4.0,2.0,0.0,8.0,189.0,154.0,12.0,12.17,0.0,2.0,42.0
0,20142015,Winnipeg Jets,National Hockey League,1,1625:52,38,24,72,81,259:43,1220:53,72,35.0,145:16,62,2152.0,9.0,6.0,0.0,9.0,224.0,212.0,19.0,10.71,1.0,1.0,38.0
0,20152016,Winnipeg Jets,National Hockey League,1,1147:53,17,17,39,59,166:40,862:47,39,70.0,118:26,34,1500.0,7.0,2.0,2.0,-10.0,143.0,126.0,9.0,11.89,0.0,2.0,27.0
0,20152016,Chicago Blackhawks,National Hockey League,2,327:26,4,8,6,19,44:47,257:28,6,33.33,25:11,12,453.0,3.0,1.0,0.0,-3.0,38.0,29.0,5.0,21.05,0.0,0.0,15.0
0,20162017,New York Islanders,National Hockey League,1,1261:42,8,23,45,78,162:45,1033:37,45,40.0,65:20,31,1656.0,3.0,4.0,1.0,-14.0,142.0,112.0,5.0,16.2,1.0,1.0,54.0
0,20172018,New York Islanders,National Hockey League,1,1160:12,17,12,24,73,127:00,942:23,24,10.0,90:49,29,1446.0,0.0,2.0,1.0,11.0,112.0,76.0,1.0,10.71,0.0,2.0,40.0
0,20182019,New York Islanders,National Hockey League,1,359:54,8,3,16,26,15:08,334:12,16,40.0,10:34,11,473.0,0.0,0.0,0.0,3.0,34.0,37.0,0.0,8.82,0.0,1.0,8.0
0,20182019,Bridgeport Islanders,AHL,827,,4,1,2,2,,,2,,,5,,,,,5.0,,,,,,,
0,20192020,New York Islanders,National Hockey League,1,47:51,0,1,4,4,01:02,46:49,4,0.0,00:00,1,66.0,0.0,0.0,0.0,2.0,5.0,23.0,0.0,20.0,0.0,0.0,0.0
0,20192020,Bridgeport Islanders,AHL,827,,3,11,10,34,,,10,,,14,,,,,-11.0,,,,,,,
0,20202021,Bridgeport Islanders,AHL,827,,0,0,0,1,,,0,,,0,,,,,-1.0,,,,,,,
0,20212022,Arizona Coyotes,National Hockey League,1,720:08,5,7,47,51,82:19,598:49,47,70.0,39:00,12,987.0,3.0,0.0,0.0,-20.0,57.0,68.0,4.0,12.3,0.0,0.0,33.0
