,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Selects Acad. U16,USPHL,1,9,1,16.0,28,16,10,,,,,,,,,,,,,,,,,
0,20132014,South Kent,High-CT,2,6,3,,43,,9,,,,,,,,,,,,,,,,,
0,20142015,Selects Acad. U18,USPHL,1,12,8,8.0,28,8,20,,,,,,,,,,,,,,,,,
0,20142015,South Kent,High-CT,2,17,7,17.0,37,17,24,,,,,,,,,,,,,,,,,
0,20152016,Green Bay,USHL,1,26,4,30.0,56,30,30,88.0,1.0,4.5,0.0,0.0,7.0,,,,,,,,,,,
0,20152016,Green Bay Gamblers,USHL,9936,26,4,30.0,56,30,30,,,,,,7.0,,,,,,,,,,,
0,20152016,USA U19,WJAC-19,87412,1,1,2.0,5,2,2,,,,,,,,,,,,,,,,,
0,20152016,USA U18,Hlinka Gretzky Cup,140070,1,0,4.0,4,4,1,,,,,,0.0,,,,,,,,,,,
0,20152016,Team Forest,USA-S17,177405,3,1,0.0,5,0,4,,,,,,,,,,,,,,,,,
0,20162017,Univ. of Notre Dame,NCAA,16100,10,4,16.0,40,16,14,,,,,,10.0,,,,,,,,,,,
0,20172018,Univ. of Notre Dame,NCAA,16100,9,5,22.0,39,22,14,,,,,,12.0,,,,,,,,,,,
0,20172018,USA U20,WJC-20,17276,1,1,2.0,7,2,2,,,,,,1.0,,,,,,,,,,,
0,20182019,Univ. of Notre Dame,NCAA,16100,21,3,24.0,40,24,24,,,,,,-2.0,,,,,,,,,,,
0,20192020,Columbus Blue Jackets,National Hockey League,1,2,1,4.0,22,4,3,23.0,0.0,4.3,0.0,0.0,1.0,304:50,25.0,0.0,00:00,299:29,0.0,0.0,0.0,05:21,21.0,391.0
0,20192020,Cleveland Monsters,AHL,22447,11,5,6.0,29,6,16,,,,,,1.0,,,,,,,,,,,
0,20202021,Columbus Blue Jackets,National Hockey League,1,3,0,4.0,11,4,3,5.0,0.0,0.0,0.0,0.0,-4.0,188:41,35.0,0.0,00:20,184:50,0.0,0.0,0.0,03:31,15.0,241.0
0,20202021,Cleveland Monsters,AHL,22447,4,0,2.0,7,2,4,,,,,,2.0,,,,,,,,,,,
0,20212022,Columbus Blue Jackets,National Hockey League,1,13,2,60.0,82,60,15,72.0,0.0,2.8,0.0,0.0,-14.0,1761:05,191.0,0.0,05:05,1491:50,0.0,0.0,0.0,264:10,169.0,2013.0
