,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Duluth East High,USHS-MN,32122,11,4,10,19,10,0.0,15,,,,,,,,,,,,,,,,
0,20092010,Duluth East,High-MN,1,12,3,16,19,16,,15,,,,,,,,,,,,,,,,
0,20102011,Green Bay,USHL,1,8,6,14,51,14,10.0,14,1.0,3.0,0.0,,,,,,,,,,,,,
0,20112012,Green Bay,USHL,1,22,15,37,54,37,35.0,37,4.0,4.0,0.0,167.0,8.98,,,,,,,,,,,
0,20122013,U. Minn-Duluth,WCHA,1,14,4,24,38,24,,18,3.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,U. Minn-Duluth,NCHC,1,14,5,51,36,51,,19,2.0,1.0,0.0,,,,,,,,,,,,,
0,20142015,U. Minn-Duluth,NCHC,1,12,9,24,40,24,,21,3.0,2.0,1.0,,,,,,,,,,,,,
0,20152016,U. Minn-Duluth,NCHC,1,13,6,45,40,45,13.0,19,2.0,1.0,1.0,100.0,,,,,,,,,,,,
0,20152016,Univ. of Minnesota-Duluth,NCAA,18500,13,6,45,40,45,13.0,19,,,,,,,,,,,,,,,,
0,20152016,San Diego Gulls,AHL,85177,1,0,2,5,2,0.0,1,,,,,,,,,,,,,,,,
0,20162017,San Diego Gulls,AHL,85177,23,6,16,63,16,4.0,29,,,,,,,,,,,,,,,,
0,20172018,Anaheim Ducks,National Hockey League,1,2,0,0,7,0,-1.0,2,0.0,0.0,0.0,6.0,0.0,113:13,4.0,0.0,07:15,102:39,0.0,0.0,0.0,03:19,8.0,129.0
0,20172018,San Diego Gulls,AHL,85177,24,10,22,51,22,-11.0,34,,,,,,,,,,,,,,,,
0,20182019,Anaheim Ducks,National Hockey League,1,3,1,8,26,8,-5.0,4,0.0,0.0,0.0,32.0,3.13,417:02,47.0,0.0,19:07,394:54,0.0,0.0,0.0,03:01,18.0,551.0
0,20182019,San Diego Gulls,AHL,85177,11,8,16,27,16,-1.0,19,,,,,,,,,,,,,,,,
0,20192020,Lehigh Valley Phantoms,AHL,173347,13,8,10,42,10,2.0,21,,,,,,,,,,,,,,,,
0,20202021,Anaheim Ducks,National Hockey League,1,0,0,0,13,0,4.0,0,0.0,0.0,0.0,16.0,0.0,195:20,14.0,0.0,16:44,177:56,0.0,0.0,0.0,00:40,7.0,240.0
0,20202021,San Diego Gulls,AHL,85177,0,0,9,3,9,-3.0,0,,,,,,,,,,,,,,,,
0,20212022,Stockton Heat,AHL,186037,16,3,18,39,18,12.0,19,,,,,,,,,,,,,,,,
