,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Rive-Sud Collège Français Espoir,QMEAA,153686,23,16,26,33,26,0.0,39,,,,,,,,,,,,,,,,
0,20102011,C.C. Lemoyne,QAAA,1,24,20,42,37,42,,44,,,,,,,,,,,,,,,,
0,20102011,Val-d'Or,QMJHL,2,0,0,0,2,0,-2.0,0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20112012,Val-d'Or,QMJHL,1,29,22,39,63,39,-11.0,51,133.0,7.0,16.54,4.0,0.0,,,,,,,,,,,
0,20122013,Val-d'Or,QMJHL,1,39,50,71,67,71,21.0,89,323.0,13.0,15.48,5.0,1.0,,,,,,,,,,,
0,20132014,Val-d'Or,QMJHL,1,63,57,75,57,75,34.0,120,286.0,18.0,19.9,8.0,6.0,,,,,,,,,,,
0,20132014,Canada,WJC-A,2,6,5,0,7,0,6.0,11,29.0,2.0,,2.0,0.0,,,,,,,,,,,
0,20142015,Grand Rapids,AHL,1,18,15,64,62,64,5.0,33,140.0,6.0,10.7,1.0,0.0,,,,,,,,,,,
0,20152016,Detroit Red Wings,National Hockey League,1,1,2,2,10,2,-6.0,3,18.0,2.0,11.11,1.0,0.0,117:00,4.0,2.0,19:30,97:30,0.0,0.0,0.0,00:00,3.0,157.0
0,20152016,Grand Rapids,AHL,2,24,21,32,60,32,13.0,45,150.0,4.0,14.0,4.0,0.0,,,,,,,,,,,
0,20152016,Grand Rapids Griffins,AHL,987,24,21,32,60,32,13.0,45,,,,,,,,,,,,,,,,
0,20162017,Detroit Red Wings,National Hockey League,1,19,17,53,60,53,10.0,36,133.0,1.0,12.78,3.0,0.0,954:06,46.0,3.0,113:40,837:57,45.45,2.0,0.0,02:29,33.0,1210.0
0,20162017,Grand Rapids Griffins,AHL,987,2,8,6,10,6,2.0,10,,,,,,,,,,,,,,,,
0,20172018,Detroit Red Wings,National Hockey League,1,24,24,52,80,52,-1.0,48,190.0,9.0,12.63,2.0,0.0,1383:30,91.0,12.0,177:16,1204:41,32.69,0.0,0.0,01:33,36.0,1698.0
0,20182019,Detroit Red Wings,National Hockey League,1,23,25,30,67,30,-8.0,48,198.0,7.0,12.63,1.0,0.0,1194:25,67.0,13.0,157:56,1036:11,44.0,1.0,0.0,00:18,23.0,1436.0
0,20182019,Canada,WC,17155,7,7,16,9,16,9.0,14,,,,,,,,,,,,,,,,
0,20192020,Detroit Red Wings,National Hockey League,1,22,16,34,43,34,-7.0,38,137.0,6.0,11.7,3.0,0.0,812:25,49.0,9.0,131:21,680:24,42.11,0.0,0.0,00:40,25.0,909.0
0,20202021,Detroit Red Wings,National Hockey League,1,10,11,17,42,17,-14.0,21,100.0,2.0,11.0,0.0,0.0,766:23,34.0,2.0,105:48,655:31,48.39,0.0,0.0,05:04,20.0,876.0
0,20202021,Washington Capitals,National Hockey League,2,4,4,8,14,8,0.0,8,38.0,1.0,10.5,0.0,0.0,248:33,15.0,2.0,32:40,215:48,30.0,0.0,0.0,00:05,7.0,282.0
0,20212022,Washington Capitals,National Hockey League,1,14,9,14,37,14,4.0,23,82.0,0.0,11.0,0.0,0.0,561:15,46.0,2.0,69:21,491:24,75.0,0.0,0.0,00:30,18.0,694.0
