,season,team,league,sequenceNumber,games,timeOnIce,shutouts,goalAgainstAverage,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20072008,Harnosand Jr.,Swe-Jr.,1,9,,,,,,,,,,,,,,,,,,,,,
0,20072008,Harnosand,Sweden-3,2,1,20:00,0.0,6.0,2.0,,,,,,,,,,,,,,,,,
0,20082009,MODO U18,Swe-U18,1,12,619:00,0.0,3.29,34.0,,,,,,,,,,,,,,,,,
0,20092010,MODO U18,Swe-U18,1,9,538:00,0.0,2.9,26.0,,,,,,,,,,,,,,,,,
0,20092010,Modo Jr.,Swe-Jr.,2,21,1183:00,1.0,3.7,73.0,,,,,,,,,,,,,,,,,
0,20102011,MODO Jr.,Swe-Jr.,1,33,1942:00,3.0,2.9,94.0,,,,,,,,,,,,,,,,,
0,20102011,Harnosand,Sweden-3,2,1,59:00,0.0,5.11,5.0,,,,,,,,,,,,,,,,,
0,20112012,MODO,Sweden,1,15,609:00,0.0,3.15,32.0,,,,,,,,,,,,,,,,,
0,20112012,MODO Jr.,Swe-Jr.,2,14,847:00,2.0,2.19,31.0,,,,,,,,,,,,,,,,,
0,20112012,Sweden,WJC-A,3,1,60:00,0.0,0.99,1.0,0.0,1.0,0.0,14.0,0.933333,15.0,,,,,,,,,,,
0,20122013,Sodertalje,Sweden-2,1,41,2432:00,3.0,2.22,90.0,0.0,26.0,14.0,,,,,,,,,,,,,,
0,20132014,MODO,Sweden,1,22,1304:00,1.0,2.44,53.0,0.0,11.0,11.0,,,,,,,,,,,,,,
0,20132014,Springfield,AHL,2,4,212:00,0.0,1.13,4.0,0.0,3.0,0.0,90.0,0.957,94.0,,,,,,,,,,,
0,20142015,Columbus Blue Jackets,National Hockey League,1,5,255:43,0.0,4.692694,20.0,,0.0,4.0,129.0,0.865772,149.0,0.0,27.0,3.0,99.0,4.0,112.0,33.0,5.0,81.81818181818183,75.0,88.39285714285714
0,20142015,Springfield,AHL,2,30,1764:00,3.0,2.01,59.0,1.0,20.0,8.0,749.0,0.927,808.0,,,,,,,,,,,
0,20142015,Springfield Falcons,AHL,927,30,,,2.01,,,,,,0.927,,,,,,,,,,,,
0,20152016,Columbus Blue Jackets,National Hockey League,1,4,178:09,0.0,3.031154,9.0,,1.0,3.0,88.0,0.907216,97.0,0.0,21.0,3.0,64.0,3.0,72.0,22.0,3.0,95.45454545454545,100.0,88.88888888888889
0,20152016,Lake Erie,AHL,2,41,2302:00,2.0,2.4,92.0,5.0,23.0,10.0,972.0,0.914,1064.0,,,,,,,,,,,
0,20152016,Cleveland Monsters,AHL,22447,41,,,2.4,,,,,,0.914,,,,,,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,1,58:35,0.0,4.096728,4.0,,0.0,1.0,23.0,0.851852,27.0,0.0,0.0,0.0,23.0,0.0,27.0,0.0,1.0,,,85.18518518518519
0,20162017,Cleveland Monsters,AHL,22447,51,,,2.28,,,,,,0.926,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,35,1714:47,0.0,2.974137,85.0,0.0,10.0,16.0,836.0,0.907709,921.0,4.0,96.0,35.0,705.0,35.0,775.0,111.0,30.0,86.48648648648648,100.0,90.96774193548387
0,20182019,Rockford IceHogs,AHL,8267,32,,,2.64,,,,,,0.919,,,,,,,,,,,,
0,20192020,Carolina Hurricanes,National Hockey League,1,3,143:09,0.0,3.3531,8.0,0.0,1.0,1.0,70.0,0.897,78.0,0.0,9.0,0.0,61.0,0.0,69.0,9.0,3.0,100.0,,88.40579710144928
0,20192020,Charlotte Checkers,AHL,2357,27,,,2.95,,,,,,0.905,,,,,,,,,,,,
0,20202021,Ottawa Senators,National Hockey League,1,8,448:33,0.0,3.2103,24.0,0.0,3.0,4.0,240.0,0.909,264.0,1.0,37.0,4.0,199.0,4.0,219.0,41.0,8.0,90.2439024390244,100.0,90.8675799086758
0,20202021,Belleville Senators,AHL,227817,1,,,1.0,,,,,,0.971,,,,,,,,,,,,
0,20212022,Ottawa Senators,National Hockey League,1,46,2571:27,1.0,2.82331,121.0,0.0,22.0,17.0,1336.0,0.917,1457.0,4.0,223.0,29.0,1084.0,30.0,1183.0,244.0,44.0,91.39344262295081,96.66666666666667,91.63144547759933
