,season,team,league,sequenceNumber,goalAgainstAverage,games,timeOnIce,shutouts,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20022003,Metallurg Magnitogorsk-2,Russia3,13330,1.8,2,,,,,,,,,,,,,,,,,,,,
0,20032004,Magnitogorsk 2,Russia-3,1,1.8,4,200:00,0.0,6.0,,,,,,,,,,,,,,,,,
0,20032004,Russia,WJ18-A,3,2.17,6,360:00,0.0,13.0,0.0,4.0,2.0,,,,,,,,,,,,,,
0,20042005,Magnitogorsk,Russia,1,0.0,4,133:00,1.0,0.0,,,,,,,,,,,,,,,,,
0,20042005,Russia,WJC-A,3,2.73,5,264:00,0.0,12.0,,,,,,,,,,,,,,,,,
0,20052006,Saskatoon,WHL,1,2.9,44,2362:00,4.0,114.0,3.0,23.0,13.0,1259.0,0.917,1373.0,,,,,,,,,,,
0,20052006,Russia,WJC-A,3,2.2,5,300:00,0.0,11.0,0.0,4.0,1.0,,,,,,,,,,,,,,
0,20062007,Magnitogorsk,Russia,1,2.72,16,618:00,0.0,28.0,,,,,,,,,,,,,,,,,
0,20072008,Houston,AHL,1,1.99,12,,1.0,16.0,1.0,2.0,2.0,164.0,0.911,180.0,,,,,,,,,,,
0,20072008,Texas,ECHL,2,1.98,27,,3.0,51.0,4.0,20.0,1.0,721.0,0.934,772.0,,,,,,,,,,,
0,20082009,Houston,AHL,1,3.04,10,512:00,0.0,26.0,1.0,3.0,6.0,240.0,0.89,214.0,,,,,,,,,,,
0,20082009,Florida,ECHL,2,2.71,33,1706:00,4.0,77.0,1.0,18.0,10.0,827.0,0.907,750.0,,,,,,,,,,,
0,20092010,Minnesota Wild,National Hockey League,1,0.863931,2,69:27,0.0,1.0,,2.0,0.0,47.0,0.979167,48.0,0.0,12.0,2.0,33.0,2.0,34.0,12.0,1.0,100.0,100.0,97.05882352941177
0,20092010,Houston,AHL,2,2.43,40,2247:00,4.0,91.0,4.0,14.0,19.0,885.0,0.907,976.0,,,,,,,,,,,
0,20102011,Minnesota Wild,National Hockey League,1,1.589544,4,188:44,1.0,5.0,,2.0,1.0,81.0,0.94186,86.0,0.0,15.0,4.0,62.0,4.0,65.0,17.0,3.0,88.23529411764706,100.0,95.38461538461539
0,20102011,Houston,AHL,2,2.58,34,1883:00,1.0,81.0,1.0,19.0,12.0,906.0,0.911,825.0,,,,,,,,,,,
0,20102011,Providence,AHL,3,2.4,16,901:00,1.0,36.0,1.0,9.0,4.0,449.0,0.92,413.0,,,,,,,,,,,
0,20112012,Boston Bruins,National Hockey League,1,1.0,1,60:00,0.0,1.0,,1.0,0.0,44.0,0.977778,45.0,0.0,9.0,2.0,33.0,2.0,34.0,9.0,1.0,100.0,100.0,97.05882352941177
0,20112012,Providence,AHL,2,2.61,44,2597:00,2.0,113.0,3.0,21.0,19.0,1275.0,0.919,1388.0,,,,,,,,,,,
0,20122013,Boston Bruins,National Hockey League,1,2.316314,14,803:00,1.0,31.0,,9.0,4.0,357.0,0.920103,388.0,1.0,62.0,10.0,285.0,11.0,311.0,66.0,14.0,93.93939393939394,90.9090909090909,91.63987138263666
0,20122013,Mytischi,KHL,2,2.96,26,1500:00,1.0,74.0,0.0,6.0,14.0,,,,,,,,,,,,,,
0,20132014,Carolina Hurricanes,National Hockey League,1,2.302931,36,2084:18,1.0,80.0,,19.0,14.0,996.0,0.925651,1076.0,1.0,103.0,23.0,870.0,29.0,931.0,116.0,34.0,88.79310344827587,79.3103448275862,93.44790547798067
0,20132014,Charlotte,AHL,2,3.03,2,119:00,0.0,6.0,0.0,1.0,1.0,77.0,0.928,83.0,,,,,,,,,,,
0,20142015,Carolina Hurricanes,National Hockey League,1,2.718254,34,1920:21,1.0,87.0,,8.0,17.0,787.0,0.900458,874.0,6.0,89.0,11.0,687.0,12.0,762.0,100.0,32.0,89.0,91.66666666666666,90.15748031496062
0,20142015,Russia,EHT,64681,5.06,1,,,,,,,,0.773,,,,,,,,,,,,
0,20152016,Anaheim Ducks,National Hockey League,1,2.694107,9,356:20,1.0,16.0,,3.0,3.0,159.0,0.908571,175.0,0.0,34.0,2.0,123.0,2.0,137.0,36.0,7.0,94.44444444444444,100.0,89.78102189781022
0,20152016,San Diego Gulls,AHL,85177,2.46,31,,,,,,,,0.921,,,,,,,,,,,,
