,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,HIFK U16,U16 SM-sarja,81243,11,4,10,27,10,15,,,,,,,,,,,,,,,,,
0,20162017,HIFK U18,U18 SM-sarja,25371,12,3,10,29,10,15,,,,,,,,,,,,,,,,,
0,20172018,Finland U18,WJC-18,17093,4,2,2,7,2,6,1.0,,,,,,,,,,,,,,,,
0,20172018,HIFK U18,U18 SM-sarja,25371,7,3,22,10,22,10,,,,,,,,,,,,,,,,,
0,20172018,HIFK U20,U20 SM-sarja,25390,12,8,6,22,6,20,2.0,,,,,,,,,,,,,,,,
0,20172018,Finland U17,WHC-17,61280,4,3,0,5,0,7,,,,,,,,,,,,,,,,,
0,20182019,HIFK,Champions HL,492,0,0,2,3,2,0,1.0,,,,,,,,,,,,,,,,
0,20182019,HIFK,Liiga,869,10,9,8,38,8,19,6.0,,,,,,,,,,,,,,,,
0,20182019,Finland U18,WJC-18,17093,2,2,6,5,6,4,3.0,,,,,,,,,,,,,,,,
0,20182019,Finland U20,WJC-20,17116,3,1,0,7,0,4,0.0,,,,,,,,,,,,,,,,
0,20182019,HIFK U20,U20 SM-sarja,25390,9,6,6,10,6,15,11.0,,,,,,,,,,,,,,,,
0,20182019,Finland U18,Hlinka Gretzky Cup,158280,1,1,16,4,16,2,,,,,,,,,,,,,,,,,
0,20192020,HIFK,Liiga,869,18,10,18,44,18,28,11.0,,,,,,,,,,,,,,,,
0,20202021,HIFK,Liiga,869,9,16,12,26,12,25,9.0,,,,,,,,,,,,,,,,
0,20202021,Finland,WC,17055,3,4,4,10,4,7,7.0,,,,,,,,,,,,,,,,
0,20202021,Finland U20,WJC-20,17116,4,6,4,7,4,10,7.0,,,,,,,,,,,,,,,,
0,20202021,Finland,EHT,68516,1,1,4,5,4,2,-1.0,,,,,,,,,,,,,,,,
0,20212022,Florida Panthers,National Hockey League,1,26,18,18,65,18,44,33.0,1022:55,125.0,26.0,1.0,4.0,44:32,824:16,44.65,14.4,4.0,0.0,1.0,4.0,154:07,56.0,1371.0
