,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20162017,Russia Selects U14,WSI U14,239228,5,1,8,9,8,6,
0,20172018,CSKA Moskva U16,Russia U16,184907,0,0,25,6,25,0,
0,20182019,Russia U17,EYOF,60527,0,0,0,3,0,0,0.0
0,20182019,Russia U17,WHC-17,61290,3,1,0,6,0,4,
0,20182019,CSKA Moskva U17,Russia U17,184418,3,0,2,9,2,3,
0,20182019,CSKA Moskva U16,Russia U16,184907,7,3,8,12,8,10,
0,20182019,CSKA Moskva U18,Russia U18,259189,1,0,0,3,0,1,
0,20192020,Krasnaya Armiya Moskva,MHL,49712,4,1,4,29,4,5,7.0
0,20192020,Russia U18 |WJAC-19|,WJAC-19,87382,2,0,4,6,4,2,
0,20192020,Russia U18,Hlinka Gretzky Cup,158300,0,0,2,5,2,0,5.0
0,20192020,CSKA Moskva U17,Russia U17,184418,2,0,0,8,0,2,
0,20192020,CSKA Moskva U18,Russia U18,259189,2,1,0,2,0,3,
0,20212022,Hamilton Bulldogs,M-Cup,186661,1,1,0,5,0,2,0.0
0,20212022,Hamilton Bulldogs,OHL,186878,7,5,33,56,33,12,33.0
