,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Ak Bars Kazan Selects U14,WSI U14,206528,3,2,2,7,2,5,,,,,,,,,,,,,,,,,
0,20152016,Ak Bars Kazan U16,Russia U16,184927,7,1,6,12,6,8,,,,,,,,,,,,,,,,,
0,20162017,Russia U16,EYOF,216647,8,4,4,4,4,12,22.0,,,,,,,,,,,,,,,,
0,20172018,Russia U17,WHC-17,61290,2,1,4,5,4,3,,,,,,,,,,,,,,,,,
0,20172018,Irbis Kazan,MHL,102792,3,4,20,39,20,7,1.0,,,,,,,,,,,,,,,,
0,20182019,Chicoutimi Saguenéens,QMJHL,6090,21,13,32,55,32,34,11.0,,,,,,,,,,,,,,,,
0,20182019,Russia U18 |WJAC-19|,WJAC-19,87382,0,2,6,6,6,2,,,,,,,,,,,,,,,,,
0,20182019,Russia U18,Hlinka Gretzky Cup,158300,0,0,0,5,0,0,,,,,,,,,,,,,,,,,
0,20192020,Chicoutimi Saguenéens,QMJHL,6090,32,11,62,51,62,43,15.0,,,,,,,,,,,,,,,,
0,20202021,Chicoutimi Saguenéens,QMJHL,6090,13,5,10,14,10,18,9.0,,,,,,,,,,,,,,,,
0,20202021,Russia U20,WJC-20,17546,3,1,10,7,10,4,-1.0,,,,,,,,,,,,,,,,
0,20202021,Bars Kazan,VHL,50157,3,1,2,5,2,4,0.0,,,,,,,,,,,,,,,,
0,20202021,Irbis Kazan,MHL,102792,0,1,2,2,2,1,1.0,,,,,,,,,,,,,,,,
0,20212022,San Jose Sharks,National Hockey League,1,0,0,0,1,0,0,-2.0,11:59,2.0,1.0,0.0,0.0,00:00,11:24,0.0,0.0,0.0,0.0,0.0,0.0,00:35,0.0,19.0
0,20212022,San Jose Barracuda,AHL,187427,21,7,55,60,55,28,-47.0,,,,,,,,,,,,,,,,
