,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Vityaz Podolsk,KHL,2202,1,0,2,5,2,-3.0,1,,,,,,,,,,,,,,,,
0,20092010,Vityaz Podolsk,KHL,2202,8,1,16,20,16,1.0,9,,,,,,,,,,,,,,,,
0,20102011,Vityaz Podolsk,KHL,2202,16,5,8,40,8,-5.0,21,,,,,,,,,,,,,,,,
0,20112012,Chekhov,KHL,1,14,12,49,38,49,,26,,,,,,,,,,,,,,,,
0,20112012,Kazan,KHL,2,4,1,4,12,4,,5,,,,,,,,,,,,,,,,
0,20122013,Chekhov,KHL,1,7,11,22,40,22,,18,,,,,,,,,,,,,,,,
0,20122013,St. Petersburg,KHL,2,1,0,2,3,2,,1,,,,,,,,,,,,,,,,
0,20132014,St. Petersburg,KHL,1,20,20,30,51,30,,40,,,,,,,,,,,,,,,,
0,20142015,St. Petersburg,KHL,1,36,26,37,54,37,,62,,,,,,,,,,,,,,,,
0,20142015,Russia,WC-A,2,5,5,4,10,4,4.0,10,23.0,1.0,1.0,0.0,,,,,,,,,,,,
0,20152016,Chicago Blackhawks,National Hockey League,1,47,30,32,80,32,8.0,77,187.0,8.0,7.0,0.0,1481:38,46.0,24.0,227:02,1253:31,0.0,16.04,1.0,0.0,01:05,14.0,1820.0
0,20152016,Russia,WC-A,2,9,6,4,10,4,9.0,15,24.0,2.0,2.0,0.0,,,,,,,,,,,,
0,20152016,Russia,WC,17485,9,6,4,10,4,9.0,15,,,,,,,,,,,,,,,,
0,20162017,Chicago Blackhawks,National Hockey League,1,43,31,21,82,21,18.0,74,211.0,9.0,5.0,0.0,1596:38,23.0,17.0,257:44,1336:24,20.0,14.69,1.0,0.0,02:30,14.0,1817.0
0,20162017,Russia,WC,17485,13,4,4,9,4,4.0,17,,,,,,,,,,,,,,,,
0,20162017,Russia,WCup,17546,1,1,4,4,4,1.0,2,,,,,,,,,,,,,,,,
0,20172018,Columbus Blue Jackets,National Hockey League,1,55,27,26,81,26,23.0,82,228.0,7.0,5.0,0.0,1630:35,15.0,21.0,238:36,1390:12,0.0,11.84,1.0,0.0,01:47,19.0,1875.0
0,20182019,Columbus Blue Jackets,National Hockey League,1,59,28,23,79,23,14.0,87,191.0,6.0,8.0,0.0,1568:40,14.0,18.0,221:31,1343:45,25.0,14.66,4.0,0.0,03:24,17.0,1816.0
0,20192020,New York Rangers,National Hockey League,1,63,32,20,69,20,36.0,95,209.0,7.0,4.0,0.0,1421:40,25.0,24.0,257:34,1162:43,50.0,15.3,0.0,0.0,01:23,18.0,1496.0
0,20202021,New York Rangers,National Hockey League,1,41,17,6,42,6,14.0,58,106.0,5.0,1.0,0.0,825:00,13.0,18.0,167:55,656:26,0.0,16.0,0.0,0.0,00:39,7.0,890.0
0,20212022,New York Rangers,National Hockey League,1,74,22,18,75,18,21.0,96,177.0,5.0,5.0,0.0,1441:07,22.0,37.0,224:18,1215:44,50.0,12.4,1.0,0.0,01:05,14.0,1490.0
