,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,faceOffPct,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Compuware Bantam Minor AAA,T1EMBHL,167820,26,10,18,28,18,0.0,36,,,,,,,,,,,,,,,,
0,20062007,Compuware Bantam Major AAA,T1EBHL,143939,38,24,55,29,55,0.0,62,,,,,,,,,,,,,,,,
0,20072008,Compuware U16,T1EHL U16,97118,28,12,36,31,36,0.0,40,,,,,,,,,,,,,,,,
0,20082009,Windsor,OHL,1,19,10,41,63,41,15.0,29,2.0,1.0,,,,,,,,,,,,,,
0,20092010,Windsor,OHL,1,23,11,14,42,14,11.0,34,4.0,0.0,,,,,,,,,,,,,,
0,20092010,Peterborough,OHL,2,11,9,8,10,8,5.0,20,4.0,0.0,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,5,1,2,33,7,33,,3,,,0.0,,,,,,,,,,,,,
0,20102011,Peterborough,OHL,1,34,34,54,68,54,-38.0,68,14.0,2.0,,,,,,,,,,,,,,
0,20102011,Milwaukee,AHL,2,0,0,0,5,0,0.0,0,0.0,0.0,,2.0,0.0,0.0,,,,,,,,,,
0,20112012,Peterborough,OHL,1,19,14,33,32,33,-1.0,33,5.0,3.0,,,,,,,,,,,,,,
0,20112012,London,OHL,2,24,11,14,29,14,3.0,35,7.0,0.0,,,,,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,3,6,3,0,6,0,6.0,9,1.0,0.0,,,,1.0,,,,,,,,,,
0,20122013,Nashville Predators,National Hockey League,1,0,1,0,6,0,-2.0,1,0.0,0.0,43.18,4.0,25.0,0.0,76:14,2.0,0.0,06:07,67:05,0.0,0.0,03:02,2.0,108.0
0,20122013,Milwaukee,AHL,2,17,20,22,72,22,4.0,37,5.0,0.0,,163.0,12.27,4.0,,,,,,,,,,
0,20132014,Milwaukee,AHL,1,24,22,24,76,24,4.0,46,5.0,0.0,,192.0,11.5,7.0,,,,,,,,,,
0,20142015,Milwaukee,AHL,1,18,26,34,76,34,-2.0,44,4.0,1.0,,159.0,16.4,8.0,,,,,,,,,,
0,20152016,Nashville Predators,National Hockey League,1,7,3,32,57,32,-4.0,10,0.0,0.0,46.15,55.0,5.45,0.0,570:09,74.0,0.0,01:56,524:05,0.0,0.0,44:08,45.0,874.0
0,20162017,Nashville Predators,National Hockey League,1,12,5,99,77,99,14.0,17,0.0,0.0,40.48,90.0,5.56,0.0,956:48,143.0,0.0,10:04,814:10,0.0,1.0,132:34,66.0,1380.0
0,20162017,Milwaukee Admirals,AHL,1017,0,1,9,3,9,1.0,1,,,,,,,,,,,,,,,,
0,20172018,Nashville Predators,National Hockey League,1,5,14,123,76,123,2.0,19,0.0,4.0,62.79,96.0,14.58,3.0,937:12,187.0,0.0,02:14,766:03,0.0,5.0,168:55,78.0,1373.0
0,20182019,Nashville Predators,National Hockey League,1,9,7,39,37,39,11.0,16,1.0,0.0,43.75,64.0,10.94,1.0,536:15,109.0,1.0,02:35,470:10,0.0,0.0,63:30,28.0,744.0
0,20182019,Milwaukee Admirals,AHL,1017,0,4,0,2,0,3.0,4,,,,,,,,,,,,,,,,
0,20192020,Nashville Predators,National Hockey League,1,8,6,65,53,65,-9.0,14,0.0,0.0,50.0,50.0,12.0,1.0,615:52,131.0,0.0,03:30,555:21,0.0,2.0,57:01,48.0,894.0
0,20202021,Ottawa Senators,National Hockey League,1,7,3,40,34,40,-7.0,10,0.0,0.0,26.09,41.0,7.3,0.0,408:05,100.0,0.0,01:30,334:33,0.0,1.0,72:02,49.0,601.0
0,20212022,Ottawa Senators,National Hockey League,1,6,10,91,67,91,-3.0,16,0.0,1.0,35.0,88.0,11.4,1.0,803:26,213.0,0.0,03:10,703:31,0.0,1.0,96:45,63.0,1233.0
0,20212022,USA,WC,17215,1,0,27,10,27,-2.0,1,,,,,,,,,,,,,,,,
