,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,Sweden Selects U13,WSI U13,206617,0,0,0,9,0,0,
0,20142015,Järna SK U16,U16 Div.1,149206,19,7,10,24,10,26,
0,20152016,Södertälje SK J18,J18 Region,7528,9,0,2,21,2,9,15.0
0,20152016,Södertälje SK J18,J18 Nationell,8288,4,2,8,18,8,6,3.0
0,20152016,Södermanland,TV-Pucken,11076,3,3,0,5,0,6,
0,20152016,Södertälje SK U16,U16 Div.1,44024,0,1,2,3,2,1,
0,20152016,Södertälje SK U16,U16 SM,44027,1,1,4,4,4,2,
0,20162017,Djurgårdens IF J18,J18 Region,7088,4,1,6,8,6,5,9.0
0,20162017,Djurgårdens IF J20,J20 Nationell,7229,8,3,8,29,8,11,7.0
0,20162017,Djurgårdens IF J18,J18 Nationell,7848,0,0,2,3,2,0,3.0
0,20162017,Sweden U17,WHC-17,61300,2,0,2,6,2,2,
0,20172018,Djurgårdens IF J20,J20 Nationell,7229,25,6,20,42,20,31,14.0
0,20172018,Sweden U18,WJC-18,8573,2,0,2,7,2,2,1.0
0,20172018,Sweden U18,Hlinka Gretzky Cup,158290,0,0,0,4,0,0,
0,20182019,Djurgårdens IF,Champions HL,142,0,0,0,1,0,0,-1.0
0,20182019,Södertälje SK,HockeyAllsvenskan,1330,5,0,20,41,20,5,5.0
0,20182019,Djurgårdens IF J20,J20 Nationell,7229,0,0,0,2,0,0,1.0
0,20192020,Moncton Wildcats,QMJHL,9630,21,3,29,43,29,24,19.0
0,20202021,Södertälje SK,HockeyAllsvenskan,1330,9,2,30,51,30,11,7.0
0,20202021,San Diego Gulls,AHL,85177,3,2,2,17,2,5,-3.0
0,20212022,San Diego Gulls,AHL,85177,6,4,15,35,15,10,2.0
