,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Honeybaked Bantam Minor AAA,T1EMBHL,148520,8,3,10,31,10,0.0,11,,,,,,,,,,,,,,,,
0,20112012,Honeybaked Bantam Minor AAA,HPMBHL,148516,7,5,18,20,18,0.0,12,,,,,,,,,,,,,,,,
0,20122013,Honeybaked Bantam Major AAA,HPBHL,122775,8,6,42,21,42,0.0,14,,,,,,,,,,,,,,,,
0,20132014,Honeybaked U18,HPHL U18,47223,5,1,10,22,10,0.0,6,,,,,,,,,,,,,,,,
0,20142015,London Knights,OHL,2069,5,0,16,41,16,-1.0,5,,,,,,,,,,,,,,,,
0,20152016,London Knights,OHL,2778,1,0,0,2,0,2.0,1,,,,,,,,,,,,,,,,
0,20152016,USA U18,Hlinka Gretzky Cup,140070,1,0,6,4,6,-2.0,1,,,,,,,,,,,,,,,,
0,20152016,Team Royal,USA-S17,177555,3,2,6,5,6,,5,,,,,,,,,,,,,,,,
0,20152016,Hamilton Bulldogs,OHL,186878,25,7,44,64,44,-31.0,32,,,,,,,,,,,,,,,,
0,20162017,Hamilton Bulldogs,OHL,186878,33,6,37,66,37,11.0,39,,,,,,,,,,,,,,,,
0,20172018,Hamilton Bulldogs,M-Cup,186661,4,1,2,4,2,-2.0,5,,,,,,,,,,,,,,,,
0,20172018,Hamilton Bulldogs,OHL,186878,39,9,43,63,43,21.0,48,,,,,,,,,,,,,,,,
0,20182019,Dallas Stars,National Hockey League,1,1,0,0,4,0,-1.0,1,59:31,2.0,2.0,0.0,0.0,03:50,55:41,0.0,0.0,0.0,0.0,0.0,0.0,00:00,1.0,78.0
0,20182019,Texas Stars,AHL,45177,32,5,34,72,34,-8.0,37,,,,,,,,,,,,,,,,
0,20192020,Texas Stars,AHL,45177,8,2,37,43,37,-9.0,10,,,,,,,,,,,,,,,,
0,20202021,Texas Stars,AHL,45177,13,4,20,37,20,13.0,17,,,,,,,,,,,,,,,,
0,20212022,Texas Stars,AHL,45177,35,9,57,70,57,-4.0,44,,,,,,,,,,,,,,,,
