,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Stouffville Spirit,OJHL,26797,1,1,0,1,0,0.0,2,,,,,,,,,,,,,,,,
0,20142015,Toronto Marlboros Mn Mdgt AAA,GTMMHL,82393,42,27,50,74,50,0.0,69,,,,,,,,,,,,,,,,
0,20152016,Niagara IceDogs,OHL,23028,4,5,16,61,16,-10.0,9,,,,,,,,,,,,,,,,
0,20152016,Canada Black U17,WHC-17,163780,1,0,4,5,4,,1,,,,,,,,,,,,,,,,
0,20152016,Team Blue,U17-Dev,178219,1,3,2,3,2,,4,,,,,,,,,,,,,,,,
0,20162017,Niagara IceDogs,OHL,23028,37,13,56,63,56,-9.0,50,,,,,,,,,,,,,,,,
0,20172018,Niagara IceDogs,OHL,23028,49,30,53,68,53,8.0,79,,,,,,,,,,,,,,,,
0,20182019,Niagara IceDogs,OHL,23028,61,41,82,68,82,32.0,102,,,,,,,,,,,,,,,,
0,20192020,Chicago Wolves,AHL,957,5,2,17,36,17,-4.0,7,,,,,,,,,,,,,,,,
0,20192020,Fort Wayne Komets,ECHL,6335,4,1,7,8,7,-2.0,5,,,,,,,,,,,,,,,,
0,20202021,Henderson Silver Knights,AHL,307807,9,7,39,38,39,2.0,16,,,,,,,,,,,,,,,,
0,20212022,Vegas Golden Knights,National Hockey League,1,0,0,2,2,2,0.0,0,16:05,1.0,4.0,0.0,0.0,00:02,16:03,0.0,0.0,0.0,0.0,0.0,0.0,00:00,1.0,24.0
0,20212022,Henderson Silver Knights,AHL,307807,16,25,74,66,74,8.0,41,,,,,,,,,,,,,,,,
