,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Team PEI U14 (ACC),ACC-U14,163940,1,0,0,5,0,1,
0,20142015,Prince County U15 AAA,PEI U15,191783,3,8,8,24,8,11,
0,20152016,Kensington Wild U18 AAA,NBPEIMU18HL,159346,0,1,0,1,0,1,
0,20152016,Team PEI U15 (ACC),ACC-U15,163901,0,0,4,5,4,0,
0,20152016,Prince County Warriors U15 AAA,PEI U15,191783,30,41,28,30,28,71,
0,20162017,Team Prince Edward Island,QGC-16,154205,1,1,2,5,2,2,
0,20162017,Kensington Wild U18 AAA,NBPEIMU18HL,159346,11,13,12,35,12,24,
0,20172018,Rothesay Netherwood School,MPHL,60986,12,12,0,21,0,24,
0,20172018,Rothesay Netherwood School,U18 AAA,61363,37,30,18,54,18,67,
0,20182019,Summerside Western Capitals,MJAHL,22179,2,0,0,7,0,2,
0,20182019,Western Red Wings,IsJHL,71804,0,0,0,1,0,0,
0,20182019,Kensington Wild U18 AAA,NBPEIMU18HL,159346,14,21,10,26,10,35,
0,20192020,Acadie-Bathurst Titan,QMJHL,9570,4,8,6,33,6,12,-4.0
0,20192020,Summerside Western Capitals,MJAHL,22179,20,21,12,30,12,41,
0,20202021,Acadie-Bathurst Titan,QMJHL,9570,12,28,16,33,16,40,9.0
0,20212022,Acadie-Bathurst Titan,QMJHL,9570,35,42,28,54,28,77,25.0
