,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,Compuware Bantam Minor AAA,HPMBHL,167816,14,5,10.0,20,10,19,
0,20132014,Compuware Bantam Major AAA,HPBHL,143935,16,10,12.0,17,12,26,
0,20142015,East Coast Selects O U15,WSI U15,206220,4,4,6.0,7,6,8,
0,20152016,Compuware 16U AAA,HPHL 16U,97641,21,15,44.0,22,44,36,
0,20152016,Team Navy,USA-S15,178673,2,1,,5,,3,
0,20162017,U.S. National U18 Team,USDP,19564,0,0,2.0,1,2,0,
0,20162017,U.S. National U17 Team,USDP,19734,4,4,14.0,56,14,8,
0,20162017,USNTDP Juniors,USHL,52486,4,1,8.0,34,8,5,-21.0
0,20162017,USA U17,WHC-17,61270,0,1,0.0,5,0,1,
0,20172018,Saginaw Spirit,OHL,9488,24,20,20.0,68,20,44,-19.0
0,20172018,USA U18,Hlinka Gretzky Cup,140070,0,0,2.0,4,2,0,-1.0
0,20172018,Team Black,USA-S17,177355,0,3,,5,,3,
0,20182019,Saginaw Spirit,OHL,9488,36,23,16.0,67,16,59,10.0
0,20192020,Saginaw Spirit,OHL,9488,24,16,18.0,47,18,40,12.0
0,20202021,Bridgeport Islanders,AHL,827,2,2,2.0,13,2,4,1.0
0,20212022,Bridgeport Islanders,AHL,827,6,7,9.0,50,9,13,-3.0
