,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Chisago Lakes High,USHS-MN,175962,19,8,4,25,4,27,,,,,,,,,,,,,,,,,
0,20132014,Chisago Lakes High,USHS-MN,175962,29,11,0,25,0,40,,,,,,,,,,,,,,,,,
0,20142015,Minot Minotauros,NAHL,96568,38,14,14,56,14,52,27.0,,,,,,,,,,,,,,,,
0,20152016,Fargo Force,USHL,12786,34,12,26,54,26,46,13.0,,,,,,,,,,,,,,,,
0,20162017,Fargo Force,USHL,12786,46,19,42,56,42,65,23.0,,,,,,,,,,,,,,,,
0,20162017,USA U19,WJAC-19,87412,3,0,2,5,2,3,,,,,,,,,,,,,,,,,
0,20172018,St. Cloud State Univ.,NCAA,8290,19,8,20,39,20,27,16.0,,,,,,,,,,,,,,,,
0,20182019,Los Angeles Kings,National Hockey League,1,0,0,0,1,0,0,-1.0,11:12,1.0,0.0,0.0,0.0,00:00,11:12,50.0,0.0,0.0,0.0,0.0,0.0,00:00,1.0,14.0
0,20182019,St. Cloud State Univ.,NCAA,8290,28,14,28,37,28,42,28.0,,,,,,,,,,,,,,,,
0,20192020,Los Angeles Kings,National Hockey League,1,17,6,20,65,20,23,-4.0,907:24,87.0,42.0,2.0,3.0,66:38,768:52,50.16,6.9,0.0,0.0,2.0,3.0,71:54,22.0,1326.0
0,20192020,Ontario Reign,AHL,26957,0,0,2,1,2,0,0.0,,,,,,,,,,,,,,,,
0,20202021,Los Angeles Kings,National Hockey League,1,7,3,16,41,16,10,2.0,520:57,42.0,32.0,0.0,0.0,12:39,455:06,50.85,7.1,0.0,0.0,0.0,0.0,53:12,21.0,772.0
0,20212022,Los Angeles Kings,National Hockey League,1,14,10,28,70,28,24,15.0,851:28,91.0,74.0,0.0,0.0,09:11,766:16,51.57,11.0,2.0,0.0,1.0,3.0,76:01,12.0,1252.0
