,season,team,league,sequenceNumber,timeOnIce,assists,goals,games,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,points,shifts,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,Breck,High-MN,1,00:00,27,15,26,00:00,00:00,0.0,00:00,42,0.0,,,,,,,,,,,,,
0,20032004,Northwest,UMEHL,1,00:00,6,5,24,00:00,00:00,0.0,00:00,11,0.0,,,,,,,,,,,,,
0,20032004,Breck,High-MN,2,00:00,50,39,27,00:00,00:00,0.0,00:00,89,0.0,34.0,34,,,,,,,,,,,
0,20042005,Green Bay,USHL,1,00:00,28,19,58,00:00,00:00,0.0,00:00,47,0.0,43.0,43,2.0,3.0,0.0,-7.0,,,,,,,
0,20052006,U. Of Minnesota,WCHA,1,00:00,14,9,39,00:00,00:00,0.0,00:00,23,0.0,41.0,41,,,,,,,,,,,
0,20052006,United States,WJC-A,3,00:00,0,2,7,00:00,00:00,0.0,00:00,2,0.0,6.0,6,,,,,,,,,,,
0,20062007,U. Of Minnesota,WCHA,1,,20,18,44,,,,,38,,42.0,42,,,,,,,,,,,
0,20072008,U. Of Minnesota,WCHA,1,,20,15,44,,,,,35,,72.0,72,,,,,,,,,,,
0,20082009,Boston Bruins,National Hockey League,1,1109:00,24,21,81,75:30,936:54,38.24,96:36,45,1460.0,46.0,46,3.0,3.0,2.0,36.0,150.0,49.0,5.0,14.0,0.0,3.0,26.0
0,20092010,Boston Bruins,National Hockey League,1,1294:37,20,18,82,169:43,1028:47,48.15,96:07,38,1677.0,53.0,53,3.0,2.0,1.0,-4.0,159.0,70.0,8.0,11.32,0.0,2.0,33.0
0,20102011,Boston Bruins,National Hockey League,1,881:54,16,11,58,57:48,743:07,38.24,80:59,27,1104.0,32.0,32,0.0,2.0,0.0,8.0,101.0,56.0,2.0,10.89,0.0,0.0,35.0
0,20102011,Atlanta Thrashers,National Hockey League,2,434:08,10,7,23,49:56,356:08,0.0,28:04,17,552.0,14.0,14,0.0,0.0,0.0,2.0,78.0,18.0,3.0,8.97,0.0,0.0,12.0
0,20102011,U.S.A.,WC-A,3,,3,2,7,,,,,5,,6.0,6,0.0,1.0,0.0,-1.0,,,,,,,
0,20112012,Winnipeg Jets,National Hockey League,1,1526:02,47,17,80,210:50,1300:51,40.0,14:21,64,1739.0,55.0,55,6.0,3.0,0.0,3.0,208.0,113.0,15.0,8.17,0.0,0.0,46.0
0,20122013,Winnipeg Jets,National Hockey League,1,902:25,22,19,48,124:51,761:11,22.22,16:23,41,1097.0,28.0,28,2.0,2.0,0.0,-3.0,129.0,90.0,7.0,14.73,0.0,0.0,39.0
0,20122013,EHC Munchen,Germany,99,,14,6,15,,,,,20,,51.0,51,,,,,,,,,,,
0,20132014,Winnipeg Jets,National Hockey League,1,1532:28,41,28,82,215:41,1246:32,37.5,70:15,69,1969.0,63.0,63,8.0,4.0,0.0,4.0,225.0,150.0,19.0,12.44,2.0,0.0,68.0
0,20132014,U.S.A.,Olympics,2,,1,0,6,,,,,1,,2.0,2,0.0,0.0,0.0,0.0,5.0,,,,,,
0,20142015,Winnipeg Jets,National Hockey League,1,1553:16,35,26,79,257:05,1159:08,45.83,137:03,61,2051.0,73.0,73,2.0,6.0,4.0,26.0,244.0,128.0,12.0,10.66,0.0,5.0,54.0
0,20152016,Winnipeg Jets,National Hockey League,1,1622:34,52,26,82,258:46,1258:04,35.71,105:44,78,2101.0,49.0,49,3.0,5.0,2.0,8.0,256.0,92.0,17.0,10.16,2.0,4.0,56.0
0,20162017,Winnipeg Jets,National Hockey League,1,1651:39,48,26,82,241:44,1295:39,45.74,114:16,74,2150.0,47.0,47,5.0,4.0,2.0,6.0,259.0,100.0,21.0,10.04,0.0,3.0,51.0
0,20162017,USA,WCup,17286,,1,0,3,,,,,1,,0.0,0,,,,0.0,,,,,,,
0,20172018,Winnipeg Jets,National Hockey League,1,1640:47,68,23,81,254:47,1282:47,45.86,103:13,91,2056.0,52.0,52,6.0,2.0,0.0,13.0,246.0,94.0,40.0,9.35,0.0,2.0,66.0
0,20182019,Winnipeg Jets,National Hockey League,1,1698:12,71,20,82,294:44,1312:02,35.23,91:26,91,1979.0,60.0,60,2.0,3.0,2.0,0.0,231.0,81.0,33.0,8.66,0.0,3.0,53.0
0,20192020,Winnipeg Jets,National Hockey League,1,1371:40,43,22,71,231:25,1093:59,49.85,46:16,65,1684.0,37.0,37,4.0,2.0,1.0,1.0,180.0,102.0,22.0,12.2,0.0,2.0,51.0
0,20202021,Winnipeg Jets,National Hockey League,1,917:02,31,15,50,146:15,766:56,37.5,03:51,46,1106.0,50.0,50,4.0,2.0,0.0,-17.0,113.0,63.0,15.0,13.3,0.0,0.0,30.0
0,20212022,Winnipeg Jets,National Hockey League,1,1270:01,43,17,65,206:25,1044:23,19.05,19:13,60,1461.0,36.0,36,3.0,2.0,0.0,-15.0,167.0,62.0,20.0,10.2,0.0,0.0,37.0
