,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,MN Penguins 15U AAA,MNBEL 14U,259408,1,0,8,1,,,,,,,,,,,,,,,,,,,
0,20162017,Minnetonka High,USHS-MN,28148,18,8,25,26,8.0,8,,,,,,,,,,,,,,,,,
0,20162017,MN Kings 15U AAA,MNBEL 14U,259418,5,4,11,9,,,,,,,,,,,,,,,,,,,
0,20172018,Sioux City Musketeers,USHL,9956,2,2,13,4,4.0,4,2.0,,,,,,,,,,,,,,,,
0,20172018,U.S. National U17 Team,USDP,19734,2,0,8,2,6.0,6,,,,,,,,,,,,,,,,,
0,20172018,Minnetonka High,USHS-MN,28148,31,13,25,44,20.0,20,,,,,,,,,,,,,,,,,
0,20172018,Team TDS Transportation,UMHSEHL,63768,14,10,21,24,8.0,8,,,,,,,,,,,,,,,,,
0,20172018,Team Kelly,USA-S16,177794,1,1,5,2,,,,,,,,,,,,,,,,,,,
0,20182019,Sioux City Musketeers,USHL,9956,33,35,43,68,22.0,22,23.0,,,,,,,,,,,,,,,,
0,20182019,USA U18,WJC-18,17253,3,3,5,6,6.0,6,3.0,,,,,,,,,,,,,,,,
0,20182019,U.S. National U18 Team,USDP,19564,3,3,5,6,6.0,6,,,,,,,,,,,,,,,,,
0,20182019,USA U19,WJAC-19,87412,6,2,6,8,2.0,2,,,,,,,,,,,,,,,,,
0,20192020,USA U20,WJC-20,17276,1,1,5,2,0.0,0,-1.0,,,,,,,,,,,,,,,,
0,20192020,Univ. of Denver,NCAA,20900,13,11,28,24,12.0,12,1.0,,,,,,,,,,,,,,,,
0,20202021,USA U20,WJC-20,17276,4,2,7,6,2.0,2,8.0,,,,,,,,,,,,,,,,
0,20202021,Univ. of Denver,NCAA,20900,9,2,15,11,4.0,4,-4.0,,,,,,,,,,,,,,,,
0,20212022,Philadelphia Flyers,National Hockey League,1,4,0,10,4,0.0,0,-5.0,154:29,18.0,15.0,0.0,1.0,30:18,124:11,75.0,0.0,0.0,0.0,0.0,0.0,00:00,2.0,192.0
0,20212022,Univ. of Denver,NCAA,20900,43,14,41,57,44.0,44,27.0,,,,,,,,,,,,,,,,
