,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Coquitlam Express,BCHL,20212,0,0,0,3,0,0.0,0,,,,,,,,,,,,,,,,
0,20062007,Coquitlam Express,BCHL,20212,34,4,65,60,65,0.0,38,,,,,,,,,,,,,,,,
0,20072008,Coquitlam Express,BCHL,20212,35,16,51,59,51,0.0,51,,,,,,,,,,,,,,,,
0,20082009,Bemidji State,CHA,1,23,9,24,37,24,,32,,,,,,,,,,,,,,,,
0,20092010,Bemidji State,CHA,1,26,7,35,37,35,,33,,,,,,,,,,,,,,,,
0,20102011,Bemidji State,WCHA,1,18,3,33,38,33,,21,,,,,,,,,,,,,,,,
0,20112012,Bemidji State,WCHA,1,21,5,8,38,8,,26,,,,,,,,,,,,,,,,
0,20112012,Chicago,AHL,2,4,1,8,14,8,-3.0,5,24.0,1.0,4.17,0.0,0.0,,,,,,,,,,,
0,20122013,Chicago,AHL,1,29,4,22,65,22,2.0,33,84.0,2.0,4.76,1.0,0.0,,,,,,,,,,,
0,20132014,Edmonton Oilers,National Hockey League,1,0,0,0,3,0,-3.0,0,1.0,0.0,0.0,0.0,0.0,37:48,0.0,0.0,03:03,34:45,0.0,0.0,0.0,00:00,2.0,49.0
0,20132014,Oklahoma City,AHL,2,39,11,34,66,34,7.0,50,170.0,9.0,6.5,2.0,0.0,,,,,,,,,,,
0,20142015,Edmonton Oilers,National Hockey League,1,2,1,0,11,0,-6.0,3,20.0,1.0,5.0,0.0,0.0,214:20,8.0,1.0,27:44,178:34,0.0,0.0,0.0,08:02,10.0,284.0
0,20142015,Oklahoma City,AHL,2,32,19,18,62,18,-6.0,51,200.0,8.0,9.5,3.0,0.0,,,,,,,,,,,
0,20152016,Edmonton Oilers,National Hockey League,1,0,0,2,7,2,-1.0,0,12.0,0.0,0.0,0.0,0.0,99:15,7.0,0.0,17:39,81:21,0.0,0.0,0.0,00:15,7.0,130.0
0,20152016,Bakersfield,AHL,2,28,13,18,57,18,5.0,41,154.0,8.0,8.4,3.0,0.0,,,,,,,,,,,
0,20152016,Bakersfield Condors,AHL,7257,28,13,18,57,18,5.0,41,,,,,,,,,,,,,,,,
0,20162017,St. Louis Blues,National Hockey League,1,4,1,2,9,2,-2.0,5,12.0,1.0,8.33,0.0,0.0,122:22,0.0,2.0,07:01,115:14,0.0,0.0,0.0,00:07,1.0,192.0
0,20162017,Nashville Predators,National Hockey League,2,1,0,0,3,0,1.0,1,2.0,0.0,0.0,0.0,0.0,51:39,0.0,0.0,00:21,48:27,0.0,0.0,0.0,02:51,2.0,63.0
0,20162017,Chicago Wolves,AHL,957,20,9,6,23,6,9.0,29,,,,,,,,,,,,,,,,
0,20172018,Vegas Golden Knights,National Hockey League,1,15,3,6,45,6,-5.0,18,80.0,2.0,3.75,0.0,0.0,749:07,19.0,12.0,107:28,638:29,0.0,0.0,0.0,03:10,36.0,944.0
0,20182019,Vegas Golden Knights,National Hockey League,1,5,2,2,13,2,3.0,7,28.0,1.0,7.14,1.0,0.0,197:09,7.0,4.0,38:28,158:27,0.0,0.0,0.0,00:14,10.0,242.0
0,20182019,Minnesota Wild,National Hockey League,2,2,3,6,29,6,-5.0,5,47.0,3.0,6.38,0.0,0.0,428:14,11.0,4.0,62:47,365:10,0.0,0.0,0.0,00:17,18.0,529.0
0,20192020,Minnesota Wild,National Hockey League,1,11,8,6,59,6,-7.0,19,106.0,3.0,7.5,0.0,0.0,893:06,12.0,10.0,133:16,756:30,0.0,0.0,0.0,03:20,39.0,1051.0
0,20202021,Minnesota Wild,National Hockey League,1,0,1,4,12,4,-8.0,1,14.0,0.0,7.1,1.0,0.0,148:00,4.0,0.0,20:01,126:20,0.0,0.0,0.0,01:39,6.0,185.0
0,20212022,Vancouver Canucks,National Hockey League,1,14,3,12,50,12,-3.0,17,67.0,0.0,4.5,0.0,0.0,762:39,22.0,2.0,55:09,705:11,0.0,0.0,0.0,02:19,48.0,1042.0
