,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Prince Albert Raiders U15 AA,SAAHL U15,129206,14,6,55,27,55,20,,,,,,,,,,,,,,,,,
0,20152016,Prince Albert Mintos U18 AAA,SMAAAHL,43334,1,0,0,2,0,1,,,,,,,,,,,,,,,,,
0,20152016,Prince Albert Raiders U15 AA,SAAHL U15,129206,13,7,26,30,26,20,,,,,,,,,,,,,,,,,
0,20162017,Brandon Wheat Kings,WHL,9591,0,0,0,1,0,0,0.0,,,,,,,,,,,,,,,,
0,20162017,Prince Albert Mintos U18 AAA,SMAAAHL,43334,19,12,73,35,73,31,,,,,,,,,,,,,,,,,
0,20172018,Brandon Wheat Kings,WHL,9591,21,1,16,66,16,22,10.0,,,,,,,,,,,,,,,,
0,20172018,Canada White U17,WHC-17,163790,1,1,0,6,0,2,,,,,,,,,,,,,,,,,
0,20172018,Team Gold,U17-Dev,178249,1,0,0,3,0,1,,,,,,,,,,,,,,,,,
0,20182019,Brandon Wheat Kings,WHL,9591,16,8,26,58,26,24,13.0,,,,,,,,,,,,,,,,
0,20182019,Canada U18,WJC-18,17193,1,2,2,7,2,3,9.0,,,,,,,,,,,,,,,,
0,20182019,Canada U18,Hlinka Gretzky Cup,144760,0,0,4,5,4,0,,,,,,,,,,,,,,,,,
0,20192020,Brandon Wheat Kings,WHL,9591,35,7,42,60,42,42,9.0,,,,,,,,,,,,,,,,
0,20202021,Hartford Wolf Pack,AHL,847,1,0,0,2,0,1,2.0,,,,,,,,,,,,,,,,
0,20202021,Brandon Wheat Kings,WHL,9591,22,5,12,22,12,27,18.0,,,,,,,,,,,,,,,,
0,20202021,Canada,WC,17155,1,0,0,9,0,1,2.0,,,,,,,,,,,,,,,,
0,20202021,Canada U20,WJC-20,17216,2,1,25,6,25,3,8.0,,,,,,,,,,,,,,,,
0,20212022,New York Rangers,National Hockey League,1,9,2,9,43,9,11,5.0,665:29,25.0,60.0,0.0,1.0,03:43,639:57,0.0,8.0,0.0,0.0,0.0,0.0,21:49,52.0,840.0
0,20212022,Hartford Wolf Pack,AHL,847,9,0,10,24,10,9,6.0,,,,,,,,,,,,,,,,
