,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Chicago Jr. Blackhawks,Brick Invitational,128836,2,1,6,5,6,3,,,,,,,,,,,,,,,,,
0,20132014,St. Louis AAA Blues  U16,T1EHL U16,96448,0,0,4,4,4,0,,,,,,,,,,,,,,,,,
0,20132014,St. Louis Blues Bantam Major AAA,T1EBHL,155589,15,18,38,26,38,33,,,,,,,,,,,,,,,,,
0,20142015,St. Louis AAA Blues  U16,T1EHL U16,96448,28,15,18,30,18,43,,,,,,,,,,,,,,,,,
0,20152016,U.S. National U17 Team,USDP,19734,16,9,56,55,56,25,,,,,,,,,,,,,,,,,
0,20152016,USNTDP Juniors,USHL,52486,4,4,36,32,36,8,-29.0,,,,,,,,,,,,,,,,
0,20152016,USA U17,WHC-17,61270,3,2,4,5,4,5,,,,,,,,,,,,,,,,,
0,20162017,USA U18,WJC-18,17253,6,1,12,7,12,7,5.0,,,,,,,,,,,,,,,,
0,20162017,U.S. National U18 Team,USDP,19564,29,25,129,61,129,54,,,,,,,,,,,,,,,,,
0,20162017,USNTDP Juniors,USHL,52486,11,12,73,24,73,23,3.0,,,,,,,,,,,,,,,,
0,20172018,Boston Univ.,NCAA,6890,23,8,61,40,61,31,15.0,,,,,,,,,,,,,,,,
0,20172018,USA U20,WJC-20,17276,6,3,2,7,2,9,6.0,,,,,,,,,,,,,,,,
0,20182019,Ottawa Senators,National Hockey League,1,23,22,75,71,75,45,-10.0,1137:46,214.0,174.0,4.0,10.0,158:50,975:32,48.99,10.28,3.0,1.0,0.0,0.0,03:24,26.0,1442.0
0,20192020,Ottawa Senators,National Hockey League,1,23,21,106,71,106,44,-14.0,1344:20,259.0,303.0,2.0,8.0,207:46,1133:12,46.15,8.1,3.0,1.0,0.0,0.0,03:22,43.0,1778.0
0,20202021,Ottawa Senators,National Hockey League,1,19,17,69,56,69,36,-17.0,1020:52,220.0,248.0,5.0,10.0,183:54,835:43,47.39,7.7,3.0,1.0,0.0,0.0,01:15,23.0,1303.0
0,20212022,Ottawa Senators,National Hockey League,1,37,30,117,79,117,67,-7.0,1485:07,288.0,270.0,9.0,17.0,251:41,1228:09,50.11,10.4,3.0,1.0,0.0,0.0,05:17,25.0,1873.0
