,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Fort Saskatchewan Rang. Bntm AAA,AMBHL,64178,12,7,34,33,34,0.0,19,,,,,,,,,,,,,,,,
0,20122013,Fort Saskatchewan Rang. Bntm AAA,AMBHL,64178,19,22,34,33,34,0.0,41,,,,,,,,,,,,,,,,
0,20132014,Ft. Saskatchewan,Minor-AB,1,26,32,62,37,62,,58,,,,,,,,,,,,,,,,
0,20132014,Ft. Saskatchewan,AMHL,2,0,0,0,2,0,,0,,,,,,,,,,,,,,,,
0,20142015,Ft. Saskatchewan,AMHL,1,28,23,42,34,42,,51,,,,,,,,,,,,,,,,
0,20142015,Whitecourt,AJHL,2,1,1,0,6,0,,2,1.0,0.0,0.0,,,,,,,,,,,,,
0,20152016,Whitecourt,AJHL,1,2,1,2,3,2,,3,0.0,0.0,0.0,,,,,,,,,,,,,
0,20152016,Red Deer,WHL,2,34,13,46,72,46,22.0,47,3.0,,0.0,,,,,,,,,,,,,
0,20152016,Red Deer Rebels,M-Cup,9111,1,0,2,4,2,1.0,1,,,,,,,,,,,,,,,,
0,20152016,Red Deer Rebels,WHL,9631,34,13,46,72,46,22.0,47,,,,,,,,,,,,,,,,
0,20152016,Whitecourt Wolverines,AJHL,124582,2,1,2,3,2,,3,,,,,,,,,,,,,,,,
0,20162017,Red Deer Rebels,WHL,9631,40,31,85,65,85,2.0,71,,,,,,,,,,,,,,,,
0,20172018,Red Deer Rebels,WHL,9631,41,18,45,56,45,2.0,59,,,,,,,,,,,,,,,,
0,20182019,Rockford IceHogs,AHL,8267,1,0,2,8,2,-4.0,1,,,,,,,,,,,,,,,,
0,20182019,Red Deer Rebels,WHL,9631,61,41,80,66,80,42.0,102,,,,,,,,,,,,,,,,
0,20192020,Chicago Blackhawks,National Hockey League,1,0,0,0,1,0,0.0,0,0.0,0.0,0.0,11:48,4.0,1.0,0.0,00:00,11:48,0.0,0.0,0.0,0.0,00:00,1.0,15.0
0,20192020,Rockford IceHogs,AHL,8267,12,19,38,59,38,0.0,31,,,,,,,,,,,,,,,,
0,20202021,Chicago Blackhawks,National Hockey League,1,15,9,11,52,11,-7.0,24,0.0,2.0,0.0,727:25,91.0,59.0,3.0,29:43,660:25,39.13,9.9,2.0,1.0,37:17,28.0,949.0
0,20202021,Thurgau,SL,3917,7,8,8,14,8,4.0,15,,,,,,,,,,,,,,,,
0,20202021,Canada,WC,17155,0,0,0,10,0,-4.0,0,,,,,,,,,,,,,,,,
0,20212022,Chicago Blackhawks,National Hockey League,1,16,21,23,55,23,-14.0,37,4.0,3.0,0.0,960:32,94.0,42.0,6.0,111:44,768:33,38.71,22.3,0.0,1.0,80:15,25.0,1202.0
0,20212022,Tampa Bay Lightning,National Hockey League,2,3,4,8,22,8,-4.0,7,0.0,0.0,1.0,298:56,31.0,21.0,0.0,01:58,269:36,46.15,12.9,0.0,2.0,27:22,7.0,404.0
