,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Saskatoon Generals Bantam AA,SBHL,10147298,43,65,68,43,68,0.0,108,,,,,,,,,,,,,,,,
0,20062007,Sask. Contacts,SMHL,1,43,27,63,41,63,,70,0.0,,,,,,,,,,,,,,,
0,20072008,Brandon,WHL,1,43,28,48,66,48,22.0,71,,8.0,0.0,,,,,,,,,,,,,
0,20072008,Canada,WJ18-A,2,2,1,6,7,6,,3,0.0,,,,,,,,,,,,,,,
0,20082009,Brandon,WHL,1,56,32,82,70,82,20.0,88,,10.0,3.0,,,,,,,,,,,,,
0,20092010,Los Angeles Kings,National Hockey League,1,0,0,0,1,0,-1.0,0,28.57,0.0,0.0,12:31,0.0,4.0,0.0,00:11,12:03,0.0,0.0,0.0,0.0,00:17,1.0,19.0
0,20092010,Canada,WJC-A,2,6,2,4,6,4,,8,0.0,,,,,,,,,,,,,,,
0,20092010,Brandon,WHL,3,65,34,55,59,55,41.0,99,,7.0,0.0,,,,,,,,,,,,,
0,20102011,Los Angeles Kings,National Hockey League,1,2,0,0,8,0,-1.0,2,33.33,0.0,0.0,89:59,11.0,12.0,0.0,12:39,76:17,0.0,0.0,0.0,0.0,01:03,1.0,123.0
0,20102011,Brandon,WHL,2,3,1,2,2,2,1.0,4,,1.0,0.0,,,,,,,,,,,,,
0,20102011,Saskatoon,WHL,3,32,21,23,27,23,18.0,53,,8.0,3.0,,,,,,,,,,,,,
0,20102011,Canada,WJC-A,4,10,8,0,7,0,10.0,18,,3.0,0.0,,,,,,,,1.0,,,,,
0,20102011,Manchester,AHL,5,4,3,4,7,4,3.0,7,,0.0,0.0,,14.0,,,,,21.43,0.0,,,,,
0,20112012,Philadelphia Flyers,National Hockey League,1,6,12,34,54,34,-7.0,18,46.1,4.0,0.0,762:43,97.0,136.0,5.0,91:08,666:04,12.37,3.0,0.0,0.0,05:31,26.0,1000.0
0,20112012,Adirondack,AHL,2,6,6,4,7,4,3.0,12,,1.0,0.0,,28.0,,,,,21.43,0.0,,,,,
0,20122013,Philadelphia Flyers,National Hockey League,1,18,8,24,47,24,-8.0,26,45.47,2.0,0.0,729:52,79.0,109.0,10.0,113:06,614:26,10.13,0.0,0.0,0.0,02:20,22.0,928.0
0,20122013,Adirondack,AHL,2,20,13,15,33,15,-14.0,33,,5.0,1.0,,118.0,,,,,11.02,3.0,,,,,
0,20132014,Philadelphia Flyers,National Hockey League,1,21,20,54,82,54,0.0,41,43.21,4.0,0.0,1291:21,178.0,200.0,9.0,179:18,1099:11,11.24,6.0,1.0,0.0,12:52,37.0,1652.0
0,20132014,Canada,WC-A,2,1,3,0,7,0,2.0,4,,1.0,0.0,,13.0,,,,,,0.0,,,,,
0,20142015,Philadelphia Flyers,National Hockey League,1,29,18,34,82,34,-5.0,47,46.74,7.0,0.0,1400:34,156.0,199.0,19.0,244:48,1152:35,11.54,6.0,1.0,0.0,03:11,38.0,1743.0
0,20142015,Canada,WC-A,2,0,1,0,2,0,4.0,1,,0.0,0.0,,2.0,,,,,,0.0,,,,,
0,20152016,Philadelphia Flyers,National Hockey League,1,33,26,33,80,33,3.0,59,44.83,11.0,0.0,1351:31,178.0,187.0,22.0,282:14,1068:29,14.61,5.0,0.0,0.0,00:48,30.0,1720.0
0,20162017,Philadelphia Flyers,National Hockey League,1,30,25,38,79,38,-13.0,55,46.96,17.0,0.0,1406:44,178.0,189.0,28.0,296:09,1109:36,14.04,7.0,2.0,0.0,00:59,42.0,1767.0
0,20162017,Canada,WC,17155,0,1,2,10,2,1.0,1,,,,,,,,,,,,,,,,
0,20172018,St. Louis Blues,National Hockey League,1,42,28,56,82,56,10.0,70,48.03,8.0,0.0,1617:29,210.0,154.0,19.0,262:17,1310:23,13.33,8.0,2.0,0.0,44:49,37.0,1952.0
0,20172018,Canada,WC,17155,3,2,0,10,0,1.0,5,,,,,,,,,,,,,,,,
0,20182019,St. Louis Blues,National Hockey League,1,37,17,40,72,40,3.0,54,47.5,4.0,0.0,1338:28,159.0,111.0,12.0,172:29,1122:40,10.69,5.0,1.0,0.0,43:19,31.0,1642.0
0,20192020,St. Louis Blues,National Hockey League,1,33,25,44,71,44,3.0,58,49.02,10.0,0.0,1310:33,138.0,119.0,21.0,202:39,1091:50,18.1,4.0,0.0,0.0,16:04,21.0,1561.0
0,20202021,St. Louis Blues,National Hockey League,1,20,16,35,56,35,-2.0,36,52.3,6.0,0.0,1072:02,113.0,119.0,9.0,139:22,896:30,14.2,2.0,0.0,0.0,36:10,35.0,1256.0
0,20212022,St. Louis Blues,National Hockey League,1,34,24,33,62,33,21.0,58,49.05,7.0,0.0,1102:39,111.0,119.0,17.0,148:43,923:40,21.6,3.0,1.0,0.0,30:16,17.0,1337.0
