,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Los Angeles Jr. Kings 13U AAA,13U AAA,176105,14,14,36.0,43,36,28,
0,20152016,Los Angeles Jr. Kings 14U AAA,T1EHL 14U,173454,1,0,6.0,10,6,1,
0,20152016,Los Angeles Jr. Kings 14U AAA,14U AAA,173468,13,11,56.0,51,56,24,
0,20162017,Shattuck St. Mary's 16U AAA,16U AAA,108235,14,8,19.0,53,19,22,
0,20172018,Shattuck St. Mary's 16U AAA,16U AAA,108235,39,28,34.0,54,34,67,
0,20172018,Team Black,USA-S16,177514,6,1,,5,,7,
0,20182019,Green Bay Gamblers,USHL,9936,0,1,2.0,6,2,1,-1.0
0,20182019,Shattuck St. Mary's 18U Prep,USHS-Prep,23882,59,42,56.0,55,56,101,
0,20182019,Team Red,USA-S17,177545,5,4,2.0,5,2,9,
0,20192020,Chicago Steel,USHL,9906,35,24,50.0,45,50,59,17.0
0,20192020,USA U19,WJAC-19,87412,7,5,4.0,6,4,12,
0,20202021,Univ. of Michigan,NCAA,8590,11,10,18.0,24,18,21,10.0
0,20202021,USA U20,WJC-20,17276,0,2,0.0,7,0,2,0.0
0,20212022,Univ. of Michigan,NCAA,8590,21,21,32.0,38,32,42,17.0
0,20212022,USA,OG,16972,0,2,2.0,4,2,2,0.0
0,20212022,Henderson Silver Knights,AHL,307807,5,3,4.0,7,4,8,0.0
