,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Markham,Minor-ON,1,93,55,54,86,54,148,,,,,,,,,,,,,,,,,
0,20092010,Markham,CCHL,2,0,0,0,1,0,0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,
0,20102011,Belleville,OHL,1,25,11,40,65,40,36,2.0,,0.0,-31.0,,,,,,,,,,,,,
0,20112012,Belleville,OHL,1,40,28,68,68,68,68,5.0,,4.0,4.0,,,,,,,,,,,,,
0,20112012,Canada,WJ18-A,2,1,3,8,7,8,4,0.0,0.0,1.0,4.0,,,,,,,,,,,,,
0,20122013,Belleville,OHL,1,27,33,44,60,44,60,10.0,,1.0,10.0,,,,,,,,,,,,,
0,20132014,Belleville,OHL,1,16,10,27,22,27,26,2.0,0.0,1.0,-5.0,,,,,,,,,,,,,
0,20132014,Erie,OHL,2,25,21,32,43,32,46,8.0,1.0,2.0,30.0,,,,,,,,,,,,,
0,20142015,Utica,AHL,1,18,11,31,74,31,29,2.0,2.0,0.0,-1.0,154.0,7.1,,,,,,,,,,,
0,20152016,Vancouver Canucks,National Hockey League,1,0,1,2,20,2,1,0.0,0.0,0.0,-9.0,34.0,2.94,255:10,34.0,0.0,08:16,225:17,45.79,0.0,0.0,21:37,3.0,356.0
0,20152016,Utica,AHL,2,21,17,16,46,16,38,2.0,3.0,2.0,12.0,117.0,14.5,,,,,,,,,,,
0,20152016,Utica Comets,AHL,152247,21,17,16,46,16,38,,,,12.0,,,,,,,,,,,,,
0,20162017,Vancouver Canucks,National Hockey League,1,5,0,33,57,33,5,0.0,0.0,0.0,-2.0,51.0,0.0,541:00,94.0,0.0,03:48,509:52,51.22,0.0,0.0,27:20,12.0,821.0
0,20162017,Utica Comets,AHL,152247,1,2,2,4,2,3,,,,0.0,,,,,,,,,,,,,
0,20172018,Vancouver Canucks,National Hockey League,1,2,4,10,37,10,6,1.0,1.0,0.0,0.0,55.0,7.27,492:28,48.0,1.0,01:41,422:55,45.24,0.0,0.0,67:52,11.0,706.0
0,20172018,Utica Comets,AHL,152247,1,2,0,5,0,3,,,,2.0,,,,,,,,,,,,,
0,20182019,Vancouver Canucks,National Hockey League,1,2,1,0,3,0,3,0.0,1.0,0.0,3.0,2.0,50.0,22:50,4.0,0.0,00:00,22:50,61.54,0.0,0.0,00:00,0.0,37.0
0,20182019,Utica Comets,AHL,152247,22,16,54,60,54,38,,,,-2.0,,,,,,,,,,,,,
0,20192020,Boston Bruins,National Hockey League,1,1,0,2,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,09:10,2.0,0.0,00:00,09:10,0.0,0.0,0.0,00:00,0.0,11.0
0,20192020,Providence Bruins,AHL,897,19,18,34,52,34,37,,,,18.0,,,,,,,,,,,,,
0,20202021,Växjö Lakers HC,SHL,4189,7,5,18,18,18,12,,,,10.0,,,,,,,,,,,,,
0,20212022,Columbus Blue Jackets,National Hockey League,1,2,5,12,30,12,7,0.0,0.0,0.0,2.0,44.0,11.4,242:53,42.0,0.0,00:07,242:41,52.38,0.0,0.0,00:05,9.0,351.0
0,20212022,Cleveland Monsters,AHL,22447,12,16,28,39,28,28,,,,-8.0,,,,,,,,,,,,,
