,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Lon. Knights MM,Minor-ON,1,26,20,20,29,20,46,,,,,,,,,,,,,,,,,
0,20112012,Lon. Knights Mid.,Minor-ON,2,1,1,2,1,2,2,,,,,,,,,,,,,,,,,
0,20122013,Kingston,ON-Jr.A,1,7,3,18,49,18,10,0.0,1.0,0.0,,,,,,,,,,,,,,
0,20132014,Kingston,ON-Jr.A,1,43,26,67,49,67,69,6.0,4.0,0.0,,,,,,,,,,,,,,
0,20142015,Merrimack,H-East,1,15,11,55,34,55,26,2.0,3.0,0.0,,,,,,,,,,,,,,
0,20152016,Merrimack,H-East,1,18,8,34,32,34,26,1.0,1.0,0.0,56.0,7.0,,,,,,,,,,,,
0,20152016,Merrimack College,NCAA,19270,18,8,34,32,34,26,,,,,7.0,,,,,,,,,,,,
0,20162017,Merrimack College,NCAA,19270,21,10,38,36,38,31,,,,,10.0,,,,,,,,,,,,
0,20172018,Merrimack College,NCAA,19270,19,13,48,37,48,32,,,,,-4.0,,,,,,,,,,,,
0,20172018,Binghamton Devils,AHL,233827,5,3,16,12,16,8,,,,,-5.0,,,,,,,,,,,,
0,20182019,New Jersey Devils,National Hockey League,1,8,5,31,51,31,13,0.0,0.0,0.0,49.0,-14.0,526:44,48.0,1.0,08:31,515:41,37.69,10.2,0.0,0.0,02:32,15.0,705.0
0,20182019,Binghamton Devils,AHL,233827,16,3,48,26,48,19,,,,,-19.0,,,,,,,,,,,,
0,20192020,New Jersey Devils,National Hockey League,1,0,0,0,2,0,0,0.0,0.0,0.0,1.0,-1.0,19:52,2.0,0.0,00:00,19:52,0.0,0.0,0.0,0.0,00:00,0.0,26.0
0,20192020,Binghamton Devils,AHL,233827,25,19,66,61,66,44,,,,,-11.0,,,,,,,,,,,,
0,20202021,Binghamton Devils,AHL,233827,5,5,22,30,22,10,,,,,-7.0,,,,,,,,,,,,
0,20212022,Toronto Maple Leafs,National Hockey League,1,0,0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,14:02,3.0,0.0,00:00,14:02,0.0,0.0,0.0,0.0,00:00,2.0,20.0
0,20212022,Toronto Marlies,AHL,13377,42,17,81,62,81,59,,,,,16.0,,,,,,,,,,,,
