,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20022003,Ajax,OPJHL,1,2097:00,0.0,3.86,39,135.0,,,,,,,,,,,,,,,,,
0,20032004,U. Of Wisconsin,WCHA,1,336:00,0.0,2.14,6,12.0,0.0,3.0,3.0,,,,,,,,,,,,,,
0,20042005,U. Of Wisconsin,WCHA,1,467:00,3.0,1.16,9,9.0,1.0,6.0,2.0,,,,,,,,,,,,,,
0,20052006,U. Of Wisconsin,WCHA,1,2128:00,8.0,1.55,35,55.0,3.0,27.0,5.0,,,,,,,,,,,,,,
0,20062007,U. Of Wisconsin,WCHA,1,2053:00,5.0,2.1,36,72.0,2.0,15.0,17.0,,,,,,,,,,,,,,
0,20062007,Binghamton,AHL,2,425:00,0.0,4.24,8,30.0,0.0,3.0,4.0,233.0,0.886,263.0,,,,,,,,,,,
0,20072008,Ottawa Senators,National Hockey League,1,59:42,0.0,1.005025,1,1.0,,1.0,0.0,28.0,0.965517,29.0,0.0,5.0,2.0,21.0,2.0,22.0,5.0,1.0,100.0,100.0,95.45454545454545
0,20072008,Binghamton,AHL,2,,2.0,2.81,44,112.0,1.0,18.0,19.0,1206.0,0.915,1318.0,,,,,,,,,,,
0,20082009,Ottawa Senators,National Hockey League,1,1667:02,1.0,2.77139,31,77.0,,16.0,8.0,709.0,0.902036,786.0,3.0,112.0,19.0,578.0,20.0,628.0,138.0,30.0,81.15942028985508,95.0,92.03821656050955
0,20082009,Binghamton,AHL,2,1691:00,2.0,2.31,30,65.0,1.0,18.0,8.0,816.0,0.93,881.0,,,,,,,,,,,
0,20092010,Ottawa Senators,National Hockey League,1,3037:56,5.0,2.567535,55,130.0,,29.0,18.0,1294.0,0.908708,1424.0,4.0,254.0,52.0,988.0,54.0,1089.0,281.0,48.0,90.39145907473309,96.29629629629629,90.72543617998163
0,20102011,Ottawa Senators,National Hockey League,1,2292:58,3.0,3.192371,43,122.0,,13.0,19.0,1025.0,0.893636,1147.0,8.0,178.0,35.0,812.0,37.0,906.0,204.0,39.0,87.25490196078431,94.5945945945946,89.62472406181016
0,20102011,Colorado Avalanche,National Hockey League,2,690:10,0.0,3.825163,12,44.0,,2.0,8.0,360.0,0.891089,404.0,1.0,52.0,7.0,301.0,9.0,331.0,64.0,12.0,81.25,77.77777777777779,90.93655589123867
0,20112012,St. Louis Blues,National Hockey League,1,2234:35,9.0,1.557337,38,58.0,,23.0,10.0,914.0,0.940329,972.0,4.0,135.0,17.0,762.0,18.0,806.0,148.0,36.0,91.21621621621621,94.44444444444444,94.54094292803971
0,20122013,St. Louis Blues,National Hockey League,1,1291:56,3.0,2.275659,24,49.0,,14.0,8.0,477.0,0.906844,526.0,1.0,55.0,11.0,411.0,12.0,448.0,66.0,20.0,83.33333333333334,91.66666666666666,91.74107142857143
0,20122013,Peoria,AHL,2,119:00,1.0,1.51,2,3.0,0.0,1.0,1.0,53.0,0.946,56.0,,,,,,,,,,,
0,20132014,St. Louis Blues,National Hockey League,1,1624:19,4.0,1.957746,31,53.0,,18.0,6.0,628.0,0.922173,681.0,2.0,93.0,12.0,523.0,14.0,566.0,101.0,25.0,92.07920792079209,85.71428571428571,92.40282685512368
0,20142015,St. Louis Blues,National Hockey League,1,2545:48,5.0,2.26255,46,96.0,,26.0,14.0,1054.0,0.916522,1150.0,3.0,141.0,27.0,886.0,32.0,958.0,160.0,45.0,88.125,84.375,92.48434237995825
0,20152016,St. Louis Blues,National Hockey League,1,2263:00,4.0,2.068051,42,78.0,,23.0,8.0,1035.0,0.929919,1113.0,6.0,193.0,24.0,818.0,24.0,876.0,213.0,38.0,90.61032863849765,100.0,93.37899543378995
0,20162017,Calgary Flames,National Hockey League,1,2844:25,2.0,2.552369,49,121.0,,26.0,18.0,1217.0,0.909567,1338.0,3.0,206.0,31.0,980.0,34.0,1068.0,236.0,45.0,87.28813559322035,91.17647058823529,91.76029962546816
0,20172018,Philadelphia Flyers,National Hockey League,1,2522:00,1.0,2.664552,43,112.0,0.0,23.0,11.0,1116.0,0.908795,1228.0,7.0,125.0,38.0,953.0,44.0,1030.0,154.0,42.0,81.16883116883116,86.36363636363636,92.5242718446602
0,20182019,Philadelphia Flyers,National Hockey League,1,1396:43,1.0,2.964094,26,69.0,0.0,11.0,11.0,672.0,0.906883,741.0,1.0,87.0,23.0,562.0,26.0,612.0,103.0,23.0,84.46601941747572,88.46153846153845,91.83006535947712
0,20182019,Lehigh Valley Phantoms,AHL,173347,,,3.47,2,,,,,,0.877,,,,,,,,,,,,
0,20192020,Philadelphia Flyers,National Hockey League,1,1673:54,2.0,2.8676,31,80.0,0.0,16.0,7.0,716.0,0.899,796.0,4.0,84.0,26.0,606.0,28.0,668.0,100.0,27.0,84.0,92.85714285714286,90.71856287425149
0,20202021,Philadelphia Flyers,National Hockey League,1,1607:43,2.0,3.0602,30,82.0,0.0,15.0,9.0,656.0,0.889,738.0,2.0,89.0,17.0,550.0,19.0,615.0,104.0,26.0,85.57692307692307,89.47368421052632,89.43089430894308
0,20212022,Tampa Bay Lightning,National Hockey League,1,1063:25,1.0,2.42614,19,43.0,0.0,11.0,4.0,446.0,0.912,489.0,3.0,72.0,11.0,363.0,12.0,395.0,82.0,17.0,87.8048780487805,91.66666666666666,91.89873417721519
