,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Delano High,USHS-MN,90298,13,9,12.0,25,12,22,
0,20152016,Delano High,USHS-MN,90298,24,14,8.0,25,8,38,
0,20152016,B16 - White (Final 54),MNHP-16,283034,0,0,,3,,0,
0,20162017,Des Moines Buccaneers,USHL,9926,0,2,0.0,8,0,2,0.0
0,20162017,Team Twin Cities Orthopedics,UMHSEHL,63758,13,13,14.0,21,14,26,
0,20162017,Delano High,USHS-MN,90298,44,37,10.0,25,10,81,
0,20162017,Team Grey,USA-S17,177425,5,0,,5,,5,
0,20162017,B17 - Red (Final 54),MNHP-17,283055,0,3,,3,,3,
0,20172018,Des Moines Buccaneers,USHL,9926,19,16,40.0,59,40,35,-11.0
0,20182019,Michigan Tech,NCAA,6040,9,12,26.0,35,26,21,1.0
0,20192020,Michigan Tech,NCAA,6040,10,12,22.0,39,22,22,4.0
0,20202021,Michigan Tech,NCAA,6040,10,8,16.0,28,16,18,6.0
0,20212022,Michigan Tech,NCAA,6040,23,21,49.0,37,49,44,21.0
0,20212022,Utica Comets,AHL,152247,1,2,4.0,12,4,3,-4.0
