,season,team,league,sequenceNumber,assists,goals,games,faceOffPct,points,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Warroad,High-MN,1,9,14,31,0.0,23,,,,,,,,,,,,,,,,,,
0,20082009,Warroad,High-MN,1,36,45,31,0.0,81,,,,,,,,,,,,,,,,,,
0,20092010,Great Plains,UMHSEL,1,10,5,24,0.0,15,,,,,,,,,,,,,,,,,,
0,20092010,Warroad,High-MN,2,34,39,25,0.0,73,38.0,38,,,,,,,,,,,,,,,,
0,20102011,North Dakota,WCHA,1,13,8,42,,21,27.0,27,4.0,1.0,0.0,,,,,,,,,,,,,
0,20102011,U.S.A.,WJC-A,2,1,0,5,,1,0.0,0,0.0,0.0,0.0,-1.0,,,,,,,,,,,,
0,20112012,North Dakota,WCHA,1,19,28,42,,47,4.0,4,10.0,6.0,1.0,,,,,,,,,,,,,
0,20112012,Bridgeport,AHL,2,0,0,4,,0,0.0,0,0.0,0.0,0.0,-1.0,5.0,0.0,,,,,,,,,,
0,20122013,Bridgeport,AHL,1,27,25,66,,52,34.0,34,11.0,6.0,2.0,0.0,187.0,13.37,,,,,,,,,,
0,20132014,New York Islanders,National Hockey League,1,12,14,72,42.35,26,12.0,12,3.0,1.0,0.0,-10.0,132.0,10.61,1026:53,74.0,7.0,133:30,832:38,0.0,0.0,60:45,38.0,1454.0
0,20132014,Bridgeport,AHL,2,1,0,1,,1,2.0,2,0.0,0.0,0.0,2.0,6.0,0.0,,,,,,,,,,
0,20132014,U.S.A.,WC-A,3,2,4,7,,6,8.0,8,2.0,0.0,0.0,3.0,19.0,,,,,,,,,,,
0,20142015,New York Islanders,National Hockey League,1,22,20,82,44.31,42,24.0,24,10.0,3.0,0.0,6.0,190.0,10.53,1302:25,99.0,15.0,222:21,1002:24,0.0,0.0,77:40,52.0,1714.0
0,20142015,U.S.A.,WC-A,2,4,6,10,,10,8.0,8,1.0,3.0,0.0,7.0,20.0,,,,,,,,,,,
0,20152016,New York Islanders,National Hockey League,1,14,26,81,47.94,40,30.0,30,3.0,3.0,0.0,-3.0,165.0,15.76,1280:04,59.0,5.0,143:38,1098:14,0.0,0.0,38:12,50.0,1676.0
0,20152016,U.S.A.,WC-A,2,3,1,6,,4,2.0,2,1.0,0.0,0.0,0.0,16.0,,,,,,,,,,,
0,20152016,USA,WC,17215,3,1,6,,4,2.0,2,,,,0.0,,,,,,,,,,,,
0,20162017,New York Islanders,National Hockey League,1,25,20,81,43.74,45,36.0,36,1.0,4.0,0.0,-6.0,173.0,11.56,1267:30,50.0,6.0,151:30,1066:58,1.0,1.0,49:02,48.0,1730.0
0,20162017,USA,WC,17215,3,4,8,,7,2.0,2,,,,5.0,,,,,,,,,,,,
0,20172018,New York Islanders,National Hockey League,1,16,19,82,48.32,35,43.0,43,4.0,3.0,0.0,-4.0,138.0,13.77,1207:44,50.0,8.0,147:57,1005:13,1.0,0.0,54:34,52.0,1502.0
0,20182019,New York Islanders,National Hockey League,1,28,25,82,47.67,53,28.0,28,2.0,3.0,1.0,20.0,181.0,13.81,1473:43,51.0,8.0,197:03,1210:55,1.0,1.0,65:45,55.0,1828.0
0,20192020,New York Islanders,National Hockey League,1,28,26,68,51.77,54,32.0,32,4.0,5.0,0.0,6.0,175.0,14.9,1282:28,49.0,7.0,138:04,1037:12,3.0,0.0,107:12,44.0,1649.0
0,20202021,New York Islanders,National Hockey League,1,15,18,56,49.36,33,14.0,14,7.0,4.0,0.0,-5.0,121.0,14.9,998:35,36.0,9.0,118:41,823:33,0.0,0.0,56:21,26.0,1263.0
0,20212022,New York Islanders,National Hockey League,1,22,37,72,49.38,59,33.0,33,11.0,5.0,0.0,-5.0,171.0,21.6,1272:52,31.0,14.0,161:55,1058:23,0.0,0.0,52:34,43.0,1615.0
