,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20092010,Waterloo High,USHS-IA,120418,0.905,3.25,3,,,,,,,,,,,,,,,,,,,
0,20102011,Chi. Americans,T1EHL,1,,2.3,24,1244:00,4.0,5.0,13.0,6.0,53.0,,,,,,,,,,,,,
0,20112012,Chi. Americans,HPHL,1,,3.09,12,680:00,0.0,2.0,3.0,6.0,35.0,,,,,,,,,,,,,
0,20112012,Topeka,NAHL,2,0.924528,1.86,2,129:00,0.0,1.0,1.0,0.0,4.0,49.0,53.0,,,,,,,,,,,
0,20112012,Waterloo,USHL,3,0.902256,2.94,5,265:00,0.0,0.0,3.0,1.0,13.0,120.0,133.0,,,,,,,,,,,
0,20122013,Waterloo,USHL,1,0.905975,2.97,35,1937:00,3.0,1.0,21.0,11.0,96.0,925.0,1021.0,,,,,,,,,,,
0,20132014,Waterloo,USHL,1,0.915068,2.5,37,2229:00,2.0,6.0,27.0,7.0,93.0,1002.0,1095.0,,,,,,,,,,,
0,20142015,U. of Notre Dame,H-East,1,,2.51,33,1892:00,4.0,3.0,13.0,16.0,79.0,,,,,,,,,,,,,
0,20142015,Univ. of Notre Dame,NCAA,16100,0.919,2.51,33,,,,,,,,,,,,,,,,,,,
0,20152016,U. of Notre Dame,H-East,1,,2.2,37,2232:00,1.0,7.0,19.0,11.0,82.0,,1131.0,,,,,,,,,,,
0,20152016,Univ. of Notre Dame,NCAA,16100,0.927,2.2,37,,,,,,,,,,,,,,,,,,,
0,20162017,Univ. of Notre Dame,NCAA,16100,0.926,2.22,40,,,,,,,,,,,,,,,,,,,
0,20172018,Ontario Reign,AHL,26957,0.91,2.58,41,,,,,,,,,,,,,,,,,,,
0,20182019,Los Angeles Kings,National Hockey League,1,0.923944,2.605758,11,621:42,1.0,0.0,5.0,4.0,27.0,328.0,355.0,1.0,46.0,13.0,269.0,14.0,283.0,58.0,10.0,79.3103448275862,92.85714285714286,95.0530035335689
0,20182019,Ontario Reign,AHL,26957,0.896,4.02,38,,,,,,,,,,,,,,,,,,,
0,20192020,Los Angeles Kings,National Hockey League,1,0.922,2.6395,8,477:22,0.0,0.0,5.0,3.0,21.0,248.0,269.0,0.0,34.0,8.0,206.0,8.0,224.0,37.0,8.0,91.8918918918919,100.0,91.96428571428571
0,20192020,Ontario Reign,AHL,26957,0.906,3.43,37,,,,,,,,,,,,,,,,,,,
0,20202021,Los Angeles Kings,National Hockey League,1,0.911,2.8871,35,2015:51,0.0,0.0,9.0,18.0,97.0,998.0,1095.0,5.0,154.0,34.0,810.0,37.0,885.0,173.0,32.0,89.01734104046243,91.8918918918919,91.52542372881356
0,20202021,USA,WC,17215,0.953,1.29,7,,,,,,,,,,,,,,,,,,,
0,20212022,Los Angeles Kings,National Hockey League,1,0.895,2.89456,37,2176:30,3.0,0.0,20.0,14.0,105.0,897.0,1002.0,2.0,117.0,34.0,746.0,38.0,824.0,140.0,35.0,83.57142857142857,89.47368421052632,90.53398058252428
