,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Jämtland/Härjedalen,TV-Pucken,11016,0,0,10,5,10,0,
0,20142015,Östersunds IK J18,J18 Elit,15644,11,9,22,27,22,20,5.0
0,20162017,Timrå IK,HockeyAllsvenskan,1340,0,0,0,2,0,0,-1.0
0,20162017,Timrå IK J20,J20 Nationell,5909,1,0,0,1,0,1,-1.0
0,20162017,Sweden U18,WJC-18,8573,0,0,2,6,2,0,4.0
0,20162017,Östersunds IK,HockeyEttan,17181,10,5,26,34,26,15,12.0
0,20172018,Leksands IF,HockeyAllsvenskan,1510,3,0,8,24,8,3,1.0
0,20172018,Leksands IF J20,J20 Nationell,5839,5,0,10,13,10,5,-2.0
0,20182019,Leksands IF,HockeyAllsvenskan,1510,5,2,4,20,4,7,11.0
0,20192020,Leksands IF,SHL,1079,0,0,2,13,2,0,-10.0
0,20192020,Västerås IK,HockeyAllsvenskan,4310,3,0,6,23,6,3,-9.0
0,20192020,Leksands IF J20,J20 Nationell,5839,0,2,2,3,2,2,4.0
0,20202021,Leksands IF,SHL,1079,6,1,6,48,6,7,-4.0
0,20212022,Leksands IF,Champions HL,392,3,2,2,9,2,5,-1.0
0,20212022,Leksands IF,SHL,1079,16,6,8,46,8,22,-6.0
0,20212022,Sweden,EHT,89816,2,0,2,2,2,2,1.0
