,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Honeybaked 13U AAA,T1EHL 13U,149043,19,6,6.0,24,6,25,,,,,,,,,,,,,,,,,
0,20052006,Honeybaked Bantam Major AAA,T1EBHL,122779,17,11,18.0,29,18,28,0.0,,,,,,,,,,,,,,,,
0,20062007,Det. Honeybaked,MWEHL,1,13,5,18.0,21,18,18,,0.0,,,,,,,,,,,,,,,
0,20062007,Det. Honeybaked,Minor-MI,2,7,3,,31,,10,,0.0,,,,,,,,,,,,,,,
0,20072008,USNTDP,NAHL,1,10,3,2.0,38,2,13,-3.0,,1.0,0.0,0.0,,,,,,,,,,,,
0,20072008,USNTDP,U-17,2,2,0,8.0,18,8,2,,0.0,,,,,,,,,,,,,,,
0,20072008,USNTDP,U-18,3,0,0,0.0,1,0,0,,0.0,,,,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,1,7,2,12.0,14,12,9,,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-18,2,25,6,32.0,33,32,31,,0.0,,,,,,,,,,,,,,,
0,20082009,United States,WJ18-A,3,7,1,4.0,7,4,8,,0.0,,,,,,,,,,,,,,,
0,20092010,Windsor,OHL,1,47,8,14.0,55,14,55,38.0,,6.0,,0.0,,,,,,,,,,,,
0,20092010,U.S.A.,WJC-A,2,2,0,4.0,7,4,2,8.0,,0.0,0.0,0.0,,,,,,,,,,,,
0,20102011,Anaheim Ducks,National Hockey League,1,30,10,20.0,76,20,40,-25.0,0.0,6.0,3.0,0.0,1681:53,123.0,45.0,23.0,275:53,1377:51,8.13,2.0,0.0,28:09,93.0,1925.0
0,20102011,U.S.A.,WC-A,2,2,1,2.0,7,2,3,-3.0,,1.0,0.0,0.0,,,,,,,,,,,,
0,20112012,Anaheim Ducks,National Hockey League,1,24,5,18.0,82,18,29,-28.0,100.0,2.0,0.0,0.0,1907:22,123.0,43.0,11.0,301:12,1548:40,4.07,0.0,0.0,57:30,94.0,1999.0
0,20112012,U.S.A.,WC-A,2,4,1,2.0,8,2,5,5.0,,0.0,0.0,0.0,,,,,,,,,,,,
0,20122013,Anaheim Ducks,National Hockey League,1,10,1,4.0,37,4,11,-4.0,0.0,1.0,0.0,0.0,756:15,50.0,19.0,6.0,92:57,644:59,2.0,0.0,0.0,18:19,41.0,827.0
0,20122013,Sodertalje,Sweden-2,99,5,2,14.0,14,14,7,,,,,,,,,,,,,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,30,6,14.0,70,14,36,15.0,0.0,4.0,2.0,1.0,1670:24,100.0,46.0,15.0,237:12,1244:56,6.0,0.0,1.0,188:16,122.0,2048.0
0,20132014,U.S.A.,Olympics,2,0,1,0.0,6,0,1,4.0,,1.0,0.0,0.0,,7.0,,,,,,,,,,
0,20142015,Anaheim Ducks,National Hockey League,1,27,7,14.0,80,14,34,4.0,0.0,1.0,2.0,1.0,1691:30,87.0,47.0,9.0,192:35,1354:13,8.05,1.0,2.0,144:42,107.0,2056.0
0,20152016,Anaheim Ducks,National Hockey League,1,23,5,27.0,69,27,28,-8.0,0.0,3.0,0.0,0.0,1571:52,113.0,43.0,17.0,206:35,1215:24,4.42,0.0,0.0,149:53,112.0,1842.0
0,20162017,Anaheim Ducks,National Hockey League,1,28,11,20.0,80,20,39,7.0,0.0,5.0,3.0,1.0,1987:51,186.0,29.0,15.0,248:08,1519:11,5.91,0.0,2.0,220:32,134.0,2258.0
0,20172018,Anaheim Ducks,National Hockey League,1,24,8,28.0,67,28,32,3.0,50.0,1.0,1.0,1.0,1665:11,122.0,21.0,10.0,174:23,1330:29,6.56,0.0,2.0,160:19,108.0,1735.0
0,20182019,Anaheim Ducks,National Hockey League,1,18,5,20.0,59,20,23,-14.0,0.0,1.0,2.0,0.0,1378:42,88.0,32.0,6.0,148:04,1141:46,5.68,1.0,1.0,88:52,91.0,1727.0
0,20192020,Anaheim Ducks,National Hockey League,1,20,9,20.0,59,20,29,0.0,0.0,2.0,2.0,0.0,1297:22,117.0,25.0,8.0,151:11,1106:17,7.7,0.0,0.0,39:54,58.0,1649.0
0,20202021,Anaheim Ducks,National Hockey League,1,18,5,18.0,56,18,23,-4.0,0.0,0.0,1.0,0.0,1218:35,75.0,27.0,4.0,100:17,1009:28,6.7,0.0,0.0,108:50,36.0,1528.0
0,20212022,Anaheim Ducks,National Hockey League,1,33,9,14.0,76,14,42,-9.0,0.0,6.0,1.0,0.0,1855:38,124.0,37.0,18.0,162:59,1475:54,7.3,0.0,0.0,216:45,116.0,2084.0
