,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,shotsAgainst,saves,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20042005,Hamilton Red Wings,OPJHL,11390,0.0,0.0,19,,,,,,,,,,,,,,,,,,,
0,20052006,Hamilton,OPJHL,1,,2.55,35,2046:00,1.0,1.0,21.0,13.0,87.0,,,,,,,,,,,,,
0,20062007,Hamilton,OPJHL,1,,2.08,28,1644:00,1.0,2.0,19.0,5.0,57.0,,,,,,,,,,,,,
0,20072008,AL-Huntsville,CHA,1,,4.63,13,583:00,0.0,0.0,1.0,10.0,45.0,322.0,,,,,,,,,,,,
0,20082009,AL-Huntsville,CHA,1,,2.95,24,1320:00,1.0,3.0,2.0,16.0,65.0,700.0,,,,,,,,,,,,
0,20092010,AL-Huntsville,CHA,1,,2.61,33,1958:00,1.0,3.0,12.0,18.0,85.0,,,,,,,,,,,,,
0,20092010,Hartford,AHL,2,0.727,9.7,1,19:00,0.0,0.0,0.0,0.0,3.0,11.0,8.0,,,,,,,,,,,
0,20102011,Connecticut,AHL,1,0.902,2.84,22,1308:00,2.0,2.0,11.0,9.0,62.0,570.0,632.0,,,,,,,,,,,
0,20102011,Greenville,ECHL,2,0.921,2.46,2,122:00,0.0,1.0,1.0,0.0,5.0,63.0,58.0,,,,,,,,,,,
0,20112012,Connecticut,AHL,1,0.913,2.61,33,1865:00,4.0,1.0,14.0,15.0,81.0,935.0,854.0,,,,,,,,,,,
0,20122013,Connecticut,AHL,1,0.918,2.63,55,3105:00,2.0,1.0,25.0,28.0,136.0,1668.0,1532.0,,,,,,,,,,,
0,20132014,New York Rangers,National Hockey League,1,0.941071,1.635463,21,1210:40,3.0,,12.0,6.0,33.0,560.0,527.0,1.0,76.0,14.0,437.0,15.0,465.0,80.0,19.0,95.0,93.33333333333333,93.97849462365592
0,20132014,Hartford,AHL,2,0.924,2.49,5,314:00,0.0,1.0,4.0,0.0,13.0,171.0,158.0,,,,,,,,,,,
0,20142015,New York Rangers,National Hockey League,1,0.925819,2.205303,36,2094:57,5.0,,21.0,9.0,77.0,1038.0,961.0,4.0,93.0,22.0,846.0,24.0,909.0,105.0,34.0,88.57142857142857,91.66666666666666,93.06930693069307
0,20152016,Edmonton Oilers,National Hockey League,1,0.916869,2.550564,56,3222:49,3.0,,21.0,27.0,137.0,1648.0,1511.0,5.0,242.0,37.0,1232.0,38.0,1339.0,271.0,53.0,89.2988929889299,97.36842105263158,92.00896191187454
0,20152016,Canada,WC-A,2,,1.25,8,480:00,4.0,0.0,7.0,1.0,10.0,167.0,,,,,,,,,,,,
0,20152016,Canada,WC,17155,0.94,1.25,8,,,,,,,,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,0.919225,2.389381,73,4294:00,7.0,,42.0,22.0,171.0,2117.0,1946.0,8.0,278.0,38.0,1630.0,41.0,1759.0,317.0,73.0,87.69716088328076,92.6829268292683,92.66628766344513
0,20172018,Edmonton Oilers,National Hockey League,1,0.907662,3.024048,67,3730:06,1.0,0.0,31.0,31.0,188.0,2036.0,1848.0,3.0,223.0,46.0,1579.0,48.0,1725.0,263.0,67.0,84.79087452471484,95.83333333333334,91.53623188405797
0,20182019,Edmonton Oilers,National Hockey League,1,0.893018,3.363692,31,1694:34,1.0,0.0,10.0,15.0,95.0,888.0,793.0,3.0,95.0,16.0,682.0,19.0,750.0,119.0,29.0,79.83193277310924,84.21052631578947,90.93333333333334
0,20182019,Philadelphia Flyers,National Hockey League,2,0.880734,3.701946,4,210:42,0.0,0.0,1.0,2.0,13.0,109.0,96.0,0.0,10.0,5.0,81.0,5.0,90.0,14.0,3.0,71.42857142857143,100.0,90.0
0,20192020,Calgary Flames,National Hockey League,1,0.919,2.6348,26,1434:39,2.0,0.0,12.0,10.0,63.0,780.0,717.0,1.0,79.0,7.0,631.0,8.0,683.0,89.0,22.0,88.76404494382022,87.5,92.3865300146413
0,20202021,Minnesota Wild,National Hockey League,1,0.915,2.6307,33,1961:27,2.0,0.0,19.0,8.0,86.0,1008.0,922.0,5.0,128.0,23.0,771.0,25.0,839.0,144.0,33.0,88.88888888888889,92.0,91.89511323003575
0,20212022,Minnesota Wild,National Hockey League,1,0.911,2.76499,49,2864:23,3.0,0.0,32.0,12.0,132.0,1488.0,1356.0,4.0,204.0,47.0,1105.0,49.0,1202.0,237.0,48.0,86.07594936708861,95.91836734693877,91.93011647254575
