,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,Shattuck St. Mary's 14U AAA,14U AAA,91408,51,18,15,60,15,69,,,,,,,,,,,,,,,,,
0,20162017,Shattuck St. Mary's 18U Prep,USHS-Prep,23882,39,9,6,54,6,48,,,,,,,,,,,,,,,,,
0,20162017,Team Columbia,USA-S15,225063,1,2,0,3,0,3,,,,,,,,,,,,,,,,,
0,20172018,USA U18,WJC-18,17253,6,0,0,7,0,6,6.0,,,,,,,,,,,,,,,,
0,20172018,U.S. National U18 Team,USDP,19564,10,3,6,21,6,13,,,,,,,,,,,,,,,,,
0,20172018,U.S. National U17 Team,USDP,19734,20,5,12,38,12,25,,,,,,,,,,,,,,,,,
0,20172018,USNTDP Juniors,USHL,52486,11,3,12,33,12,14,13.0,,,,,,,,,,,,,,,,
0,20172018,USA U17,WHC-17,61270,4,1,4,6,4,5,,,,,,,,,,,,,,,,,
0,20182019,USA U18,WJC-18,17253,7,4,0,7,0,11,13.0,,,,,,,,,,,,,,,,
0,20182019,U.S. National U18 Team,USDP,19564,51,14,16,63,16,65,,,,,,,,,,,,,,,,,
0,20182019,USNTDP Juniors,USHL,52486,26,7,12,28,12,33,40.0,,,,,,,,,,,,,,,,
0,20192020,Univ. of Michigan,NCAA,8590,11,5,10,30,10,16,9.0,,,,,,,,,,,,,,,,
0,20192020,USA U20,WJC-20,17276,0,0,2,5,2,0,-1.0,,,,,,,,,,,,,,,,
0,20202021,Philadelphia Flyers,National Hockey League,1,0,0,0,3,0,0,-1.0,59:21,1.0,1.0,0.0,0.0,07:07,52:14,0.0,0.0,0.0,0.0,0.0,0.0,00:00,2.0,76.0
0,20202021,Univ. of Michigan,NCAA,8590,16,4,4,24,4,20,13.0,,,,,,,,,,,,,,,,
0,20202021,USA U20,WJC-20,17276,5,1,0,7,0,6,4.0,,,,,,,,,,,,,,,,
0,20202021,Lehigh Valley Phantoms,AHL,173347,3,2,4,8,4,5,-2.0,,,,,,,,,,,,,,,,
0,20212022,Philadelphia Flyers,National Hockey League,1,7,3,6,30,6,10,-14.0,572:26,33.0,20.0,1.0,4.0,68:47,487:27,0.0,9.1,0.0,0.0,0.0,0.0,16:12,40.0,721.0
0,20212022,Lehigh Valley Phantoms,AHL,173347,10,2,12,34,12,12,-8.0,,,,,,,,,,,,,,,,
