,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Eden Prairie Bantam AA,Bantam,212455,0,91,0.0,60,0,0.0,0,,,,,,,,,,,,,,,,
0,20142015,Eden Prairie High,USHS-MN,47122,25,22,4.0,25,4,0.0,47,,,,,,,,,,,,,,,,
0,20152016,USA U18,WJC-18,17253,5,4,2.0,7,2,6.0,9,,,,,,,,,,,,,,,,
0,20152016,U.S. National U18 Team,USDP,19564,6,7,6.0,13,6,,13,,,,,,,,,,,,,,,,
0,20152016,Eden Prairie High,USHS-MN,47138,37,22,16.0,25,16,,59,,,,,,,,,,,,,,,,
0,20152016,USNTDP Juniors,USHL,52486,0,2,2.0,2,2,1.0,2,,,,,,,,,,,,,,,,
0,20152016,Team MAP South Hockey,UMHSEHL,58198,27,14,24.0,19,24,,41,,,,,,,,,,,,,,,,
0,20152016,USA U18,Hlinka Gretzky Cup,140070,4,3,4.0,4,4,3.0,7,,,,,,,,,,,,,,,,
0,20152016,Team Kelly,USA-S17,177445,4,1,4.0,5,4,,5,,,,,,,,,,,,,,,,
0,20152016,B17 - Red (Final 54),MNHP-17,283055,2,1,,3,,,3,,,,,,,,,,,,,,,,
0,20162017,Green Bay Gamblers,USHL,9936,17,13,2.0,24,2,3.0,30,,,,,,,,,,,,,,,,
0,20162017,Eden Prairie High,USHS-MN,47138,43,21,8.0,25,8,,64,,,,,,,,,,,,,,,,
0,20172018,Buffalo Sabres,National Hockey League,1,4,1,2.0,6,2,1.0,5,84:07,9.0,2.0,1.0,1.0,12:54,71:13,47.22,11.11,0.0,0.0,0.0,0.0,00:00,2.0,122.0
0,20172018,Univ. of Minnesota,NCAA,8320,19,11,10.0,34,10,4.0,30,,,,,,,,,,,,,,,,
0,20172018,USA U20,WJC-20,17276,7,4,2.0,7,2,8.0,11,,,,,,,,,,,,,,,,
0,20182019,Buffalo Sabres,National Hockey League,1,13,12,10.0,77,10,-19.0,25,1035:47,118.0,30.0,3.0,10.0,135:43,899:14,39.74,10.17,1.0,0.0,0.0,0.0,00:50,16.0,1333.0
0,20192020,Buffalo Sabres,National Hockey League,1,5,4,2.0,31,2,-5.0,9,395:34,34.0,11.0,1.0,2.0,55:10,340:14,46.49,11.8,1.0,0.0,0.0,0.0,00:10,8.0,533.0
0,20192020,Rochester Americans,AHL,1047,16,9,6.0,36,6,-15.0,25,,,,,,,,,,,,,,,,
0,20202021,Buffalo Sabres,National Hockey League,1,12,10,10.0,41,10,-10.0,22,651:10,61.0,9.0,3.0,6.0,91:10,549:47,48.98,16.4,2.0,0.0,1.0,2.0,10:13,12.0,845.0
0,20212022,Buffalo Sabres,National Hockey League,1,13,6,4.0,40,4,-14.0,19,644:49,79.0,19.0,1.0,7.0,100:41,522:51,44.69,7.6,1.0,1.0,0.0,0.0,21:17,12.0,810.0
