,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20132014,Virtua Hockey 16U,T1EHL U16,103898,0.94,1.69,17,,,,,,,,,,,,,,,,,,,
0,20142015,Philadelphia Revolution 18U AA,18U AAA,122498,0.932,2.02,31,,,,,,,,,,,,,,,,,,,
0,20142015,Bishop Eustace Prep,USHS-NJ,163876,0.915,,11,,,,,,,,,,,,,,,,,,,
0,20152016,Philadelphia Revolution,EHL,50744,0.951,1.86,21,,,,,,,,,,,,,,,,,,,
0,20162017,Lincoln Stars,USHL,9366,0.895,3.16,30,,,,,,,,,,,,,,,,,,,
0,20162017,U.S. National U18 Team,USDP,19564,1.0,0.0,1,,,,,,,,,,,,,,,,,,,
0,20172018,Northeastern Univ.,NCAA,15210,0.931,1.92,34,,,,,,,,,,,,,,,,,,,
0,20182019,Northeastern Univ.,NCAA,15210,0.933,2.09,36,,,,,,,,,,,,,,,,,,,
0,20182019,USA U20,WJC-20,17276,0.936,1.61,5,,,,,,,,,,,,,,,,,,,
0,20192020,Montréal Canadiens,National Hockey League,1,0.931,2.5189,2,119:06,0.0,0.0,0.0,1.0,1.0,67.0,13.0,2.0,52.0,3.0,55.0,14.0,2.0,72.0,5.0,92.85714285714286,66.66666666666666,94.54545454545455
0,20192020,Laval Rocket,AHL,222817,0.908,2.45,33,,,,,,,,,,,,,,,,,,,
0,20202021,Montréal Canadiens,National Hockey League,1,0.849,4.1605,4,201:54,1.0,0.0,0.0,1.0,2.0,79.0,10.0,1.0,68.0,1.0,80.0,12.0,4.0,93.0,14.0,83.33333333333334,100.0,85.0
0,20202021,Laval Rocket,AHL,222817,0.909,2.1,16,,,,,,,,,,,,,,,,,,,
0,20212022,Montréal Canadiens,National Hockey League,1,0.868,4.62235,12,519:13,1.0,0.0,0.0,1.0,7.0,262.0,25.0,10.0,227.0,10.0,260.0,32.0,9.0,302.0,40.0,78.125,100.0,87.3076923076923
0,20212022,Laval Rocket,AHL,222817,0.909,2.94,33,,,,,,,,,,,,,,,,,,,
