,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Saskatoon Outlaws Bantam AA,SBAAHL,137070,70,66,82,60,82,63.0,136,,,,,,,,,,,,,,,,
0,20082009,Sask. Generals,Minor-SK,1,61,49,72,46,72,,110,,,,,,,,,,,,,,,,
0,20082009,Sask. Blazers,SMHL,2,1,2,2,9,2,,3,,,,,,,,,,,,,,,,
0,20092010,Sask. Contacts,SMHL,1,37,17,34,42,34,,54,,,,,,,,,,,,,,,,
0,20102011,Regina,WHL,1,12,7,6,60,6,-20.0,19,4.0,0.0,,,,,,,,,,,,,,
0,20112012,Regina,WHL,1,20,22,24,55,24,-1.0,42,2.0,0.0,,,,,,,,,,,,,,
0,20122013,Regina,WHL,1,31,14,37,46,37,-1.0,45,6.0,0.0,,,,,,,,,,,,,,
0,20132014,Regina,WHL,1,59,30,65,69,65,27.0,89,6.0,8.0,,,,,,,,,,,,,,
0,20132014,Hershey,AHL,2,0,1,0,2,0,2.0,1,0.0,0.0,1.0,100.0,0.0,,,,,,,,,,,
0,20142015,Hershey,AHL,1,7,7,10,54,10,2.0,14,0.0,2.0,34.0,20.6,2.0,,,,,,,,,,,
0,20152016,Washington Capitals,National Hockey League,1,0,0,2,9,2,-3.0,0,0.0,0.0,2.0,0.0,0.0,70:43,5.0,0.0,00:25,70:10,54.55,0.0,0.0,00:08,4.0,96.0
0,20152016,Hershey,AHL,2,21,7,26,46,26,-3.0,28,2.0,1.0,56.0,12.5,2.0,,,,,,,,,,,
0,20152016,Hershey Bears,AHL,997,21,7,26,46,26,-3.0,28,,,,,,,,,,,,,,,,
0,20162017,Washington Capitals,National Hockey League,1,0,0,0,4,0,0.0,0,0.0,0.0,3.0,0.0,0.0,35:31,0.0,0.0,00:06,34:28,48.0,0.0,0.0,00:57,0.0,46.0
0,20162017,Hershey Bears,AHL,997,28,10,42,72,42,9.0,38,,,,,,,,,,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,12,6,8,67,8,13.0,18,0.0,0.0,36.0,16.67,0.0,795:13,26.0,0.0,09:41,698:12,54.79,0.0,0.0,87:20,33.0,1081.0
0,20172018,Hershey Bears,AHL,997,1,5,2,6,2,-6.0,6,,,,,,,,,,,,,,,,
0,20182019,Washington Capitals,National Hockey League,1,6,5,0,64,0,-13.0,11,0.0,1.0,36.0,13.89,0.0,775:27,38.0,0.0,00:52,661:55,49.47,0.0,1.0,112:40,33.0,1005.0
0,20192020,Washington Capitals,National Hockey League,1,1,3,6,24,6,5.0,4,0.0,0.0,18.0,16.7,2.0,284:00,20.0,0.0,00:32,248:12,50.32,0.0,1.0,35:16,12.0,380.0
0,20192020,Vegas Golden Knights,National Hockey League,2,14,8,10,41,10,19.0,22,1.0,2.0,55.0,14.5,3.0,647:07,32.0,2.0,42:54,560:44,43.18,1.0,2.0,43:29,20.0,803.0
0,20202021,Vegas Golden Knights,National Hockey League,1,21,14,29,51,29,22.0,35,2.0,1.0,83.0,16.9,5.0,922:56,43.0,5.0,106:52,746:17,50.4,0.0,2.0,69:47,35.0,1121.0
0,20212022,Vegas Golden Knights,National Hockey League,1,43,21,26,79,26,5.0,64,6.0,1.0,125.0,16.8,3.0,1526:02,68.0,14.0,178:40,1224:46,52.03,0.0,2.0,122:36,44.0,1832.0
