,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Long Island Gulls 14U AAA,AYHL 14U,138940,4,0,20,15,20,4,,,,,,,,,,,,,,,,,
0,20122013,New Jersey Rockets,MetJHL,65159,39,15,47,42,47,54,0.0,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,1,6,4,56,34,56,10,1.0,42.0,1.0,9.5,1.0,0.0,,,,,,,,,,,
0,20132014,USNTDP,U-17,2,6,3,4,20,4,9,,,,,,,,,,,,,,,,,
0,20142015,USNTDP,USHL,1,16,3,33,23,33,19,20.0,42.0,1.0,7.1,2.0,0.0,,,,,,,,,,,
0,20142015,USNTDP,U-18,2,17,4,18,40,18,21,,,,,,,,,,,,,,,,,
0,20152016,Boston University,H-East,1,22,3,56,37,56,25,10.0,68.0,0.0,4.4,2.0,0.0,,,,,,,,,,,
0,20152016,U.S.A.,WJC-A,2,0,0,0,7,0,0,5.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20152016,Boston Univ.,NCAA,6890,22,3,56,37,56,25,10.0,,,,,,,,,,,,,,,,
0,20152016,USA U20,WJC-20,17276,0,0,0,7,0,0,5.0,,,,,,,,,,,,,,,,
0,20162017,Providence Bruins,AHL,897,2,0,4,4,4,2,3.0,,,,,,,,,,,,,,,,
0,20162017,Boston Univ.,NCAA,6890,21,5,51,38,51,26,9.0,,,,,,,,,,,,,,,,
0,20162017,USA,WC,17215,1,0,6,8,6,1,5.0,,,,,,,,,,,,,,,,
0,20162017,USA U20,WJC-20,17276,4,2,14,7,14,6,6.0,,,,,,,,,,,,,,,,
0,20172018,Boston Bruins,National Hockey League,1,25,7,53,63,53,32,20.0,77.0,2.0,9.09,2.0,0.0,1395:17,133.0,7.0,125:14,1220:20,0.0,1.0,0.0,49:43,80.0,1666.0
0,20172018,USA,WC,17215,6,3,4,6,4,9,-1.0,,,,,,,,,,,,,,,,
0,20182019,Boston Bruins,National Hockey League,1,21,7,45,54,45,28,14.0,79.0,1.0,8.86,3.0,0.0,1197:20,92.0,2.0,85:05,1042:07,0.0,1.0,1.0,70:08,91.0,1448.0
0,20192020,Boston Bruins,National Hockey League,1,27,5,41,67,41,32,24.0,101.0,1.0,5.0,1.0,0.0,1551:56,131.0,2.0,90:20,1339:47,0.0,1.0,1.0,121:49,131.0,1881.0
0,20202021,Boston Bruins,National Hockey League,1,25,5,38,51,38,30,22.0,92.0,1.0,5.4,0.0,0.0,1223:47,65.0,8.0,101:06,1000:07,0.0,0.0,1.0,122:34,80.0,1467.0
0,20212022,Boston Bruins,National Hockey League,1,46,10,66,78,66,56,31.0,166.0,4.0,6.0,5.0,1.0,1921:44,155.0,21.0,242:44,1510:54,0.0,1.0,1.0,168:06,130.0,2216.0
