,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20172018,All American Prospects U15,WSI U15,136920,5,1,0.0,6,0,6,
0,20182019,Greater Sudbury Cubs,NOJHL,54522,2,6,0.0,8,0,8,
0,20182019,Sudbury Nickel Capitals U18 AAA,GNML,55651,0,1,0.0,2,0,1,
0,20182019,Team Ontario,CWG,94475,0,0,0.0,6,0,0,
0,20182019,Sudbury Nickel Capitals U16 AAA,GNML,96751,36,19,20.0,24,20,55,
0,20182019,Team NOHA,OGC-16,156297,4,1,2.0,4,2,5,
0,20182019,Team Navy,USA-S15,178673,5,0,,4,,5,
0,20192020,Sudbury Wolves,OHL,6228,21,13,63.0,58,63,34,0.0
0,20192020,Canada White U17,WHC-17,163790,3,1,4.0,6,4,4,
0,20202021,Canada U18,WJC-18,17193,2,2,4.0,7,4,4,4.0
0,20202021,Esbjerg U20,Denmark U20,25124,7,9,43.0,8,43,16,
0,20212022,Sudbury Wolves,OHL,6228,11,9,27.0,24,27,20,-14.0
0,20212022,Peterborough Petes,OHL,9468,19,10,37.0,35,37,29,-4.0
