,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,faceOffPct,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20042005,Toronto Red Wings U16 AAA,GTHL U16,97860,8,3,12,31,12,11,,,,,,,,,,,,,,,,,
0,20062007,Durham,OPJHL,1,9,0,8,40,8,9,0.0,,,,,,,,,,,,,,,,
0,20072008,Durham,OPJHL,1,6,1,12,19,12,7,0.0,,,,,,,,,,,,,,,,
0,20072008,Stouffville,OPJHL,2,0,0,0,4,0,0,0.0,,,,,,,,,,,,,,,,
0,20072008,Markham,OPJHL,3,9,1,12,26,12,10,0.0,,,,,,,,,,,,,,,,
0,20082009,Markham,OJHL,1,37,4,33,50,33,41,0.0,,,,,,,,,,,,,,,,
0,20092010,RIT Tigers,AH,1,18,10,4,41,4,28,,,,,,,,,,,,,,,,,
0,20102011,Vancouver Canucks,National Hockey League,1,1,0,0,29,0,1,0.0,399:56,15.0,10.0,0.0,1.0,01:56,381:30,0.0,0.0,0.0,0.0,0.0,16:30,32.0,0.0,618.0
0,20102011,Manitoba,AHL,2,8,1,16,39,16,9,,,21.0,,0.0,,,,4.76,0.0,,0.0,,,,5.0,
0,20112012,Vancouver Canucks,National Hockey League,1,2,0,2,25,2,2,0.0,418:06,15.0,10.0,0.0,0.0,02:33,393:20,0.0,0.0,0.0,0.0,0.0,22:13,43.0,10.0,561.0
0,20112012,Chicago,AHL,2,14,0,6,34,6,14,,,36.0,,0.0,,,,0.0,0.0,,0.0,,,,12.0,
0,20122013,Vancouver Canucks,National Hockey League,1,5,2,10,38,10,7,0.0,656:59,20.0,14.0,0.0,0.0,04:16,590:34,10.0,1.0,1.0,0.0,0.0,62:09,61.0,4.0,898.0
0,20122013,Chicago,AHL,2,10,2,6,29,6,12,,,32.0,,0.0,,,,6.25,0.0,,0.0,,,,4.0,
0,20132014,Vancouver Canucks,National Hockey League,1,11,6,8,64,8,17,0.0,1327:09,65.0,25.0,0.0,0.0,13:32,1121:06,9.23,2.0,0.0,1.0,1.0,192:31,136.0,12.0,1797.0
0,20142015,Vancouver Canucks,National Hockey League,1,18,2,12,70,12,20,0.0,1475:40,53.0,23.0,0.0,2.0,36:24,1246:54,3.77,1.0,1.0,0.0,0.0,192:22,170.0,8.0,2066.0
0,20152016,Vancouver Canucks,National Hockey League,1,14,4,8,69,8,18,0.0,1501:00,42.0,18.0,2.0,3.0,92:26,1217:18,9.52,0.0,0.0,0.0,1.0,191:16,166.0,-8.0,2090.0
0,20152016,Canada,WC-A,2,1,0,0,10,0,1,,,9.0,,0.0,,,,,0.0,,0.0,,,,8.0,
0,20152016,Canada,WC,17155,1,0,0,10,0,1,,,,,,,,,,,,,,,,8.0,
0,20162017,Vancouver Canucks,National Hockey League,1,8,2,14,53,14,10,0.0,1078:17,39.0,19.0,0.0,0.0,24:02,901:05,5.13,1.0,1.0,0.0,0.0,153:10,91.0,3.0,1435.0
0,20172018,Vancouver Canucks,National Hockey League,1,9,2,8,42,8,11,0.0,830:35,31.0,21.0,0.0,0.0,08:00,693:36,6.45,0.0,0.0,0.0,2.0,128:59,70.0,7.0,1127.0
0,20182019,Vancouver Canucks,National Hockey League,1,10,2,18,55,18,12,0.0,1109:13,51.0,29.0,0.0,0.0,06:47,922:44,3.92,0.0,0.0,0.0,0.0,179:42,122.0,3.0,1530.0
0,20192020,Vancouver Canucks,National Hockey League,1,18,2,41,69,41,20,0.0,1347:40,45.0,32.0,0.0,1.0,04:45,1107:42,4.4,1.0,1.0,0.0,1.0,235:13,159.0,4.0,1719.0
0,20202021,Calgary Flames,National Hockey League,1,10,2,6,56,6,12,0.0,1216:56,66.0,33.0,0.0,0.0,11:18,1031:07,3.0,0.0,0.0,0.0,0.0,174:31,107.0,15.0,1599.0
0,20212022,Calgary Flames,National Hockey League,1,22,6,22,82,22,28,0.0,1677:38,88.0,52.0,0.0,0.0,20:00,1414:40,6.8,3.0,0.0,0.0,0.0,242:58,158.0,35.0,2450.0
