,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20112012,Windy City Storm 13U AAA,HPHL 13U,168328,6,1,14,20,14,7,
0,20122013,Chicago Fury 14U AAA,T1EHL 14U,162764,7,6,32,27,32,13,
0,20122013,Hinsdale Central High,USHS-IL,178760,1,2,24,18,24,3,
0,20132014,Chicago Fury 16U AAA,T1EHL 16U,94666,13,2,18,36,18,15,
0,20142015,Chicago Fury 16U AAA,T1EHL 16U,94666,8,5,60,31,60,13,
0,20152016,Chicago Steel,USHL,9906,1,0,0,4,0,1,4.0
0,20152016,Chicago Fury 18U AAA,T1EHL 18U,63897,28,12,68,32,68,40,
0,20162017,Sioux Falls Stampede,USHL,9966,7,6,44,54,44,13,-10.0
0,20172018,Sioux Falls Stampede,USHL,9966,29,7,40,60,40,36,10.0
0,20182019,Michigan Tech,NCAA,6040,9,2,28,36,28,11,-6.0
0,20192020,Michigan Tech,NCAA,6040,17,4,32,39,32,21,3.0
0,20202021,Michigan Tech,NCAA,6040,14,3,24,30,24,17,9.0
0,20212022,Wilkes-Barre/Scranton Penguins,AHL,1077,0,0,2,5,2,0,-2.0
0,20212022,Michigan Tech,NCAA,6040,18,5,22,36,22,23,11.0
