,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals
0,20112012,Little Caesars Bantam Minor AAA,HPMBHL,142436,12,10,2,17,2,0.0,22,,,,,
0,20122013,Little Caesars Bantam Major AAA,HPBHL,142475,10,24,8,22,8,0.0,34,,,,,
0,20132014,Det. L.C. U16,HPHL,1,7,10,12,22,12,,17,,,,,
0,20142015,Det. H-Baked U16,HPHL,1,9,26,22,25,22,,35,,,,,
0,20142015,Muskegon,USHL,2,0,0,0,3,0,0.0,0,3.0,0.0,0.0,0.0,0.0
0,20142015,USNTDP,USHL,3,0,0,0,1,0,-2.0,0,0.0,0.0,0.0,0.0,0.0
0,20142015,USNTDP,U-17,4,0,2,0,2,0,,2,,,,,
0,20152016,Muskegon Lumberjacks,USHL,6276,34,27,37,59,37,2.0,61,,,,,
0,20152016,Team Grey,USA-S17,177425,2,6,0,5,0,,8,,,,,
0,20162017,Muskegon Lumberjacks,USHL,6276,27,24,72,57,72,21.0,51,,,,,
0,20162017,USA U19,WJAC-19,87412,2,2,0,5,0,,4,,,,,
0,20172018,Univ. of North Dakota,NCAA,11930,3,5,12,26,12,-8.0,8,,,,,
0,20182019,Univ. of North Dakota,NCAA,11930,5,2,16,32,16,-7.0,7,,,,,
0,20192020,Univ. of North Dakota,NCAA,11930,16,12,18,35,18,25.0,28,,,,,
0,20202021,Univ. of North Dakota,NCAA,11930,20,14,10,29,10,22.0,34,,,,,
0,20212022,Bridgeport Islanders,AHL,827,6,5,8,45,8,-3.0,11,,,,,
0,20212022,Worcester Railers,ECHL,217515,4,3,2,10,2,-4.0,7,,,,,
