,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Parkland Rangers Bantam AAA,WBAAA,150919,31,35,48,32,48,66,,,,,,,,,,,,,,,,,
0,20142015,Parkland Rangers Midget AAA,MMHL,54523,22,15,60,43,60,37,,,,,,,,,,,,,,,,,
0,20152016,Everett Silvertips,WHL,16391,7,11,24,72,24,18,-1.0,,,,,,,,,,,,,,,,
0,20162017,Everett Silvertips,WHL,16391,16,14,37,71,37,30,-3.0,,,,,,,,,,,,,,,,
0,20172018,Everett Silvertips,WHL,16391,30,38,47,68,47,68,23.0,,,,,,,,,,,,,,,,
0,20182019,Everett Silvertips,WHL,16391,45,36,60,59,60,81,27.0,,,,,,,,,,,,,,,,
0,20192020,Iowa Wild,AHL,149087,13,6,22,52,22,19,10.0,,,,,,,,,,,,,,,,
0,20202021,Iowa Wild,AHL,149087,11,12,13,32,13,23,6.0,,,,,,,,,,,,,,,,
0,20212022,Minnesota Wild,National Hockey League,1,4,2,25,35,25,6,-4.0,346:22,44.0,48.0,0.0,1.0,01:28,319:09,46.62,4.5,1.0,0.0,0.0,0.0,25:45,22.0,478.0
0,20212022,Iowa Wild,AHL,149087,9,8,17,19,17,17,9.0,,,,,,,,,,,,,,,,
