,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,shotsAgainst,savePercentage,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20112012,Sask Valley,SBHL,1,820:00,2.0,3.0,9.0,1.0,2.85,14,38.0,,,,,,,,,,,,,,
0,20122013,Humboldt,Minor-SK,1,705:00,0.0,4.0,3.0,4.0,2.98,12,35.0,,,,,,,,,,,,,,
0,20132014,Prince Albert,SMHL,1,1364:00,2.0,3.0,16.0,4.0,1.98,23,45.0,,,,,,,,,,,,,,
0,20132014,Flin Flon,SJHL,2,68:00,0.0,0.0,0.0,1.0,2.63,2,3.0,,,,,,,,,,,,,,
0,20142015,Kamloops,WHL,1,2915:00,3.0,5.0,21.0,21.0,2.96,52,144.0,1493.0,,,,,,,,,,,,,
0,20142015,Kamloops Blazers,WHL,8271,,,,,,2.96,52,,,0.904,,,,,,,,,,,,
0,20152016,Kamloops Blazers,WHL,8271,,,,,,2.61,61,,,0.922,,,,,,,,,,,,
0,20162017,Kamloops Blazers,WHL,8271,,,,,,2.44,45,,,0.927,,,,,,,,,,,,
0,20162017,Canada U20,WJC-20,17216,,,,,,2.57,4,,,0.833,,,,,,,,,,,,
0,20172018,Syracuse Crunch,AHL,1057,,,,,,2.33,35,,,0.914,,,,,,,,,,,,
0,20172018,Adirondack Thunder,ECHL,185555,,,,,,1.3,3,,,0.96,,,,,,,,,,,,
0,20182019,Syracuse Crunch,AHL,1057,,,,,,2.26,22,,,0.922,,,,,,,,,,,,
0,20182019,Orlando Solar Bears,ECHL,113515,,,,,,2.81,13,,,0.914,,,,,,,,,,,,
0,20192020,Milwaukee Admirals,AHL,1017,,,,,,1.92,33,,,0.933,,,,,,,,,,,,
0,20202021,Chicago Wolves,AHL,957,,,,,,3.48,5,,,0.899,,,,,,,,,,,,
0,20202021,IF Björklöven,HockeyAllsvenskan,1380,,,,,,2.51,9,,,0.898,,,,,,,,,,,,
0,20212022,Nashville Predators,National Hockey League,1,177:45,0.0,0.0,1.0,2.0,3.71308,3,11.0,91.0,0.879,0.0,80.0,17.0,4.0,59.0,4.0,69.0,18.0,3.0,94.44444444444444,100.0,85.5072463768116
0,20212022,Milwaukee Admirals,AHL,1017,,,,,,2.7,54,,,0.915,,,,,,,,,,,,
