,season,team,league,sequenceNumber,assists,goals,games,points,pim,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,plusMinus,shots,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Tor. Marlboros,GTHL,1,50,27,33,77,,,,,,,,,,,,,,,,,,,
0,20112012,Tor. Marlboros,Other,2,65,41,41,106,,,,,,,,,,,,,,,,,,,
0,20112012,PEAC,Other,3,32,31,17,63,,,,,,,,,,,,,,,,,,,
0,20122013,Erie,OHL,1,41,25,63,66,36.0,2.0,36,2.0,1.0,-24.0,,,,,,,,,,,,,
0,20122013,Canada,WJ18-A,2,6,8,7,14,2.0,5.0,2,2.0,0.0,,23.0,,,,,,,,,,,,
0,20132014,Erie,OHL,1,71,28,56,99,20.0,7.0,20,4.0,2.0,47.0,,,,,,,,,,,,,
0,20142015,Erie,OHL,1,76,44,47,120,48.0,9.0,48,8.0,2.0,60.0,,,,,,,,,,,,,
0,20142015,Canada,WJC-A,2,8,3,7,11,0.0,1.0,0,1.0,0.0,8.0,21.0,,,,,,,,,,,,
0,20152016,Edmonton Oilers,National Hockey League,1,32,16,45,48,18.0,3.0,18,5.0,0.0,-1.0,105.0,849:49,12.0,14.0,133:22,681:18,41.23,15.24,1.0,0.0,35:09,10.0,1030.0
0,20152016,Canada,WC-A,2,8,1,10,9,6.0,0.0,6,1.0,0.0,3.0,15.0,,,,,,,,,,,,
0,20152016,Canada,WC,17155,8,1,10,9,6.0,,6,,,3.0,,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,70,30,82,100,26.0,3.0,26,6.0,1.0,27.0,251.0,1732:47,34.0,27.0,248:53,1418:05,43.18,11.95,1.0,2.0,65:49,29.0,1998.0
0,20162017,Team North America,WCup,176776,3,0,3,3,4.0,,4,,,1.0,,,,,,,,,,,,,
0,20172018,Edmonton Oilers,National Hockey League,1,67,41,82,108,26.0,5.0,26,7.0,1.0,20.0,274.0,1767:14,28.0,20.0,243:13,1434:45,41.36,14.96,2.0,4.0,89:16,46.0,1940.0
0,20172018,Canada,WC,17155,12,5,10,17,10.0,,10,,,6.0,,,,,,,,,,,,,
0,20182019,Edmonton Oilers,National Hockey League,1,75,41,78,116,20.0,9.0,20,9.0,1.0,3.0,240.0,1781:18,39.0,33.0,266:53,1465:37,46.62,17.08,3.0,2.0,48:48,30.0,1998.0
0,20192020,Edmonton Oilers,National Hockey League,1,63,34,64,97,28.0,11.0,28,6.0,0.0,-6.0,212.0,1399:24,37.0,43.0,248:47,1143:56,47.76,16.0,0.0,0.0,06:41,18.0,1353.0
0,20202021,Edmonton Oilers,National Hockey League,1,72,33,56,105,20.0,9.0,20,11.0,0.0,21.0,200.0,1240:36,61.0,37.0,234:43,1000:10,49.53,16.5,2.0,0.0,05:43,24.0,1182.0
0,20212022,Edmonton Oilers,National Hockey League,1,79,44,80,123,45.0,10.0,45,9.0,0.0,28.0,314.0,1765:18,75.0,44.0,297:52,1451:15,53.73,14.0,4.0,1.0,16:11,26.0,1757.0
