,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Skärgårdens SK J18,J18 Div.1,44420,0,0,0,2,0,0,
0,20152016,Skärgårdens SK U16,U16 Div.1,164564,3,5,14,14,14,8,
0,20162017,Skärgårdens SK,Division 3,5371,0,2,2,4,2,2,
0,20162017,Skärgårdens SK J18,J18 Div.2,44421,13,24,4,17,4,37,
0,20162017,Skärgårdens SK U16,U16 Div.2,164565,22,52,24,25,24,74,
0,20172018,Frölunda HC J18,J18 Region,7198,4,1,0,6,0,5,4.0
0,20172018,Frölunda HC J18,J18 Nationell,7958,4,4,0,16,0,8,5.0
0,20172018,Göteborg,TV-Pucken,10976,1,3,4,6,4,4,
0,20172018,Frölunda HC U16,U16 SM,44007,4,7,4,8,4,11,
0,20172018,Frölunda HC U16,U16 Region,44352,11,18,4,16,4,29,
0,20172018,Frölunda HC J18 2,J18 Div.1,241350,4,6,4,8,4,10,
0,20182019,Frölunda HC J20,J20 Nationell,5919,3,1,4,18,4,4,0.0
0,20182019,Frölunda HC J18,J18 Region,7198,14,13,6,20,6,27,24.0
0,20182019,Frölunda HC J18,J18 Nationell,7958,4,4,8,9,8,8,1.0
0,20182019,Sweden U17,WHC-17,61300,1,0,0,6,0,1,
0,20192020,Frölunda HC,SHL,919,0,0,0,6,0,0,1.0
0,20192020,Frölunda HC J20,J20 Nationell,5919,18,26,24,39,24,44,38.0
0,20192020,Frölunda HC J18,J18 Region,7198,1,0,0,1,0,1,0.0
0,20192020,Frölunda HC J18,J18 Nationell,7958,4,6,4,4,4,10,10.0
0,20192020,Sweden U18,Hlinka Gretzky Cup,158290,1,2,2,5,2,3,0.0
0,20202021,Frölunda HC,SHL,919,0,0,0,2,0,0,0.0
0,20202021,Frölunda HC J20,J20 Nationell,5919,5,4,4,10,4,9,10.0
0,20212022,Frölunda HC,Champions HL,232,0,0,0,1,0,0,0.0
0,20212022,Manitoba Moose,AHL,877,1,2,4,4,4,3,2.0
0,20212022,Frölunda HC,SHL,919,0,0,0,1,0,0,0.0
0,20212022,AIK,HockeyAllsvenskan,1240,10,7,14,40,14,17,0.0
0,20212022,Sweden U20,WJC-20,8596,0,2,8,7,8,2,2.0
