,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20162017,Dynamo Moskva U16,Russia U16,184827,16,11,2,13,2,27,
0,20162017,Dynamo Moskva Selects U15,WSI U15,238980,4,3,4,7,4,7,
0,20172018,Russia U17,WHC-17,61290,1,4,0,5,0,5,
0,20172018,CSKA Moskva U17,Russia U17,184418,18,21,4,22,4,39,
0,20172018,CSKA Moskva U18,Russia U18,259189,3,2,4,2,4,5,
0,20182019,Muskegon Lumberjacks,USHL,6276,20,16,30,51,30,36,5.0
0,20182019,Russia U18,WJC-18,17523,1,1,14,7,14,2,0.0
0,20182019,Russia U17,WHC-17,61290,2,4,6,6,6,6,
0,20182019,Russia U18,Hlinka Gretzky Cup,158300,3,3,0,5,0,6,
0,20192020,Muskegon Lumberjacks,USHL,6276,25,22,42,42,42,47,21.0
0,20192020,Russia U18 |WJAC-19|,WJAC-19,87382,0,3,4,6,4,3,
0,20192020,Russia U18,Hlinka Gretzky Cup,158300,1,1,2,5,2,2,2.0
0,20202021,Muskegon Lumberjacks,USHL,6276,32,32,42,46,42,64,16.0
0,20212022,Niagara IceDogs,OHL,23028,30,41,50,51,50,71,-13.0
0,20212022,San Jose Barracuda,AHL,187427,0,0,2,3,2,0,-4.0
