,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20042005,Saskatoon Bandits Bantam AA,SBAAHL,135570,0.912,2.91,12,,,,,,,,,,,,,,,,,,,
0,20052006,Saskatoon Contacts,SMHL,47311,0.919,2.32,20,,,,,,,,,,,,,,,,,,,
0,20062007,Sask. Contacts,SMHL,1,,3.51,25,1489:00,1.0,3.0,8.0,14.0,87.0,,,,,,,,,,,,,
0,20072008,Sask. Blazers,SMHL,1,,2.36,26,1578:00,1.0,4.0,15.0,7.0,62.0,,,,,,,,,,,,,
0,20082009,Red Deer,WHL,1,0.898,2.955,55,3167:00,3.0,8.0,21.0,25.0,156.0,1534.0,1378.0,,,,,,,,,,,
0,20092010,Red Deer,WHL,1,0.908,2.727,61,3234:00,3.0,4.0,28.0,23.0,147.0,1455.0,1602.0,,,,,,,,,,,
0,20092010,Houston,AHL,2,0.886,2.41,4,199:00,0.0,0.0,2.0,1.0,8.0,62.0,70.0,,,,,,,,,,,
0,20102011,Red Deer,WHL,1,0.933,1.856,62,3685:00,13.0,5.0,45.0,12.0,114.0,1587.0,1701.0,,,,,,,,,,,
0,20112012,Houston,AHL,1,0.923,2.36,19,1070:00,1.0,4.0,6.0,6.0,42.0,504.0,546.0,,,,,,,,,,,
0,20112012,Ontario,ECHL,2,,1.74,8,484:00,0.0,0.0,7.0,1.0,14.0,,,,,,,,,,,,,
0,20122013,Minnesota Wild,National Hockey League,1,0.915966,2.081165,6,288:18,0.0,,1.0,2.0,10.0,109.0,119.0,0.0,11.0,1.0,97.0,1.0,106.0,12.0,3.0,91.66666666666666,100.0,91.50943396226415
0,20122013,Houston,AHL,2,0.934,1.88,21,1210:00,4.0,0.0,13.0,8.0,38.0,537.0,575.0,,,,,,,,,,,
0,20122013,Orlando,ECHL,3,0.929,2.61,3,184:00,0.0,1.0,0.0,2.0,8.0,105.0,113.0,,,,,,,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,0.91453,2.432049,26,1480:14,2.0,,12.0,8.0,60.0,642.0,702.0,4.0,74.0,10.0,558.0,13.0,599.0,90.0,25.0,82.22222222222221,76.92307692307693,93.15525876460768
0,20132014,Iowa,AHL,2,0.929,2.47,17,997:00,1.0,0.0,7.0,10.0,41.0,538.0,579.0,,,,,,,,,,,
0,20142015,Minnesota Wild,National Hockey League,1,0.905292,2.600852,31,1568:43,3.0,,14.0,12.0,68.0,650.0,718.0,2.0,58.0,18.0,574.0,19.0,630.0,69.0,28.0,84.05797101449275,94.73684210526315,91.11111111111111
0,20142015,Iowa,AHL,2,0.891,3.22,5,279:00,1.0,0.0,2.0,3.0,15.0,122.0,137.0,,,,,,,,,,,
0,20142015,Iowa Wild,AHL,149087,0.891,3.22,5,,,,,,,,,,,,,,,,,,,
0,20152016,Minnesota Wild,National Hockey League,1,0.915187,2.42618,21,1063:24,2.0,,6.0,7.0,43.0,464.0,507.0,5.0,57.0,13.0,394.0,15.0,430.0,62.0,16.0,91.93548387096774,86.66666666666667,91.62790697674419
0,20162017,Minnesota Wild,National Hockey League,1,0.902135,3.133804,18,1053:02,0.0,,8.0,5.0,55.0,507.0,562.0,3.0,53.0,7.0,447.0,8.0,493.0,61.0,17.0,86.88524590163934,87.5,90.66937119675457
0,20172018,Los Angeles Kings,National Hockey League,1,0.932171,2.101646,19,999:13,3.0,0.0,10.0,1.0,35.0,481.0,516.0,3.0,68.0,17.0,396.0,18.0,421.0,77.0,15.0,88.31168831168831,94.44444444444444,94.06175771971496
0,20172018,Arizona Coyotes,National Hockey League,2,0.899054,3.217877,10,596:40,1.0,0.0,2.0,6.0,32.0,285.0,317.0,2.0,40.0,10.0,235.0,12.0,260.0,45.0,10.0,88.88888888888889,83.33333333333334,90.38461538461539
0,20172018,Canada,WC,17155,0.867,2.48,7,,,,,,,,,,,,,,,,,,,
0,20182019,Arizona Coyotes,National Hockey League,1,0.924866,2.32526,55,3251:15,5.0,0.0,27.0,20.0,126.0,1551.0,1677.0,8.0,175.0,60.0,1316.0,62.0,1420.0,195.0,55.0,89.74358974358975,96.7741935483871,92.67605633802816
0,20192020,Arizona Coyotes,National Hockey League,1,0.928,2.2243,29,1753:24,2.0,0.0,16.0,11.0,65.0,838.0,903.0,2.0,111.0,17.0,710.0,18.0,760.0,125.0,29.0,88.8,94.44444444444444,93.42105263157895
0,20192020,Tucson Roadrunners,AHL,218897,0.929,2.05,1,,,,,,,,,,,,,,,,,,,
0,20202021,Arizona Coyotes,National Hockey League,1,0.907,2.5604,27,1546:37,2.0,0.0,10.0,11.0,66.0,644.0,710.0,3.0,108.0,23.0,513.0,24.0,563.0,123.0,27.0,87.8048780487805,95.83333333333334,91.1190053285968
0,20202021,Canada,WC,17155,0.916,2.17,8,,,,,,,,,,,,,,,,,,,
0,20212022,Colorado Avalanche,National Hockey League,1,0.921,2.54085,57,3258:45,5.0,0.0,37.0,12.0,138.0,1616.0,1754.0,4.0,242.0,43.0,1331.0,44.0,1435.0,275.0,57.0,88.0,97.72727272727273,92.75261324041811
