,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20012002,Winnipeg Hawks Bantam AAA Div 2,WBAAA2,129160,20,20,28,30,28,40,,,,,,,,,,,,,,,,,
0,20022003,Winnipeg Hawks City Midget,WCML,47346,22,23,38,40,38,45,,,,,,,,,,,,,,,,,
0,20032004,Selkirk,MJBHL,1,32,39,34,34,34,71,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20042005,Medicine Hat,WHL,1,14,10,27,72,27,24,00:00,00:00,00:00,0.0,00:00,0.0,0.0,0.0,6.0,,,,,,,,
0,20052006,Medicine Hat,WHL,1,38,41,37,70,37,79,00:00,00:00,00:00,0.0,00:00,0.0,11.0,4.0,18.0,,,,,,,,
0,20062007,Medicine Hat,WHL,1,39,25,53,59,53,64,,,,,,,8.0,1.0,32.0,2.0,,,,,,,
0,20062007,Canada,WJC-A,3,0,2,10,6,10,2,,,,,,,,,,,,,,,,,
0,20072008,Detroit Red Wings,National Hockey League,1,0,0,2,7,2,0,49:00,00:27,47:15,21.74,01:18,74.0,0.0,0.0,-2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
0,20072008,Grand Rapids,AHL,2,15,16,30,67,30,31,,,,,,,2.0,2.0,-13.0,,,,,,,,
0,20082009,Detroit Red Wings,National Hockey League,1,1,0,4,16,4,1,198:55,03:02,183:24,56.06,12:29,287.0,0.0,0.0,-7.0,0.0,29.0,37.0,0.0,0.0,0.0,0.0,4.0
0,20082009,Grand Rapids,AHL,2,24,13,24,55,24,37,,,,,,,4.0,3.0,-10.0,3.0,,,,,,,
0,20092010,Detroit Red Wings,National Hockey League,1,13,11,18,75,18,24,1087:04,10:55,890:11,51.09,185:58,1622.0,0.0,3.0,-2.0,3.0,165.0,188.0,0.0,6.67,0.0,3.0,48.0
0,20102011,Detroit Red Wings,National Hockey League,1,20,12,16,82,16,32,1091:08,04:25,835:32,52.56,251:11,1593.0,0.0,2.0,9.0,2.0,177.0,128.0,0.0,6.78,1.0,3.0,30.0
0,20112012,Detroit Red Wings,National Hockey League,1,17,9,12,68,12,26,986:51,12:17,818:27,51.87,156:07,1423.0,0.0,0.0,5.0,2.0,124.0,97.0,0.0,7.26,0.0,0.0,27.0
0,20122013,Detroit Red Wings,National Hockey League,1,0,0,2,1,2,0,12:27,00:00,06:57,42.86,05:30,20.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
0,20132014,Detroit Red Wings,National Hockey League,1,8,12,14,42,14,20,637:11,28:20,517:39,49.09,91:12,941.0,1.0,2.0,2.0,3.0,83.0,73.0,1.0,14.46,0.0,2.0,16.0
0,20132014,Grand Rapids,AHL,2,0,0,0,2,0,0,,,,,,,0.0,0.0,0.0,0.0,4.0,,,0.0,,,
0,20142015,Detroit Red Wings,National Hockey League,1,18,15,12,75,12,33,1187:31,109:47,962:37,52.97,115:07,1711.0,3.0,2.0,7.0,1.0,160.0,132.0,7.0,9.38,0.0,2.0,25.0
0,20152016,Detroit Red Wings,National Hockey League,1,13,13,32,77,32,26,1160:15,56:12,964:37,50.65,139:26,1664.0,0.0,0.0,-2.0,3.0,165.0,115.0,0.0,7.88,1.0,0.0,26.0
0,20162017,Detroit Red Wings,National Hockey League,1,9,8,20,50,20,17,768:28,41:44,644:18,51.43,82:26,1089.0,2.0,0.0,-6.0,1.0,98.0,71.0,4.0,8.16,0.0,1.0,18.0
0,20172018,Detroit Red Wings,National Hockey League,1,18,13,39,75,39,31,1167:28,09:33,1007:15,44.12,150:40,1693.0,0.0,2.0,3.0,0.0,141.0,131.0,0.0,9.22,0.0,4.0,36.0
0,20182019,Detroit Red Wings,National Hockey League,1,10,7,20,61,20,17,889:02,02:50,771:21,44.44,114:51,1264.0,0.0,1.0,-11.0,0.0,107.0,50.0,0.0,6.54,0.0,4.0,26.0
0,20192020,Detroit Red Wings,National Hockey League,1,7,9,37,68,37,16,933:52,02:19,819:16,53.57,112:17,1309.0,0.0,1.0,-6.0,0.0,102.0,88.0,0.0,8.8,0.0,2.0,26.0
0,20202021,Detroit Red Wings,National Hockey League,1,5,3,10,47,10,8,689:51,03:20,599:57,66.67,86:34,923.0,0.0,0.0,-3.0,0.0,83.0,39.0,0.0,3.6,0.0,0.0,20.0
0,20212022,Colorado Avalanche,National Hockey League,1,8,7,14,68,14,15,717:29,02:39,584:29,44.21,130:21,1037.0,0.0,1.0,-5.0,1.0,93.0,114.0,0.0,7.5,0.0,2.0,27.0
