,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Tingsryds AIF U16,U16 Div.1,6516,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20132014,Tingsryds AIF U16,U16 Div.2,6780,9,13,4,15,4,22,,,,,,,,,,,,,,,,,
0,20132014,Tingsryds AIF J18 2,J18 Div.2,157458,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20142015,Tingsryds AIF U16,U16 Div.1,6516,9,8,8,6,8,17,,,,,,,,,,,,,,,,,
0,20152016,HV71 J18,J18 Region,7118,1,1,2,12,2,2,0.0,,,,,,,,,,,,,,,,
0,20152016,HV71 J18,J18 Nationell,7878,4,4,6,16,6,8,-2.0,,,,,,,,,,,,,,,,
0,20152016,Småland,TV-Pucken,10936,4,1,0,6,0,5,,,,,,,,,,,,,,,,,
0,20152016,HV71 U16,U16 SM,66687,14,5,8,8,8,19,,,,,,,,,,,,,,,,,
0,20152016,HV71 U16,U16 Region,67032,10,21,10,16,10,31,,,,,,,,,,,,,,,,,
0,20162017,HV71 J20,J20 Nationell,5829,7,5,10,32,10,12,4.0,,,,,,,,,,,,,,,,
0,20162017,HV71 J18,J18 Region,7118,12,6,22,14,22,18,4.0,,,,,,,,,,,,,,,,
0,20162017,HV71 J18,J18 Nationell,7878,5,2,2,4,2,7,5.0,,,,,,,,,,,,,,,,
0,20162017,Sweden U18,WJC-18,8573,0,2,4,7,4,2,1.0,,,,,,,,,,,,,,,,
0,20162017,Sweden U17,WHC-17,61300,3,2,4,6,4,5,,,,,,,,,,,,,,,,,
0,20172018,HV71,Champions HL,162,0,0,0,2,0,0,-2.0,,,,,,,,,,,,,,,,
0,20172018,HV71,SHL,849,6,6,8,45,8,12,5.0,,,,,,,,,,,,,,,,
0,20172018,HV71 J20,J20 Nationell,5829,4,1,2,4,2,5,-1.0,,,,,,,,,,,,,,,,
0,20172018,HV71 J18,J18 Region,7118,2,2,2,1,2,4,4.0,,,,,,,,,,,,,,,,
0,20172018,Sweden U18,WJC-18,8573,5,2,16,7,16,7,5.0,,,,,,,,,,,,,,,,
0,20172018,Sweden U18,Hlinka Gretzky Cup,158290,3,1,4,5,4,4,,,,,,,,,,,,,,,,,
0,20182019,HV71,SHL,849,10,2,10,36,10,12,-2.0,,,,,,,,,,,,,,,,
0,20182019,HV71 J20,J20 Nationell,5829,2,0,0,1,0,2,1.0,,,,,,,,,,,,,,,,
0,20182019,Sweden U20,WJC-20,8596,3,0,6,5,6,3,4.0,,,,,,,,,,,,,,,,
0,20192020,Winnipeg Jets,National Hockey League,1,0,1,0,22,0,1,-2.0,135:08,4.0,5.0,0.0,0.0,00:11,133:57,53.97,25.0,1.0,0.0,0.0,0.0,01:00,6.0,190.0
0,20192020,Manitoba Moose,AHL,877,5,2,2,13,2,7,0.0,,,,,,,,,,,,,,,,
0,20192020,Sweden U20,WJC-20,8596,3,1,4,7,4,4,4.0,,,,,,,,,,,,,,,,
0,20202021,Winnipeg Jets,National Hockey League,1,0,0,0,4,0,0,-1.0,23:16,1.0,0.0,0.0,0.0,00:08,23:08,52.38,0.0,0.0,0.0,0.0,0.0,00:00,0.0,36.0
0,20202021,Manitoba Moose,AHL,877,12,7,4,22,4,19,4.0,,,,,,,,,,,,,,,,
0,20202021,Tingsryds AIF,HockeyAllsvenskan,1560,10,7,6,16,6,17,2.0,,,,,,,,,,,,,,,,
0,20212022,Winnipeg Jets,National Hockey League,1,0,0,0,2,0,0,0.0,04:56,0.0,0.0,0.0,0.0,00:00,04:56,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,9.0
0,20212022,Manitoba Moose,AHL,877,15,15,10,47,10,30,4.0,,,,,,,,,,,,,,,,
