,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20002001,Olomouc U17,CzR-U17,1,00:00,6,2,4,26,00:00,00:00,4,0.0,00:00,8,0.0,,,,,,,,,,,
0,20012002,Trinec U17,CzR-U17,1,00:00,27,32,30,48,00:00,00:00,30,0.0,00:00,59,0.0,,,,,,,,,,,
0,20022003,Trinec U17,CzR-U17,1,00:00,24,12,42,22,00:00,00:00,42,0.0,00:00,36,0.0,,,,,,,,,,,
0,20022003,Trinec Jr.,CzRep-Jr.,2,00:00,5,4,2,12,00:00,00:00,2,0.0,00:00,9,0.0,,,,,,,,,,,
0,20032004,Kladno Jr.,CzRep-Jr.,1,00:00,37,23,37,50,00:00,00:00,37,0.0,00:00,60,0.0,,,,,,,,,,,
0,20032004,Czech Republic,WJ18-A,2,00:00,4,3,0,7,00:00,00:00,0,0.0,00:00,7,0.0,,,,,,,,,,,
0,20042005,Gatineau,QMJHL,1,00:00,41,22,31,62,00:00,00:00,31,0.0,00:00,63,0.0,4.0,1.0,-9.0,,,,,,,,
0,20042005,Czech Republic,WJC-A,2,00:00,1,0,2,7,00:00,00:00,2,0.0,00:00,1,0.0,,,,,,,,,,,
0,20052006,Gatineau,QMJHL,1,00:00,54,27,54,55,00:00,00:00,54,0.0,00:00,81,0.0,15.0,1.0,3.0,6.0,,,,,,,
0,20052006,Czech Republic,WJC-A,3,00:00,3,3,4,6,00:00,00:00,4,0.0,00:00,6,0.0,,,,,,,,,,,
0,20062007,Boston Bruins,National Hockey League,1,26:21,0,0,2,6,00:37,25:35,2,28.57,00:09,0,36.0,0.0,0.0,-3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
0,20062007,Providence,AHL,2,,43,31,47,69,,,47,,,74,,,,,,,,,,,,
