,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Team Newfoundland U14 (ACC),ACC-U14,163930,2,2,2,5,2,4,,,,,,,,,,,,,,,,,
0,20142015,Tri Pen Ice,NLBAAAHL,183456,23,20,30,28,30,43,,,,,,,,,,,,,,,,,
0,20152016,Team Newfoundland U15 (ACC),ACC-U15,163871,3,2,0,5,0,5,,,,,,,,,,,,,,,,,
0,20152016,Tri Pen Ice U15 AAA,NLAAAHL U15,184774,26,42,41,24,41,68,,,,,,,,,,,,,,,,,
0,20162017,Bishop's College School Varsity,MPHL,85526,14,8,8,18,8,22,,,,,,,,,,,,,,,,,
0,20162017,Bishop's College School Varsity,PSHF U18,85744,6,6,0,11,0,12,,,,,,,,,,,,,,,,,
0,20162017,Team Newfoundland,QGC-16,154245,9,4,0,5,0,13,,,,,,,,,,,,,,,,,
0,20162017,Bishop's College School Prep U16,PSHF U16,224303,0,0,0,4,0,0,,,,,,,,,,,,,,,,,
0,20172018,Drummondville Voltigeurs,QMJHL,9590,15,11,25,61,25,26,8.0,,,,,,,,,,,,,,,,
0,20172018,Canada Black U17,WHC-17,163780,0,2,0,5,0,2,,,,,,,,,,,,,,,,,
0,20172018,Team Blue,U17-Dev,178219,0,1,0,3,0,1,,,,,,,,,,,,,,,,,
0,20182019,Drummondville Voltigeurs,QMJHL,9590,34,30,50,68,50,64,31.0,,,,,,,,,,,,,,,,
0,20192020,Chicoutimi Saguenéens,QMJHL,6090,12,6,4,16,4,18,2.0,,,,,,,,,,,,,,,,
0,20192020,Drummondville Voltigeurs,QMJHL,9590,24,18,21,26,21,42,3.0,,,,,,,,,,,,,,,,
0,20192020,Canada U20,WJC-20,17216,0,0,0,7,0,0,-1.0,,,,,,,,,,,,,,,,
0,20202021,Chicoutimi Saguenéens,QMJHL,6090,17,19,6,23,6,36,15.0,,,,,,,,,,,,,,,,
0,20202021,Canada U20,WJC-20,17216,4,2,2,7,2,6,7.0,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,25,17,28,82,28,42,-25.0,1356:23,154.0,26.0,2.0,5.0,154:32,1177:12,35.42,11.0,2.0,0.0,1.0,2.0,24:39,35.0,1766.0
0,20212022,Canada,WC,17155,5,0,0,10,0,5,5.0,,,,,,,,,,,,,,,,
