,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Airdrie Xtreme Bantam AAA,AMBHL,54198,11,7,4,21,4,0.0,18,,,,,,,,,,,,,,,,
0,20122013,Notre Dame Hounds Bantam AAA,SSMHL,128999,20,24,43,26,43,0.0,44,,,,,,,,,,,,,,,,
0,20132014,N. Dame Argos,SMHL,1,42,21,65,44,65,,63,,,,,,,,,,,,,,,,
0,20142015,Kelowna,WHL,1,10,17,12,45,12,17.0,27,7.0,5.0,242.9,4.0,0.0,,,,,,,,,,,
0,20152016,Kelowna,WHL,1,40,26,50,65,50,8.0,66,,6.0,,,0.0,,,,,,,,,,,
0,20152016,Kelowna Rockets,WHL,5531,40,26,50,65,50,8.0,66,,,,,,,,,,,,,,,,
0,20152016,Canada U18,Hlinka Gretzky Cup,144760,2,1,2,4,2,2.0,3,,,,,,,,,,,,,,,,
0,20152016,Team White,U18-Dev,178691,0,1,2,3,2,,1,,,,,,,,,,,,,,,,
0,20162017,Kelowna Rockets,WHL,5531,35,20,40,40,40,18.0,55,,,,,,,,,,,,,,,,
0,20162017,Canada U20,WJC-20,17216,3,0,4,7,4,6.0,3,,,,,,,,,,,,,,,,
0,20172018,Kelowna Rockets,WHL,5531,46,38,52,53,52,17.0,84,,,,,,,,,,,,,,,,
0,20172018,Canada U20,WJC-20,17216,2,3,2,7,2,3.0,5,,,,,,,,,,,,,,,,
0,20172018,Stockton Heat,AHL,186037,4,0,2,6,2,-1.0,4,,,,,,,,,,,,,,,,
0,20182019,Calgary Flames,National Hockey League,1,4,1,4,25,4,2.0,5,22.0,0.0,4.55,0.0,0.0,251:41,11.0,0.0,11:45,232:39,40.0,0.0,0.0,07:17,3.0,350.0
0,20182019,Stockton Heat,AHL,186037,24,15,24,37,24,7.0,39,,,,,,,,,,,,,,,,
0,20192020,Calgary Flames,National Hockey League,1,10,6,6,45,6,0.0,16,60.0,1.0,10.0,2.0,0.0,570:37,59.0,2.0,24:24,539:05,0.0,0.0,0.0,07:08,13.0,723.0
0,20192020,Stockton Heat,AHL,186037,9,4,8,13,8,2.0,13,,,,,,,,,,,,,,,,
0,20202021,Calgary Flames,National Hockey League,1,11,11,20,51,20,-1.0,22,84.0,2.0,13.1,0.0,0.0,695:31,59.0,2.0,60:54,628:04,52.94,0.0,0.0,06:33,14.0,946.0
0,20212022,Calgary Flames,National Hockey League,1,14,18,20,79,20,1.0,32,143.0,2.0,12.6,1.0,1.0,1014:17,87.0,3.0,66:49,883:18,47.42,0.0,3.0,64:10,15.0,1507.0
