,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,CSKA Moskva U16,Russia U16,184829,17,5,58,28,58,0.0,22,,,,,,,,,,,,,,,,
0,20152016,Russia U18,WJC-18,17523,4,1,2,5,2,0.0,5,,,,,,,,,,,,,,,,
0,20152016,Krasnaya Armiya Moskva,MHL,49712,1,0,0,3,0,2.0,1,,,,,,,,,,,,,,,,
0,20152016,Russia U17,WHC-17,61290,0,2,18,6,18,,2,,,,,,,,,,,,,,,,
0,20152016,CSKA Moskva U17,Russia U17,184418,12,4,26,28,26,,16,,,,,,,,,,,,,,,,
0,20162017,Guelph Storm,OHL,6238,16,4,41,67,41,-24.0,20,,,,,,,,,,,,,,,,
0,20162017,Russia U18,WJC-18,17523,4,1,6,7,6,2.0,5,,,,,,,,,,,,,,,,
0,20162017,Russia U18,Hlinka Gretzky Cup,158300,2,0,16,5,16,1.0,2,,,,,,,,,,,,,,,,
0,20172018,Guelph Storm,OHL,6238,23,11,29,62,29,-10.0,34,,,,,,,,,,,,,,,,
0,20172018,Bakersfield Condors,AHL,7257,2,0,2,5,2,2.0,2,,,,,,,,,,,,,,,,
0,20172018,Russia U20,WJC-20,17546,1,0,4,5,4,-3.0,1,,,,,,,,,,,,,,,,
0,20182019,Guelph Storm,M-Cup,6021,1,0,2,4,2,1.0,1,,,,,,,,,,,,,,,,
0,20182019,Guelph Storm,OHL,6238,35,10,20,59,20,36.0,45,,,,,,,,,,,,,,,,
0,20182019,Russia U20,WJC-20,17546,3,1,2,7,2,9.0,4,,,,,,,,,,,,,,,,
0,20192020,Bakersfield Condors,AHL,7257,8,2,24,47,24,-5.0,10,,,,,,,,,,,,,,,,
0,20202021,CSKA Moskva,KHL,2314,6,2,12,48,12,24.0,8,,,,,,,,,,,,,,,,
0,20202021,Russia,EHT,64546,1,0,0,2,0,2.0,1,,,,,,,,,,,,,,,,
0,20212022,Edmonton Oilers,National Hockey League,1,0,0,0,1,0,-2.0,0,02:28,0.0,0.0,0.0,0.0,00:00,02:28,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,4.0
0,20212022,Bakersfield Condors,AHL,7257,15,3,44,51,44,16.0,18,,,,,,,,,,,,,,,,
